line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
FR_line_1,way/110086345-400,way/24020601-400,way/110086345-400;way/24020601-400,400.0,7149.905733644328,75870.225,FR,
FR_line_2,way/110086345-400,way/27259817-400,way/110086345-400;way/27259817-400,400.0,7149.905733644328,85088.675,FR,
FR_line_3,way/98890904-400,way/110086345-400,way/110086345-400;way/98890904-400,400.0,3574.9528668221637,97027.39,FR,
FR_line_4,way/111558550-400,way/235370803-400,way/111558550-400;way/235370803-400,400.0,3574.9528668221637,71726.52500000001,FR,
FR_line_5,way/111558550-400,way/49510896-400,way/111558550-400;way/49510896-400,400.0,3574.9528668221637,109270.94,FR,
FR_line_6,way/146695955-400,way/112342683-400,way/112342683-400;way/146695955-400,400.0,3574.952866822164,139984.3,FR,
FR_line_7,way/112342683-400,way/85995894-400,way/112342683-400;way/85995894-400,400.0,3574.9528668221637,55689.78,FR,
FR_line_8,way/112342683-400,way/99722046-400,way/112342683-400;way/99722046-400,400.0,3574.9528668221637,121135.83,FR,
FR_line_9,way/159167277-400,way/118086309-400,way/118086309-400;way/159167277-400,400.0,3485.579045151609,60709.92923076923,FR,
FR_line_10,way/81641090-400,way/118086309-400,way/118086309-400;way/81641090-400,400.0,7149.905733644328,86594.3375,FR,
FR_line_11,way/146695955-400,way/85995894-400,way/146695955-400;way/85995894-400,400.0,1787.4764334110816,111582.15,FR,
FR_line_12,way/24020601-400,way/147132694-400,way/147132694-400;way/24020601-400,400.0,12512.335033877574,58177.75285714286,FR,
FR_line_13,way/147132694-400,way/90842395-400,way/147132694-400;way/90842395-400,400.0,3574.9528668221637,171859.745,FR,
FR_line_14,way/24020601-400,way/159167277-400,way/159167277-400;way/24020601-400,400.0,7149.905733644328,52790.58,FR,
FR_line_15,way/179260933-400,way/24020601-400,way/179260933-400;way/24020601-400,400.0,8937.382167055408,141490.012,FR,
FR_line_16,way/82599261-400,way/179260933-400,way/179260933-400;way/82599261-400,400.0,7149.905733644327,129804.1325,FR,
FR_line_17,way/235370803-400,way/49510896-400,way/235370803-400;way/49510896-400,400.0,3574.9528668221637,185909.055,FR,
FR_line_18,way/235370803-400,way/71933077-400,way/235370803-400;way/71933077-400,400.0,1787.4764334110816,84938.9,FR,
FR_line_19,way/235370803-400,way/99722046-400,way/235370803-400;way/99722046-400,400.0,3574.9528668221637,64268.475,FR,
FR_line_20,way/71933077-400,way/24020601-400,way/24020601-400;way/71933077-400,400.0,3574.9528668221637,57181.57,FR,
FR_line_21,way/27259817-400,way/90842395-400,way/27259817-400;way/90842395-400,400.0,3574.952866822164,45082.89,FR,
FR_line_22,way/85047359-400,way/36805588-400,way/36805588-400;way/85047359-400,400.0,8937.382167055408,78466.58600000001,FR,
FR_line_23,way/85203486-400,way/36805588-400,way/36805588-400;way/85203486-400,400.0,7149.905733644327,98287.88,FR,
FR_line_24,way/36805588-400,way/85605950-400,way/36805588-400;way/85605950-400,400.0,3574.9528668221637,29650.59,FR,
FR_line_25,way/85710783-400,way/36805588-400,way/36805588-400;way/85710783-400,400.0,3574.9528668221637,63991.98,FR,
FR_line_26,way/49510896-400,way/98890904-400,way/49510896-400;way/98890904-400,400.0,3574.9528668221637,38947.975,FR,
FR_line_27,way/71933077-400,way/79866837-400,way/71933077-400;way/79866837-400,400.0,12512.335033877573,130967.33857142855,FR,
FR_line_28,way/71933077-400,way/98890904-400,way/71933077-400;way/98890904-400,400.0,1787.4764334110816,85106.07,FR,
FR_line_29,way/99722046-400,way/71933077-400,way/71933077-400;way/99722046-400,400.0,3574.9528668221637,76323.365,FR,
FR_line_30,way/79866837-400,way/82599261-400,way/79866837-400;way/82599261-400,400.0,10724.85860046649,80671.82499999998,FR,
FR_line_31,way/79866837-400,way/85047359-400,way/79866837-400;way/85047359-400,400.0,14299.811467288657,32999.20124999999,FR,
FR_line_32,way/99722046-400,way/79866837-400,way/79866837-400;way/99722046-400,400.0,3574.9528668221637,26977.135,FR,
FR_line_33,way/82599261-400,way/81641090-400,way/81641090-400;way/82599261-400,400.0,3574.9528668221637,163034.48500000002,FR,
FR_line_34,way/82825438-400,way/81641090-400,way/81641090-400;way/82825438-400,400.0,5362.429300233245,103145.39,FR,
FR_line_35,way/82599261-400,way/82825438-400,way/82599261-400;way/82825438-400,400.0,3574.9528668221637,74832.64000000001,FR,
FR_line_36,way/85605950-400,way/82825438-400,way/82825438-400;way/85605950-400,400.0,5362.429300233245,99284.60333333332,FR,
FR_line_37,way/85710783-400,way/85047359-400,way/85047359-400;way/85710783-400,400.0,10724.85860046649,88018.37333333334,FR,
FR_line_38,way/85203486-400,way/85605950-400,way/85203486-400;way/85605950-400,400.0,3574.9528668221637,75927.575,FR,
FR_line_39,way/85995894-400,way/85710783-400,way/85710783-400;way/85995894-400,400.0,3574.952866822164,69798.35,FR,
FR_line_40,way/85995894-400,way/99722046-400,way/85995894-400;way/99722046-400,400.0,3574.9528668221637,78218.05500000001,FR,
