from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,demand,1,demand,7149.905733644327,4.0,400.0,319.55434338128714,dem0,dem1,Demand cluster 0 to Demand cluster 1,,,,,319.55434338128714,0.0,0.0,False,[]
0,demand,2,demand,502.7277468968667,1.0,225.0,310.6284334609984,dem0,dem2,Demand cluster 0 to Demand cluster 2,,,,,310.6284334609984,0.0,0.0,False,[]
0,generation,0,demand,9440.109913952274,6.0,370.8333333333333,316.4214068357714,gen0,dem0,Generation cluster 0 to Demand cluster 0,,,,,316.4214068357714,0.0,0.0,False,[]
0,generation,2,demand,129424.46550667113,147.0,263.0952380952381,54.74736353490328,gen0,dem2,Generation cluster 0 to Demand cluster 2,,,,,54.74736353490328,0.0,0.0,False,[]
0,generation,4,demand,50272.774689686674,47.0,288.29787234042556,343.6768595149762,gen0,dem4,Generation cluster 0 to Demand cluster 4,,,,,343.6768595149762,0.0,0.0,False,[]
1,generation,1,demand,4021.8219751749334,7.0,225.0,362.727332331826,gen1,dem1,Generation cluster 1 to Demand cluster 1,,,,,362.727332331826,0.0,0.0,False,[]
1,generation,3,demand,351071.54324964527,397.0,247.48110831234257,65.66041349451305,gen1,dem3,Generation cluster 1 to Demand cluster 3,,,,,65.66041349451305,0.0,0.0,False,[]
2,generation,0,demand,156571.7638391019,168.0,280.2083333333333,59.06312224321988,gen2,dem0,Generation cluster 2 to Demand cluster 0,,,,,59.06312224321988,0.0,0.0,False,[]
3,generation,0,demand,9384.251275408178,9.0,283.3333333333333,232.32091637254052,gen3,dem0,Generation cluster 3 to Demand cluster 0,,,,,232.32091637254052,0.0,0.0,False,[]
3,generation,1,demand,137859.11992682968,153.0,263.8888888888889,124.98196833661788,gen3,dem1,Generation cluster 3 to Demand cluster 1,,,,,124.98196833661788,0.0,0.0,False,[]
3,generation,3,demand,5362.429300233245,3.0,400.0,522.9258502300214,gen3,dem3,Generation cluster 3 to Demand cluster 3,,,,,522.9258502300214,0.0,0.0,False,[]
3,renewable,0,demand,37872.15693289729,52.0,238.46153846153845,174.8410573500041,sol3,dem0,Renewable cluster 3 to Demand cluster 0,,,,,174.8410573500041,0.0,0.0,False,[]
3,renewable,2,generation,3295.6596741016815,4.0,268.75,133.6166956098808,sol3,gen2,Renewable cluster 3 to Generation cluster 2,,,,,133.6166956098808,0.0,0.0,False,[]
4,generation,0,demand,5083.136107512763,5.0,295.0,534.6529258549849,gen4,dem0,Generation cluster 4 to Demand cluster 0,,,,,534.6529258549849,0.0,0.0,False,[]
4,generation,3,demand,13126.78005786263,21.0,241.66666666666666,287.49340380875617,gen4,dem3,Generation cluster 4 to Demand cluster 3,,,,,287.49340380875617,0.0,0.0,False,[]
4,generation,4,demand,57422.680423330996,74.0,255.74324324324326,113.47605400547096,gen4,dem4,Generation cluster 4 to Demand cluster 4,,,,,113.47605400547096,0.0,0.0,False,[]
