GEM location ID,bus_id
L100000500035,gen2
L100000500134,gen0
L100000500136,gen1
L100000500038,gen3
L100000500133,gen0
L100000500007,gen3
L100000500006,gen0
L100000500130,gen1
L100000500137,gen2
L100000500005,gen0
L100000500036,gen4
L100000500135,gen2
L100000500037,gen2
L100000500032,gen2
L100000500033,gen2
L100000500131,gen2
L100000500034,gen1
L100000500132,gen1
L100000201169,gen0
L100000200253,gen2
L100000200254,gen2
L100000101853,gen1
L100000400109,gen1
L100000200316,gen2
L100000400088,gen2
L100001007703,gen1
L100000407672,gen0
L100000400090,gen1
L100001007659,gen1
L100000101857,gen3
L100000101860,gen2
L100000408805,gen0
L100000407648,gen3
L100001007705,gen1
L100000400093,gen1
L100000407647,gen4
L100000400094,gen3
L100000400095,gen1
L100001023494,gen2
L100000408745,gen3
L100000400096,gen2
L100000408744,gen3
L100000400098,gen3
L100000407936,gen1
L100000408743,gen1
L100000400101,gen2
L100001007713,gen2
L100000407657,gen2
L100001007707,gen0
L100000408766,gen3
L100000408765,gen4
L100000401426,gen0
L100000406386,gen1
L100001023495,gen2
L100000408764,gen2
L100000407937,gen2
L100000408774,gen1
L100000400102,gen1
L100000407934,gen2
L100000406384,gen2
L100000400104,gen0
L100001023461,gen2
L100001007706,gen1
L100000400105,gen2
L100000407633,gen1
L100001007699,gen1
L100001007714,gen2
L100001007704,gen1
L100000408773,gen3
L100000407932,gen2
L100000407933,gen1
L100000400106,gen2
L100000407655,gen2
L100000407634,gen1
L100000407654,gen4
L100000407653,gen3
L100000408772,gen0
L100000407652,gen3
L100000104715,gen2
L100000407931,gen2
L100000406382,gen2
L100000406385,gen2
L100000101856,gen0
L100000907710,gen3
L100000907713,gen4
L100000907718,gen0
L100000907722,gen0
L100000907727,gen2
L100000907731,gen2
L100000907732,gen0
L100000907736,gen3
L100000907741,gen2
L100000907744,gen2
L100000907747,gen2
L100000907748,gen2
L100000907749,gen3
L100000907750,gen0
L100000907761,gen2
L100000907762,gen1
L100000907765,gen2
L100000907769,gen2
L100000907774,gen2
L100000907777,gen2
L100000907778,gen2
L100000907780,gen0
L100000907781,gen2
L100000907785,gen3
L100000907788,gen2
L100000907790,gen3
L100000907794,gen0
L100000907795,gen3
L100000907797,gen0
L100000907823,gen2
L100000907830,gen3
L100000907835,gen2
L100000907838,gen3
L100000907842,gen2
L100000907845,gen2
L100000907847,gen0
L100000907848,gen1
L100000907852,gen2
L100000907853,gen1
L100000907870,gen1
L100000907872,gen2
L100000907883,gen0
L100000907892,gen2
L100000907893,gen2
L100000907919,gen0
L100000907924,gen2
L100000907934,gen0
L100000907954,gen2
L100000907955,gen4
L100000907956,gen2
L100000907957,gen0
L100000907958,gen3
L100000907959,gen0
L100000907964,gen3
L100000907965,gen3
L100000907969,gen2
L100000907971,gen0
L100000907973,gen2
L100000907974,gen2
L100000907975,gen0
L100000907976,gen2
L100000907977,gen0
L100000907980,gen2
L100000907984,gen0
L100000907985,gen2
L100000907986,gen0
L100000907987,gen0
L100000907988,gen2
L100000907989,gen3
L100000907990,gen2
L100000907991,gen2
L100000907992,gen3
L100000907993,gen0
L100000907995,gen3
L100000907996,gen2
L100000908003,gen2
L100000908004,gen2
L100000908019,gen0
L100000908025,gen2
L100000908027,gen2
L100000908035,gen2
L100000908037,gen3
L100000908038,gen0
L100000908040,gen3
L100000908041,gen3
L100000908043,gen2
L100000908056,gen2
L100000908058,gen0
L100000908067,gen0
