bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/4715504-400,way/4715504,400.0,f,Substation,f,way/4715504,-1.232597802703451,50.88478848238346,GB
way/4746208-400,way/4746208,400.0,f,Substation,f,way/4746208,-0.3429034951501007,51.66067718156556,GB
way/16582436-400,way/16582436,400.0,f,Substation,f,way/16582436,0.3298580196679713,51.428263609336014,GB
way/20851038-400,way/20851038,400.0,f,Substation,f,way/20851038,-1.0398808866930138,50.91705623412613,GB
way/22975329-400,way/22975329,400.0,f,Substation,f,way/22975329,-0.0113544671514545,51.714246354607546,GB
way/23059230-400,way/23059230,400.0,f,Substation,f,way/23059230,-1.190382084764804,51.7111138438472,GB
way/23164132-400,way/23164132,400.0,f,Substation,f,way/23164132,-2.947158775578948,53.26761759210352,GB
way/23164256-400,way/23164256,400.0,f,Substation,f,way/23164256,-2.716248140828032,53.30945477944595,GB
way/536905500-400,way/536905500,400.0,f,Substation,f,way/536905500,-3.050363601620399,53.23659159755566,GB
way/23228362-400,way/23228362,400.0,f,Substation,f,way/23228362,0.0012220818911715,51.51941878826544,GB
way/23232738-400,way/23232738,400.0,f,Substation,f,way/23232738,-0.4982011331212757,51.54356841031178,GB
way/23299362-400,way/23299362,400.0,f,Substation,f,way/23299362,-0.1274371096384897,51.37337985661656,GB
way/23299657-400,way/23299657,400.0,f,Substation,f,way/23299657,-0.0036261868778071,51.351994702988286,GB
way/636630371-400,way/636630371,400.0,f,Substation,f,way/636630371,-1.2850681815392415,50.83562429179856,GB
way/23988786-400,way/23988786,400.0,f,Substation,f,way/23988786,-1.4872019218586756,50.941759033289486,GB
way/24165071-400,way/24165071,400.0,f,Substation,f,way/24165071,-0.249326346266394,51.92769348103161,GB
way/25629803-400,way/25629803,400.0,f,Substation,f,way/25629803,-0.8220709014857445,53.90040028554631,GB
way/25935453-400,way/25935453,400.0,f,Substation,f,way/25935453,0.3123683088598032,52.28079034434497,GB
way/26678829-400,way/26678829,400.0,f,Substation,f,way/26678829,-3.405315842410283,50.76755870285833,GB
way/26938722-400,way/26938722,400.0,f,Substation,f,way/26938722,-3.730387109190733,50.47163990130674,GB
way/28691559-400,way/28691559,400.0,f,Substation,f,way/28691559,0.4483953922970407,50.8812160108653,GB
way/29111844-400,way/29111844,400.0,f,Substation,f,way/29111844,0.5665019941757928,51.59375911368557,GB
way/31015820-400,way/31015820,400.0,f,Substation,f,way/31015820,-0.1701849107179376,51.52756102926672,GB
way/31545125-400,way/31545125,400.0,f,Substation,f,way/31545125,-1.9602927441073628,52.55324524183235,GB
way/32227788-400,way/32227788,400.0,f,Substation,f,way/32227788,1.27226107802837,52.574025970583534,GB
way/32604320-400,way/32604320,400.0,f,Substation,f,way/32604320,0.1550519045489018,51.43287371008172,GB
way/32796576-400,way/32796576,400.0,f,Substation,f,way/32796576,-1.0772802749418453,51.33629200924364,GB
way/33917128-400,way/33917128,400.0,f,Substation,f,way/33917128,-0.4150091058777617,53.80058931404356,GB
way/34205588-400,way/34205588,400.0,f,Substation,f,way/34205588,-2.9243997984647025,50.78678954757501,GB
way/34656007-400,way/34656007,400.0,f,Substation,f,way/34656007,-4.242535213727529,50.44487758090692,GB
way/635829123-400,way/635829123,400.0,f,Substation,f,way/635829123,0.1990481748457523,52.72693584677891,GB
way/41710456-400,way/41710456,400.0,f,Substation,f,way/41710456,-0.6560364240817206,51.664868538759535,GB
way/42800878-400,way/42800878,400.0,f,Substation,f,way/42800878,-3.0310507894538348,51.547822228975534,GB
way/43472283-400,way/43472283,400.0,f,Substation,f,way/43472283,-1.364576156679706,54.59241214045901,GB
way/48876730-400,way/48876730,400.0,f,Substation,f,way/48876730,-2.96907577049596,51.11738188683236,GB
way/49499923-400,way/49499923,400.0,f,Substation,f,way/49499923,-1.7141212740397518,52.53117137579202,GB
way/49601061-400,way/49601061,400.0,f,Substation,f,way/49601061,-0.2573692200858875,51.53409061124915,GB
way/49922626-400,way/49922626,400.0,f,Substation,f,way/49922626,-2.4876735460048263,50.62413966633166,GB
way/68515955-400,way/68515955,400.0,f,Substation,f,way/68515955,-4.494129430044979,57.46666596176973,GB
way/71118225-400,way/71118225,400.0,f,Substation,f,way/71118225,-1.553097472392028,52.85519637026242,GB
way/77065229-400,way/77065229,400.0,f,Substation,f,way/77065229,0.11846011124678,51.93505281828974,GB
way/86071326-400,way/86071326,400.0,f,Substation,f,way/86071326,-4.376998787552509,55.930073604231474,GB
way/87204522-400,way/87204522,400.0,f,Substation,f,way/87204522,-1.6517820699399348,52.77490580595794,GB
way/87207123-400,way/87207123,400.0,f,Substation,f,way/87207123,-2.083385659449936,53.04085816221957,GB
way/87953830-400,way/87953830,400.0,f,Substation,f,way/87953830,1.0963755974964655,51.2937207099382,GB
way/88287125-400,way/88287125,400.0,f,Substation,f,way/88287125,-0.7278762774966284,52.243144968661134,GB
way/88389243-400,way/88389243,400.0,f,Substation,f,way/88389243,-0.8818121133886603,51.25086752681232,GB
way/89038614-400,way/89038614,400.0,f,Substation,f,way/89038614,-0.3015712746298003,52.2146511599849,GB
way/89427607-400,way/89427607,400.0,f,Substation,f,way/89427607,-4.480233469858517,53.415208166848,GB
way/89453364-400,way/89453364,400.0,f,Substation,f,way/89453364,-0.6775936923709948,51.90437449099564,GB
way/89573357-400,way/89573357,400.0,f,Substation,f,way/89573357,-3.946765740113734,52.92716626149434,GB
way/89573358-400,way/89573358,400.0,f,Substation,f,way/89573358,-4.090135646685173,52.928072048443816,GB
way/90099036-400,way/90099036,400.0,f,Substation,f,way/90099036,-1.8951223449162944,50.84686403850571,GB
way/90125443-400,way/90125443,400.0,f,Substation,f,way/90125443,-1.0233721447333293,53.95680107383552,GB
way/90534270-400,way/90534270,400.0,f,Substation,f,way/90534270,-1.2167541050869588,52.59756066801083,GB
way/90539508-400,way/90539508,400.0,f,Substation,f,way/90539508,-1.6019111186114952,53.48771148519811,GB
way/90547674-400,way/90547674,400.0,f,Substation,f,way/90547674,-1.2663845194970418,53.75646594407603,GB
way/785730495-400,way/785730495,400.0,f,Substation,f,way/785730495,-1.0887856535313103,53.57872644684885,GB
way/91003253-400,way/91003253,400.0,f,Substation,f,way/91003253,-0.8681653689223726,53.077449502050655,GB
way/91010022-400,way/91010022,400.0,f,Substation,f,way/91010022,0.7415847929338215,51.36834372988759,GB
way/91010711-400,way/91010711,400.0,f,Substation,f,way/91010711,0.3924175493003254,51.40501629272181,GB
way/91056548-400,way/91056548,400.0,f,Substation,f,way/91056548,-4.708717551305747,55.915943305600585,GB
way/91082448-400,way/91082448,400.0,f,Substation,f,way/91082448,-0.2358172649562415,50.9752671495426,GB
way/91955171-400,way/91955171,400.0,f,Substation,f,way/91955171,-1.7429869041026962,54.9778525930585,GB
way/92340133-400,way/92340133,400.0,f,Substation,f,way/92340133,-0.9075683078097988,51.92634688158579,GB
way/92419253-400,way/92419253,400.0,f,Substation,f,way/92419253,-2.12079072629691,53.26874936996681,GB
way/92458761-400,way/92458761,400.0,f,Substation,f,way/92458761,-2.2089003207258897,52.55642712510978,GB
way/92460913-400,way/92460913,400.0,f,Substation,f,way/92460913,-2.2535023673068064,51.87945313561551,GB
way/92483460-400,way/92483460,400.0,f,Substation,f,way/92483460,-2.604575848142416,51.88822884731259,GB
way/92529432-400,way/92529432,400.0,f,Substation,f,way/92529432,-2.3791827939912915,53.42611869761402,GB
way/93299730-400,way/93299730,400.0,f,Substation,f,way/93299730,-0.2240061349207385,51.526205291383576,GB
way/94530230-400,way/94530230,400.0,f,Substation,f,way/94530230,0.3901193359165864,51.4601736325286,GB
way/1274396508-400,way/1274396508,400.0,f,Substation,f,way/1274396508,-3.074227980937412,53.22972662832484,GB
