bus0,bus1,voltage,s_nom,length,type,geometry,HVDC
way/25935453-400,way/77065229-400,400.0,3574.952866822164,43099.63,Al/St 240/40 4-bundle 380.0,"LINESTRING (0.11846011124678 51.93505281828974, 0.1300842831359285 51.93834637336762, 0.1308021 51.9388066, 0.1313155 51.9391358, 0.1352905 51.9416954, 0.1394426 51.9443641, 0.1431976 51.9467912, 0.1474087 51.9494099, 0.150504 51.9514731, 0.1544254 51.953999, 0.156496 51.9569016, 0.1588617 51.9602933, 0.161147 51.9635359, 0.1634859 51.9668841, 0.1657282 51.9700569, 0.1681529 51.9734972, 0.1702504 51.9764844, 0.1728146 51.9801423, 0.1749228 51.9830928, 0.177251 51.986423, 0.1794075 51.9894953, 0.1817624 51.9928019, 0.1840745 51.996138, 0.1862042 51.9991931, 0.1884841 52.0024297, 0.1908873 52.005808, 0.1930921 52.0088955, 0.194798 52.0113554, 0.1952057 52.0147298, 0.19549 52.0172719, 0.1958387 52.0203157, 0.196123 52.0230655, 0.1965039 52.0260131, 0.1969759 52.0300762, 0.197271 52.0325217, 0.1975928 52.0354787, 0.2012353 52.0368977, 0.2069605 52.0390244, 0.2112238 52.0406066, 0.2164541 52.0426194, 0.2208476 52.0443054, 0.2253644 52.0460244, 0.2296828 52.0476641, 0.2348702 52.0496171, 0.2385394 52.0510423, 0.2402346 52.0540838, 0.2418654 52.0571613, 0.2437751 52.0607763, 0.2453898 52.0638402, 0.2471064 52.0670424, 0.249102 52.0707785, 0.2507542 52.0737857, 0.2522777 52.0766937, 0.2536242 52.0797137, 0.2549975 52.0830433, 0.2562259 52.0858519, 0.2575563 52.0890096, 0.2589672 52.092299, 0.260378 52.0955915, 0.2605164 52.0959211, 0.2616494 52.09862, 0.262733 52.100907, 0.2642672 52.1045019, 0.2663915 52.107688, 0.2685748 52.1109431, 0.2706133 52.1140463, 0.273038 52.1176303, 0.2749102 52.1204301, 0.2772169 52.1238983, 0.27925 52.1268756, 0.280339 52.1301391, 0.2815674 52.1339194, 0.2826868 52.1372221, 0.2836274 52.1399974, 0.2850355 52.144215, 0.2859014 52.1469993, 0.2872667 52.1508852, 0.2883475 52.1541091, 0.2894419 52.1573213, 0.2868884 52.1606912, 0.284571 52.1638371, 0.2821388 52.167138, 0.2797328 52.1703346, 0.2773279 52.1734984, 0.275216 52.1764174, 0.2729629 52.1795811, 0.2745287 52.1823392, 0.2764294 52.1856871, 0.2783877 52.1889495, 0.2803084 52.1922106, 0.2822694 52.1956522, 0.283879 52.1984745, 0.2858241 52.2016072, 0.2879296 52.2052463, 0.2893831 52.2076279, 0.2913599 52.2110753, 0.2933488 52.214426, 0.2951713 52.2175359, 0.2970864 52.220745, 0.2990662 52.2241433, 0.3010349 52.227514, 0.3029886 52.230908, 0.3047632 52.2340319, 0.3062116 52.2364383, 0.3070913 52.2393755, 0.3078638 52.2417743, 0.3090547 52.2454927, 0.3101008 52.2488937, 0.3112863 52.2524838, 0.3120373 52.2549479, 0.3129117 52.2577732, 0.3132455 52.2588216, 0.3139417 52.2610087, 0.3151326 52.2646157, 0.315097 52.2679187, 0.3151261 52.2715034, 0.3151461379397993 52.273069405757724, 0.3123683088598033 52.28079034434497)",False
way/88287125-400,relation/7650368-400,400.0,3574.952866822164,40187.32,Al/St 240/40 4-bundle 380.0,"LINESTRING (-0.7278762774966284 52.243144968661134, -0.7246367402795569 52.23721225720994, -0.7245439 52.2369844, -0.7234412 52.2342738, -0.7220356 52.2307809, -0.7208521 52.2279319, -0.719531 52.2247708, -0.718222 52.2215053, -0.7151597 52.2189245, -0.7120846 52.216286, -0.7090313 52.213666, -0.7059823 52.2110495, -0.7029968 52.2084874, -0.6999913 52.205908, -0.6969797 52.2033232, -0.6940626 52.2008194, -0.6910237 52.1982108, -0.6880884 52.1956911, -0.6849713 52.1930151, -0.682332 52.1901146, -0.6797249 52.1873258, -0.6770212 52.1844249, -0.6744678 52.1815897, -0.6727082 52.1782411, -0.6713564 52.1754976, -0.6699938 52.1728197, -0.6685454 52.1700363, -0.6673796 52.1676682, -0.6658525 52.1646731, -0.6640715 52.1611785, -0.6628913 52.1589802, -0.6612928 52.1557879, -0.6599612 52.1532634, -0.659648 52.1530782, -0.6581031 52.1521192, -0.6572265 52.151575, -0.6534929 52.1492512, -0.6497593 52.1468943, -0.6463689 52.1447941, -0.6428606 52.1427201, -0.6392772 52.1404814, -0.6357367 52.1383018, -0.6320674 52.1360168, -0.6285805 52.1337514, -0.6250293 52.131644, -0.6214244 52.1294838, -0.6180019 52.1272444, -0.6140644 52.1248995, -0.6105561 52.1226863, -0.6072409 52.1206969, -0.6030674 52.1181343, -0.599087 52.1161249, -0.5948491 52.1139903, -0.5909545 52.1120137, -0.5870385 52.1101556, -0.5826611 52.1079219, -0.5796678 52.1064788, -0.576138 52.104693, -0.5719645 52.1026171, -0.5683918 52.1007586, -0.5637247 52.0985574, -0.5607421 52.0970217, -0.5555279 52.0943852, -0.5541868 52.0919068, -0.5528189 52.0887683, -0.5516697 52.0863202, -0.5505391 52.0838907, -0.5492616 52.0811371, -0.5508357 52.0783128, -0.552566 52.0752496, -0.5536955 52.0731153, -0.5514045 52.0708767, -0.5490449 52.0685942, -0.5463084 52.0659562, -0.543796 52.0635297, -0.5412859 52.0611006, -0.538358 52.0582099, -0.5359216 52.055894, -0.5331262 52.0532231, -0.5291667 52.0519039, -0.529129 52.0518913, -0.5290661 52.05187, -0.5242989 52.0502545, -0.5202166 52.0488621, -0.520162 52.0487868, -0.5180335 52.0458498, -0.5159735 52.0429463, -0.5154907 52.0391451, -0.5151581 52.0360762, -0.5154845 52.0333078, -0.5159582 52.0301653, -0.5164456 52.0266967, -0.5168533 52.0235609, -0.5172825 52.020755, -0.5175614 52.0182197, -0.5180657 52.0146607, -0.5187523 52.0117948, -0.5194819 52.0087109, -0.5202758 52.0053559, -0.5209732 52.0021724, -0.5216491 51.9992, -0.5223787 51.9959236, -0.5231833 51.9924554, -0.5211019 51.9896608, -0.5191615 51.9869871, -0.5169145 51.9838899, -0.5148919 51.9810917, -0.5129408 51.9783961, -0.510652 51.9752489, -0.5090213 51.9720765, -0.5074334 51.9690757, -0.5063712 51.9670134, -0.5049443 51.9642039, -0.5031097 51.9608126, -0.5015754 51.9577912, -0.4998588 51.9545051, -0.500025 51.9524697, -0.5000305 51.9524025, -0.5002665 51.9491425, -0.4999905 51.9471962, -0.499446 51.944437, -0.5005191771919099 51.94258259994433, -0.5007399619516324 51.93429316098837)",False
way/16582436-400,GB86-400,400.0,3574.952866822164,23908.75,Al/St 240/40 4-bundle 380.0,"LINESTRING (0.0516055000000157 51.34658629444774, 0.0587046762951417 51.345898108830305, 0.0597817 51.3458085, 0.0618418 51.3456371, 0.0635048 51.3432924, 0.0657643 51.3401094, 0.0666226 51.3388869, 0.0693348 51.3386081, 0.0735749 51.3382864, 0.0771261 51.3398074, 0.0807813 51.3413965, 0.0848616 51.3413694, 0.0911101 51.3414927, 0.0951699 51.3415464, 0.0989808 51.3415893, 0.1031006 51.3416536, 0.106345 51.342742, 0.108774 51.3435837, 0.1131857 51.3451224, 0.1165331 51.3465592, 0.1207903 51.3484624, 0.1237429 51.3497221, 0.1283434 51.3517431, 0.1317509 51.35326, 0.1343945 51.3544286, 0.1382741 51.3561867, 0.1430205 51.3583681, 0.1473464 51.360319, 0.1502903 51.3617017, 0.1532944 51.3629879, 0.1567534 51.3644081, 0.1607188 51.366005, 0.1637229 51.3680413, 0.1667698 51.3700882, 0.1700743 51.3697292, 0.1729656 51.3709007, 0.1744517 51.3715028, 0.1779707 51.3729495, 0.1824933 51.3747699, 0.1860817 51.3761856, 0.1899699 51.3777714, 0.1916007 51.3794107, 0.1933774 51.3812589, 0.1951884 51.3831445, 0.197523 51.3855282, 0.2001322 51.3881957, 0.2019089 51.3900114, 0.2048014 51.3930053, 0.2082432 51.3963257, 0.2102602 51.3985641, 0.2183132 51.3987066, 0.2229309 51.3987762, 0.2262013 51.3993008, 0.2270723 51.3994405, 0.2308746 51.4000724, 0.235374 51.3997043, 0.239904 51.3993066, 0.2440453 51.398985, 0.2494869 51.3984763, 0.2535961 51.3981493, 0.2589369 51.3976838, 0.2643442 51.3972018, 0.267417 51.3969769, 0.2709704 51.3983264, 0.2748328 51.3998686, 0.2788253 51.401533, 0.2826209 51.4030415, 0.2881274 51.4052502, 0.291441 51.406326, 0.2954253 51.4076995, 0.2993293 51.4090157, 0.3014868 51.410069, 0.3038179 51.4122929, 0.3061986 51.4144778, 0.3084183 51.4165351, 0.3106027 51.4186065, 0.3110822055722269 51.41906427200928, 0.3298580196679714 51.428263609336014)",False
way/16582436-400,way/91010022-400,400.0,3574.952866822164,36880.64,Al/St 240/40 4-bundle 380.0,"LINESTRING (0.3298580196679714 51.428263609336014, 0.3327189155941798 51.422767330009854, 0.3343563 51.4216254, 0.3357811 51.4183015, 0.3370804 51.415415, 0.3372478 51.4153217, 0.3399406 51.4143804, 0.342149 51.413637, 0.3446847 51.4127834, 0.3496084 51.4116851, 0.3543978 51.410668, 0.3580753 51.4085807, 0.3616472 51.4063928, 0.3656588 51.4039274, 0.3690748 51.4019141, 0.3721648 51.3999757, 0.3745938 51.3991725, 0.3766794 51.3979944, 0.3800064 51.3959994, 0.3840609 51.3935602, 0.3866727 51.3919189, 0.3905824 51.3894975, 0.392662 51.3882361, 0.3954413 51.3865233, 0.3984441 51.3846943, 0.4015242 51.3827749, 0.4026915 51.3806381, 0.4038917 51.3782532, 0.406344 51.3749619, 0.4107251 51.3720097, 0.4125148 51.3707734, 0.4158285 51.3685749, 0.4174147 51.3674894, 0.4207468 51.3652441, 0.4209967 51.3648967, 0.4213001 51.3644749, 0.4224108 51.3628619, 0.4251442 51.3615166, 0.4292078 51.3595189, 0.433621 51.358572, 0.4408838 51.3586654, 0.4461984 51.3560944, 0.4485055 51.3534587, 0.4512648 51.3503118, 0.4530913 51.3481392, 0.4558126 51.3450237, 0.4583301 51.3421261, 0.4606126 51.3395272, 0.4621879 51.3371568, 0.4633724 51.3353349, 0.4655699 51.3323584, 0.4673485 51.3299461, 0.4709193 51.3282411, 0.4736391 51.3269424, 0.4776996 51.3249746, 0.4822085 51.322845, 0.486096 51.3210088, 0.4894989 51.3200282, 0.4940087 51.3187463, 0.4990188 51.317319, 0.5022131 51.3164184, 0.5068931 51.3150692, 0.5114742 51.3137646, 0.5162006 51.3135764, 0.5192769 51.3134533, 0.5228828 51.3132791, 0.5299996 51.3148421, 0.5342309 51.3155922, 0.5386911 51.3164003, 0.5434112 51.3172432, 0.5476549 51.3179894, 0.5511253 51.3186119, 0.5558166 51.3194605, 0.5602141 51.3207089, 0.5641948 51.3216879, 0.5683011 51.3229575, 0.5720011 51.3239485, 0.5753082 51.3249261, 0.5811876 51.32661, 0.5851461 51.3276711, 0.5888986 51.3287739, 0.5917826 51.3296611, 0.5955073 51.3315222, 0.5976894 51.3325698, 0.6016261 51.3345938, 0.6045268 51.3361521, 0.6084797 51.3381069, 0.6116532 51.3397103, 0.6151051 51.3414875, 0.6182229 51.3431465, 0.6228885 51.3454835, 0.6257447 51.3469997, 0.627994 51.3480777, 0.6308446 51.3506614, 0.6335368 51.3531387, 0.6364274 51.3557747, 0.6388626 51.3580378, 0.6403138 51.3594401, 0.6454196 51.3612435, 0.6499756 51.3627291, 0.6534126 51.3639225, 0.6584133 51.3640816, 0.6609249 51.3640993, 0.6665895 51.3641866, 0.6709642 51.3642695, 0.6752857 51.3643516, 0.681779 51.3644833, 0.6849192 51.3645428, 0.689678 51.3646329, 0.6935491 51.3647059, 0.6973653 51.3647614, 0.702345 51.364885, 0.7065489 51.3649493, 0.711852 51.365067, 0.7166904 51.3649789, 0.7209497 51.3663531, 0.7256394 51.3678644, 0.7302284 51.3692988, 0.7324464242358499 51.36999591432888, 0.7415847929338215 51.36834372988759)",False
way/24165071-400,way/77065229-400,400.0,3574.952866822164,26924.64,Al/St 240/40 4-bundle 380.0,"LINESTRING (-0.2493263462663941 51.92769348103161, -0.2371538035416589 51.92704355895281, -0.2359235 51.9270328, -0.2314491 51.9269936, -0.2265908 51.9269783, -0.2212085 51.926904, -0.2175874 51.9269166, -0.2115683 51.9268538, -0.2062952 51.9267898, -0.2007535 51.9267217, -0.1971488 51.9266615, -0.193183 51.9277197, -0.1881834 51.9288197, -0.1826188 51.930004, -0.1778421 51.9310353, -0.172965 51.9320871, -0.1682312 51.9331121, -0.1635384 51.9341117, -0.1580824 51.9352739, -0.1525338 51.9364958, -0.1479259 51.9374683, -0.1420801 51.9387021, -0.1383356 51.9409134, -0.1343985 51.9431037, -0.1302435 51.9454687, -0.1262597 51.9477609, -0.1225499 51.9499251, -0.1162199 51.9509327, -0.1112954 51.9517922, -0.1069055 51.9525188, -0.1060007 51.9526686, -0.1008079 51.9535742, -0.0954918 51.9544739, -0.0899289 51.95543, -0.084385 51.9563668, -0.0800316 51.9571121, -0.0745008 51.9580772, -0.0687234 51.9590487, -0.0632087 51.9599811, -0.0574366 51.9609719, -0.0518981 51.9619059, -0.0461257 51.9628171, -0.0406544 51.9637123, -0.0357421 51.9634991, -0.0298689 51.9631954, -0.0244857 51.9628761, -0.0181503 51.9625318, -0.0134055 51.962269, -0.0076065 51.9619492, -0.0020383 51.9616187, 0.0036534 51.9613774, 0.0085886 51.9610733, 0.0142427 51.9607592, 0.0201704 51.9604518, 0.0259211 51.9601312, 0.0312855 51.9598105, 0.0363602 51.9595262, 0.0426369 51.9591758, 0.0479691 51.9588519, 0.0527971 51.9585874, 0.0575821 51.9568618, 0.0623994 51.9551163, 0.0665514 51.9536021, 0.0707035 51.9520548, 0.0760679 51.9501108, 0.0806167 51.948484, 0.0856968 51.9466059, 0.0904175 51.9449129, 0.0944461 51.9434182, 0.0997194 51.941487, 0.1038285 51.9399791, 0.1073049655829326 51.93828053263716, 0.11846011124678 51.93505281828974)",False
way/28691559-400,way/91082448-400,400.0,3574.952866822164,51728.01,Al/St 240/40 4-bundle 380.0,"LINESTRING (-0.2358172649562416 50.9752671495426, -0.2188727207924444 50.975778149793875, -0.2162063 50.9757827, -0.2110423 50.9758078, -0.2061198 50.9758038, -0.2009601 50.9758271, -0.1966031 50.9759005, -0.1917745 50.9768177, -0.187771 50.9775971, -0.1824356 50.9786781, -0.177159 50.9797845, -0.173164 50.9805534, -0.1703146 50.9810719, -0.1663575 50.9818527, -0.1617662 50.9814041, -0.1565378 50.9809646, -0.1513294 50.9805039, -0.1450341 50.9787708, -0.1428345 50.9781442, -0.1379296 50.9777937, -0.1326781 50.9774072, -0.1278907 50.9770151, -0.1223128 50.9765733, -0.1161266 50.9780243, -0.1110881 50.9774689, -0.105304 50.9768879, -0.1003993 50.9763129, -0.0950739 50.9757434, -0.0895431 50.9757406, -0.0845147 50.9756829, -0.0803196 50.9756874, -0.0759213 50.975632, -0.067463 50.9755418, -0.0622201 50.9755034, -0.0574495 50.9754684, -0.0534146 50.9773462, -0.0485268 50.9796571, -0.0437905 50.9803952, -0.0401046 50.9809404, -0.0353972 50.9817085, -0.034531 50.9818425, -0.0312124 50.9823914, -0.0253879 50.9833988, -0.0216065 50.9839491, -0.020163 50.9841591, -0.0154852 50.9849284, -0.0113374 50.9856231, -0.0075554 50.9862391, -0.0021567 50.9869948, 0.0016317 50.9860834, 0.0070174 50.9848062, 0.0104178 50.9839215, 0.0109372 50.9837978, 0.0142814 50.9830014, 0.0195552 50.9817225, 0.025061 50.9803256, 0.0279418 50.9783368, 0.0322673 50.9756601, 0.0352829 50.9737939, 0.039268 50.9714042, 0.0422208 50.9696335, 0.0471385 50.9665713, 0.050937 50.9642624, 0.0571582 50.9604676, 0.061043 50.9580874, 0.0653147 50.9568239, 0.0709934 50.9551185, 0.0756071 50.9538391, 0.0815287 50.9521277, 0.0863006 50.9507429, 0.0899291 50.949739, 0.0950585 50.9483245, 0.1002817 50.9467412, 0.1059666 50.9446864, 0.1100507 50.9430949, 0.1150744 50.9429256, 0.1211916 50.9428799, 0.1231188 50.9428655, 0.1259405 50.9428445, 0.1296227 50.9427958, 0.1342404 50.9426876, 0.1388877 50.9426195, 0.14345 50.9424983, 0.1481707 50.9418331, 0.1532547 50.9412327, 0.1585905 50.9405243, 0.1628735 50.9400105, 0.1658861 50.939567, 0.1719029 50.9387611, 0.1761085 50.938145, 0.1807778 50.9375604, 0.1860382 50.9367968, 0.190243 50.9353899, 0.1947984 50.9339772, 0.1989653 50.9326003, 0.203789 50.9310045, 0.2075655 50.9297711, 0.2119574 50.9283164, 0.2172815 50.9265685, 0.2220834 50.9248912, 0.2272738 50.9231853, 0.2319945 50.9222655, 0.2371443 50.9212267, 0.2427062 50.9202636, 0.247986 50.919297, 0.2528286 50.9183757, 0.2578295 50.91732, 0.263877 50.9165446, 0.2687934 50.9158573, 0.2738602 50.9150986, 0.2798537 50.9141923, 0.2838877 50.9117029, 0.2880498 50.9091574, 0.2921105 50.9066281, 0.2966327 50.9037977, 0.3011782 50.9025526, 0.3055012 50.9013165, 0.3111299 50.8997306, 0.3156772 50.8985253, 0.3208924 50.8970302, 0.3266807 50.8963397, 0.3320727 50.8956765, 0.3373886 50.8950802, 0.343463 50.8943813, 0.3479943 50.8924553, 0.3514275 50.8910205, 0.3547293 50.8895945, 0.3598846 50.8885882, 0.3635335 50.8877175, 0.3677284 50.8869578, 0.3720783 50.8860756, 0.3759204 50.8853333, 0.3810494 50.8842771, 0.3858885 50.8833318, 0.3900799 50.8825388, 0.3944716 50.8816802, 0.4005807 50.8805886, 0.4051524 50.8796923, 0.4109453 50.8785951, 0.4163904 50.8781449, 0.4215513 50.8777947, 0.4273424 50.8773442, 0.432428 50.8786114, 0.436223 50.8795538, 0.438990646852218 50.8802434263573, 0.4483953922970407 50.8812160108653)",False
way/636630371-400,way/4715504-400,400.0,3574.952866822164,7627.09,Al/St 240/40 4-bundle 380.0,"LINESTRING (-1.2850681815392417 50.83562429179856, -1.281579275743121 50.8399162266618, -1.2810181 50.8405401, -1.278948 50.8428105, -1.2739469 50.8437282, -1.2685645 50.8447021, -1.2629455 50.8457001, -1.2576589 50.8466535, -1.2524132 50.8475966, -1.249909 50.8507319, -1.2504965 50.8541793, -1.2507321 50.8555454, -1.2510937 50.8576422, -1.2515837 50.8604368, -1.2521474 50.8634273, -1.2527442 50.8669098, -1.2532907 50.8702752, -1.2505244 50.8728564, -1.248235 50.8750089, -1.2461172 50.8760163, -1.2449042 50.8765933, -1.2406706 50.8788065, -1.2398543 50.8792151, -1.2376956863392996 50.88029569875499, -1.232597802703451 50.88478848238346)",False
relation/19396462-400,way/22975329-400,400.0,3574.952866822164,5440.81,Al/St 240/40 4-bundle 380.0,"LINESTRING (-0.0113544671514545 51.714246354607546, -0.0132355960876271 51.71964300002918, -0.0136022 51.7199911, -0.0123835 51.7225327, -0.0108577 51.7255354, -0.0091391 51.7289604, -0.0080061 51.7313473, -0.0050964 51.7335906, -0.0013992 51.7363427, 0.0014181 51.7393152, 0.0044823 51.7425678, 0.0072042 51.7454978, 0.0086388 51.7478935, 0.010233 51.7505669, 0.0120614844279441 51.75365993438232, 0.0097894285153132 51.75874744699197)",False
relation/9409219-400,GB93-400,400.0,3574.952866822164,16142.17,Al/St 240/40 4-bundle 380.0,"LINESTRING (-1.474663299999991 50.90390799424384, -1.4748840900051496 50.89942555022779, -1.4749142 50.8973381, -1.4741848 50.8945283, -1.4718245 50.8930124, -1.4692645 50.8910997, -1.4655761 50.8885458, -1.4621083 50.8860279, -1.4600654 50.8834806, -1.4579921 50.8809533, -1.4560308 50.8785877, -1.4536371 50.8757824, -1.4513195 50.8729169, -1.4486245 50.8697809, -1.4448308 50.8676736, -1.4415006 50.8659241, -1.4379997 50.86401, -1.434145 50.8619586, -1.4311839 50.8594719, -1.4277665 50.8566524, -1.4248284 50.8541917, -1.4217185 50.851667, -1.4168531 50.8499283, -1.4118695 50.8482544, -1.4072004 50.8466772, -1.4025755 50.8451294, -1.3977776 50.8434816, -1.3972365 50.8399641, -1.3967466 50.8372722, -1.3962776 50.8343429, -1.395643 50.8307823, -1.3957138 50.8272346, -1.3956922 50.8244645, -1.3906086 50.8237645, -1.3846598 50.822992, -1.3791467 50.8224733, -1.3734958 50.8219577, -1.3688489 50.8199683, -1.3647828 50.8179758, -1.3609354 50.8188509, -1.355561 50.8200054, -1.3502279 50.8211557, -1.3445019 50.8209916, -1.3392904 50.8208391, -1.3376811450955426 50.82078408022895, -1.32873778206139 50.82162304442217)",False
GB93-400,way/23988786-400,400.0,3574.952866822164,4421.31,Al/St 240/40 4-bundle 380.0,"LINESTRING (-1.4872019218586756 50.941759033289486, -1.4845802927539085 50.93623881786935, -1.4847588 50.9347506, -1.4847657 50.9346929, -1.484771 50.9346487, -1.4847734 50.9346285, -1.4847966 50.9344353, -1.4851713 50.9309703, -1.4855231 50.9275299, -1.4857269 50.925104, -1.4835095 50.9228401, -1.4805449 50.9199497, -1.4783562 50.9177961, -1.4775923 50.9150797, -1.4768628 50.9123416, -1.4762619 50.9099496, -1.4758331570276073 50.908330345972715, -1.474663299999991 50.90390799424384)",False
way/103150854-400,way/494951597-400,400.0,3574.952866822164,2382.74,Al/St 240/40 4-bundle 380.0,"LINESTRING (0.2864769767677054 51.491958639341064, 0.2882874812376348 51.48742359230972, 0.2876931 51.485128, 0.2876159 51.4821508, 0.2899419 51.4791093, 0.2890149 51.4771101, 0.2890111438728242 51.4768311309462, 0.2883449366638076 51.47116390590863)",False
relation/7880111-400,way/32796576-400,400.0,3574.952866822164,49868.28,Al/St 240/40 4-bundle 380.0,"LINESTRING (-1.0772802749418453 51.33629200924364, -1.0672556282709025 51.335394469687834, -1.0632161 51.3352009, -1.0580971 51.334839, -1.0531348 51.333818, -1.0479889 51.3326965, -1.0432103 51.331671, -1.0338122 51.3296982, -1.0283565 51.3284926, -1.0229473 51.3286848, -1.0176921 51.3288729, -1.012304 51.3290753, -1.0065922 51.3292938, -1.0008658 51.3294801, -0.9952635 51.32968, -0.9901709 51.329851, -0.9858079 51.330016, -0.9808506 51.3301871, -0.9755829 51.3303442, -0.9706947 51.3305436, -0.9657439 51.330721, -0.9614481 51.3317517, -0.9568355 51.33283, -0.9518868 51.3340611, -0.9471614 51.3352162, -0.9430792 51.3372035, -0.9392018 51.3391182, -0.9349472 51.3412319, -0.9299543 51.342212, -0.9243932 51.3433136, -0.919157 51.3443536, -0.9146612 51.3452416, -0.9101238 51.3455063, -0.9081825 51.3456128, -0.9047444 51.3458204, -0.8999731 51.3460815, -0.8951811 51.3460117, -0.8900111 51.3459325, -0.8854088 51.3458661, -0.8805152 51.3457853, -0.875098 51.3457134, -0.8698244 51.3456319, -0.8655493 51.3461154, -0.8595729 51.346857, -0.8547668 51.3473954, -0.849381 51.3480588, -0.8443169 51.3486485, -0.8388908 51.3495309, -0.8332757 51.3503762, -0.827839 51.3511966, -0.8222756 51.3520605, -0.8176256 51.3527667, -0.8140785 51.3547593, -0.811148 51.3563786, -0.8065622 51.35892, -0.8036615 51.3606615, -0.7991559 51.3603491, -0.7971529 51.3602302, -0.7946761 51.3600865, -0.7887593 51.3596965, -0.7837458 51.3593963, -0.779611 51.3591313, -0.7739749 51.3587182, -0.7695434 51.3584151, -0.7645229 51.3580741, -0.7600138 51.3578201, -0.7550142 51.357244, -0.7495899 51.3565559, -0.7448694 51.3559368, -0.7384841 51.3551442, -0.7340196 51.3545971, -0.7281196 51.3546583, -0.7234128 51.3547536, -0.7181602 51.3547554, -0.7143148 51.3526344, -0.7110834 51.3509339, -0.708223 51.3480539, -0.7053427 51.3450483, -0.7024426 51.3420347, -0.6994735 51.3389013, -0.6964046 51.3388859, -0.6915459 51.3396472, -0.6851519 51.3405273, -0.6755819 51.3418612, -0.6706738 51.342534, -0.6657419 51.3435699, -0.6606426 51.3447289, -0.6555935 51.3457692, -0.6509758 51.3467333, -0.6467361 51.3488141, -0.6419418 51.3508156, -0.6373801 51.3529103, -0.6325392 51.3549583, -0.628026 51.3571418, -0.6234625 51.359101, -0.6189363 51.359919, -0.6143516 51.3605588, -0.608965 51.3623077, -0.604278 51.3635319, -0.6001855 51.3648961, -0.5951775 51.3663819, -0.5901865 51.3678525, -0.5855074 51.3693676, -0.5807838 51.3706599, -0.5768623 51.3719077, -0.5712474 51.3737793, -0.5678191 51.3755158, -0.5633311 51.3779225, -0.5590642 51.3803627, -0.5551539 51.3832452, -0.5523848 51.385573, -0.5486366 51.3885137, -0.5459309 51.3906315, -0.5397718 51.3911615, -0.5345361 51.3916864, -0.5299154 51.3915295, -0.5274296 51.3907207, -0.5234761 51.389409, -0.5198247 51.386957, -0.5175741 51.385327, -0.5135247 51.3842948, -0.5112328 51.3836801, -0.5085122 51.3829503, -0.5041739 51.3817095, -0.4996974 51.3800468, -0.4951741 51.3783272, -0.4910028 51.3797575, -0.48684 51.381145, -0.4822824 51.3818307, -0.4768052 51.3810954, -0.4737668 51.3806831, -0.4723929 51.3783841, -0.4709892 51.3760085, -0.469605 51.3737081, -0.469455 51.3717652, -0.4705662 51.3697338, -0.4719052 51.3672529, -0.4759392 51.3654416, -0.4773297 51.3627996, -0.478969 51.3596751, -0.4795139428120613 51.358655416027595, -0.4839753531991876 51.35079582408274)",False
