GEM location ID,bus_id
L100000103754,way/160580052-400
L100000103768,way/137050527
L100000103760,relation/13110368-400
L100000103762,relation/13110369-400
L100000200201,way/159736514-400
L100000200216,way/292471784-400
L100000200224,GB35-400
L100000200226,way/42800878-400
L100000200231,GB10-525
L100000200233,way/371757485-400
L100000200237,way/25935453-400
L100000200243,way/193617444-400
L100000200244,way/193617444-400
L100000200255,way/167621580-400
L100000200260,way/23232738-400
L100000200263,way/23164256-400
L100000200265,relation/7879831-400
L100000200266,way/65482882-400
L100000200274,relation/13110368-400
L100000200275,GB33-400
L100000200276,way/167621580-400
L100000200277,way/376450057-400
L100000200282,GB47-400
L100000200283,way/109730296-400
L100000200284,relation/7872518-400
L100000200285,way/102549055-400
L100000200286,relation/7650368-400
L100000200287,GB47-400
L100000200289,way/292471784-400
L100000200291,way/90547674-400
L100000200293,way/895564309-400
L100000200295,way/23232738-400
L100000200296,way/1389837644-400
L100000200301,way/23228362-400
L100000200302,way/676646876-400
L100000200303,way/109730296-400
L100000200304,way/109730296-400
L100000200305,way/159736514-400
L100000200307,way/635229626-400
L100000200308,GB80-400
L100000200318,way/91010022-400
L100000200321,way/109730296-400
L100000201233,way/31545125-400
L100000201234,way/91010711-400
L100000201244,GB80-400
L100000201245,relation/14921826-400
L100000103759,way/642490160
L100000401442,relation/7879831-400
L100000401443,way/137050527
L100000400728,GB30-400
L100000400729,way/32796576-400
L100000400730,way/1389837644-400
L100000400731,relation/7894457-400
L100000400733,way/49922626-400
L100000400734,way/1274396508-400
L100000400738,way/137050527
L100000400739,way/88287125-400
L100000400740,way/100773252-400
L100000400741,way/314338790-400
L100000400742,way/814351697-400
L100000401457,way/263863442-400
L100000400745,way/22975329-400
L100000400746,relation/9409219-400
L100000400747,relation/11051275-400
L100000400749,way/143783006-400
L100000400752,GB9-400
L100000400754,way/32227788-400
L100000400755,relation/7881280-400
L100000401447,way/91010022-400
L100000400763,way/677845115-400
L100000400764,way/89038614-400
L100000401451,way/681875115-400
L100000400766,GB82-400
L100000400767,relation/13110367-400
L100000400772,way/376450057-400
L100000400773,way/133323988-400
L100000400774,way/23164132-400
L100000400775,way/23164256-400
L100000400776,relation/19396462-400
L100000400777,way/701436399-400
L100000400781,way/292471784-400
L100000400783,way/42800878-400
L100000400785,way/91082448-400
L100000400786,way/313180501-400
L100000400788,way/376450057-400
L100000400790,way/91003253-400
L100000400794,way/635226843-400
L100000400795,way/49601061-400
L100000400797,GB28-400
L100000400798,relation/13110367-400
L100000400799,way/257311344-400
L100000400808,way/23164256-400
L100000400809,way/635829123-400
L100000401441,relation/7879831-400
L100000401446,way/553490952-400
L100000401448,way/635829123-400
L100000401454,way/1389837644-400
L100000401453,relation/7650368-400
L100000401456,way/95338682-400
L100000103755,way/313495269-400
L100000103756,way/193617444-400
L100000406411,way/23299362-400
L100000406412,way/49499923-400
L100000406413,way/26678829-400
L100000406414,GB55-400
