bus_id,grid_cell
way/4715504-400,GBR_140
way/4746208-400,GBR_171
way/16582436-400,GBR_180
way/20851038-400,GBR_157
way/22975329-400,GBR_171
way/23059230-400,GBR_142
way/23164132-400,GBR_108
way/23164256-400,GBR_108
way/536905500-400,GBR_108
way/23228362-400,GBR_171
way/23232738-400,GBR_159
way/23299362-400,GBR_170
way/23299657-400,GBR_170
way/636630371-400,GBR_140
way/23988786-400,GBR_140
way/24165071-400,GBR_172
way/25629803-400,GBR_164
way/25935453-400,GBR_172
way/26678829-400,GBR_82
way/26938722-400,GBR_81
way/26938722-400,wof-GBR_236
way/28691559-400,GBR_178
way/29111844-400,GBR_180
way/31015820-400,GBR_171
way/31545125-400,GBR_126
way/32227788-400,GBR_188
way/32604320-400,GBR_171
way/32796576-400,GBR_141
way/33917128-400,GBR_164
way/34205588-400,GBR_102
way/34656007-400,GBR_63
way/34656007-400,wof-GBR_213
way/635829123-400,GBR_173
way/41710456-400,GBR_159
way/42800878-400,GBR_104
way/43472283-400,GBR_149
way/43472283-400,wof-GBR_327
way/48876730-400,GBR_103
way/49499923-400,GBR_144
way/49601061-400,GBR_171
way/49922626-400,GBR_102
way/49922626-400,wof-GBR_282
way/68515955-400,GBR_77
way/68515955-400,wof-GBR_226
way/71118225-400,GBR_145
way/77065229-400,GBR_172
way/86071326-400,GBR_74
way/87204522-400,GBR_145
way/87207123-400,GBR_127
way/87953830-400,GBR_185
way/88287125-400,GBR_160
way/88389243-400,GBR_158
way/89038614-400,GBR_172
way/89427607-400,GBR_70
way/89427607-400,wof-GBR_220
way/89453364-400,GBR_160
way/89573357-400,GBR_69
way/89573358-400,GBR_69
way/90099036-400,GBR_122
way/90125443-400,GBR_164
way/90534270-400,GBR_144
way/90539508-400,GBR_146
way/90547674-400,GBR_147
way/785730495-400,GBR_146
way/91003253-400,GBR_162
way/91010022-400,GBR_179
way/91010711-400,GBR_179
way/91056548-400,GBR_55
way/91082448-400,GBR_170
way/91955171-400,GBR_149
way/92340133-400,GBR_160
way/92419253-400,GBR_128
way/92458761-400,GBR_126
way/92460913-400,GBR_125
way/92483460-400,GBR_105
way/92529432-400,GBR_128
way/93299730-400,GBR_171
way/94530230-400,GBR_180
way/1274396508-400,GBR_108
way/95279334-400,GBR_124
way/95338682-400,GBR_107
way/95749833-400,GBR_84
way/95895489-400,GBR_84
way/95896505-400,GBR_105
way/96107758-400,GBR_125
way/96905262-400,GBR_113
way/96905262-400,wof-GBR_268
way/97256377-400,GBR_128
way/97551523-400,GBR_134
way/97551523-400,wof-GBR_286
way/98899051-400,GBR_69
way/98899051-400,wof-GBR_219
way/100009331-400,GBR_65
way/100009331-400,wof-GBR_214
way/100077745-400,GBR_73
way/100773252-400,GBR_180
way/101077623-400,GBR_146
way/102198808-400,GBR_133
way/102198808-400,wof-GBR_286
way/102549055-400,GBR_171
way/103150854-400,GBR_171
way/103829261-400,GBR_180
way/103915328-400,GBR_123
way/143783006-400,GBR_180
way/109730296-400,GBR_148
way/109730296-400,wof-GBR_327
way/111550033-400,GBR_134
way/111550033-400,wof-GBR_286
way/115530033-400,GBR_142
way/119616836-400,GBR_103
way/127184694-400,GBR_106
way/142397822-400,GBR_148
way/142397822-400,wof-GBR_327
way/142741752-400,GBR_126
way/142841192-400,GBR_129
way/142845284-400,GBR_69
way/143383456-400,GBR_73
way/143905069-400,GBR_163
way/159736514-400,GBR_146
way/160279525-400,GBR_175
way/160580052-400,GBR_164
way/163036722-400,GBR_128
way/166703766-400,GBR_117
way/166703766-400,wof-GBR_270
way/167621580-400,GBR_126
way/190511290-400,GBR_174
way/193617444-400,GBR_147
way/200511209-400,GBR_149
way/200511209-400,wof-GBR_328
way/701436399-400,GBR_175
way/209404646-400,GBR_148
way/209404646-400,wof-GBR_327
way/227589012-400,GBR_171
way/257311344-400,GBR_175
way/1078525352-400,GBR_113
way/1078525352-400,wof-GBR_286
way/262532045-400,GBR_113
way/262532045-400,wof-GBR_286
way/263863442-400,GBR_142
way/264102298-400,GBR_178
way/1412218972-400,GBR_179
way/576238223-400,GBR_187
way/280317944-400,GBR_88
way/284874050-400,GBR_92
way/292371992-400,GBR_103
way/292471784-400,GBR_104
way/297840585-400,GBR_55
way/297840585-400,wof-GBR_200
way/65482882-400,GBR_114
way/65482882-400,wof-GBR_268
way/310495264-400,GBR_109
way/310502642-400,GBR_150
way/313180501-400,GBR_175
way/313495269-400,GBR_147
way/314338790-400,GBR_163
relation/13110369-400,GBR_163
way/371757485-400,GBR_171
way/375626500-400,GBR_108
way/376450057-400,GBR_174
way/447301159-400,GBR_171
way/472164401-400,GBR_162
way/494951597-400,GBR_171
way/533670766-400,GBR_171
way/553490952-400,GBR_84
relation/19169705-400,GBR_109
way/635226843-400,GBR_173
way/635229626-400,GBR_182
way/814351697-400,GBR_179
way/676646876-400,GBR_92
way/677845115-400,GBR_63
way/677845115-400,wof-GBR_236
way/681875115-400,GBR_140
way/689626274-400,GBR_76
way/1386143667-400,GBR_187
relation/10695345-400,GBR_185
relation/10695345-400,wof-GBR_432
way/775577829-400,GBR_185
way/820231183-400,GBR_137
way/820231183-400,wof-GBR_290
way/820237569-400,GBR_117
way/895564309-400,GBR_174
way/925179651-400,GBR_180
way/1049638569-400,GBR_103
way/1078532568-400,GBR_174
way/1087785232-400,GBR_103
way/1097582201-400,GBR_146
way/23299459-400,GBR_171
relation/13110367-400,GBR_48
relation/13110367-400,wof-GBR_191
way/1185489725-400,GBR_117
way/1185489725-400,wof-GBR_270
way/133323988-400,GBR_137
way/133323988-400,wof-GBR_311
way/1263000221-400,GBR_136
way/1263095951-400,GBR_58
way/143398451-400,GBR_73
way/23281217-400,GBR_179
way/1274943512-400,GBR_73
way/1274952328-400,GBR_149
way/1274952328-400,wof-GBR_327
way/1275300370-400,GBR_171
way/1377318457-400,GBR_123
way/1389837644-400,GBR_188
way/1395117766-400,GBR_129
relation/7650368-400,GBR_160
relation/7872518-400,GBR_180
relation/7879831-400,GBR_66
relation/7880111-400,GBR_158
relation/7881280-400,GBR_163
relation/7886014-400,GBR_106
relation/7894457-400,GBR_128
relation/7894974-400,GBR_73
relation/7894975-400,GBR_109
relation/9409219-400,GBR_140
relation/9572254-400,GBR_45
relation/9572254-400,wof-GBR_188
relation/9598269-400,GBR_128
relation/10377509-400,GBR_112
relation/11051275-400,GBR_110
relation/11543333-400,GBR_149
relation/13110368-400,GBR_145
relation/14921826-400,GBR_111
relation/19396462-400,GBR_171
GB93-400,GBR_140
GB80-400,GBR_171
GB33-400,GBR_163
GB38-400,GBR_175
GB28-400,GBR_129
way/27163121-400,GBR_113
way/27163121-400,wof-GBR_268
GB81-400,GBR_171
GB92-400,GBR_178
way/884174267-400,GBR_104
GB30-400,GBR_129
GB13-400,GBR_113
GB13-400,wof-GBR_268
GB40-400,GBR_146
GB36-400,GBR_146
GB42-400,GBR_163
GB55-400,GBR_145
GB54-400,GBR_107
GB68-400,GBR_84
GB90-400,GBR_103
GB71-400,GBR_104
GB20-400,GBR_109
GB51-400,GBR_69
GB51-400,wof-GBR_219
GB35-400,GBR_175
GB37-400,GBR_146
GB34-400,GBR_163
GB61-400,GBR_126
GB56-400,GBR_174
GB57-400,GBR_145
GB75-400,GBR_180
GB67-400,GBR_181
GB23-400,GBR_109
GB16-400,GBR_131
GB60-400,GBR_144
GB58-400,GBR_126
GB86-400,GBR_170
GB82-400,GBR_180
GB91-400,GBR_103
GB83-400,GBR_123
GB52-400,GBR_69
GB52-400,wof-GBR_219
GB79-400,GBR_171
GB76-400,GBR_142
GB73-400,GBR_142
GB14-400,GBR_55
GB47-400,GBR_108
way/239248206-400,GBR_59
way/1177951352-400,GBR_75
GB9-400,GBR_94
way/495512689-400,GBR_74
way/495512692-400,GBR_75
GB19-400,GBR_109
GB10-525,GBR_134
GB10-525,wof-GBR_286
GB89-400,GBR_103
GB87-400,GBR_170
GB53-400,GBR_69
GB53-400,wof-GBR_219
way/636630368-400,GBR_140
way/422486984-400,GBR_74
GB17-525,GBR_149
GB17-525,wof-GBR_328
way/109189896,GBR_180
way/137050527,GBR_35
way/137050527,wof-GBR_172
way/148382435,GBR_54
way/148382435,wof-GBR_198
way/297840585,GBR_55
way/297840585,wof-GBR_200
way/375626500,GBR_108
way/642490160,GBR_150
way/1078532568,GBR_174
relation/10695345,GBR_185
relation/10695345,wof-GBR_432
way/137050527,GBR_0
way/137050527,GBR_2
way/137050527,GBR_3
way/137050527,GBR_4
way/239248206-400,GBR_6
way/239248206-400,GBR_7
way/137050527,GBR_9
way/137050527,GBR_10
way/137050527,GBR_11
way/137050527,GBR_12
way/137050527,GBR_13
way/239248206-400,GBR_14
way/239248206-400,GBR_15
way/239248206-400,GBR_16
way/239248206-400,GBR_17
way/137050527,GBR_18
way/137050527,GBR_19
way/137050527,GBR_20
way/137050527,GBR_21
way/137050527,GBR_22
way/137050527,GBR_23
way/297840585,GBR_24
way/239248206-400,GBR_25
way/239248206-400,GBR_26
way/239248206-400,GBR_27
way/239248206-400,GBR_28
relation/9572254-400,GBR_30
relation/13110367-400,GBR_31
relation/13110367-400,GBR_32
way/137050527,GBR_33
way/137050527,GBR_34
way/137050527,GBR_36
way/297840585,GBR_37
way/297840585,GBR_38
way/1263095951-400,GBR_39
way/239248206-400,GBR_40
way/239248206-400,GBR_41
way/239248206-400,GBR_42
way/239248206-400,GBR_43
relation/9572254-400,GBR_46
relation/13110367-400,GBR_49
way/89427607-400,GBR_51
way/89427607-400,GBR_52
way/148382435,GBR_53
way/91056548-400,GBR_56
way/1263095951-400,GBR_57
way/239248206-400,GBR_60
way/68515955-400,GBR_61
way/100009331-400,GBR_64
relation/7879831-400,GBR_67
way/142845284-400,GBR_68
way/148382435,GBR_71
way/100077745-400,GBR_72
way/68515955-400,GBR_78
way/68515955-400,GBR_79
way/292371992-400,GBR_83
way/553490952-400,GBR_85
way/89573357-400,GBR_86
way/280317944-400,GBR_87
way/310495264-400,GBR_89
GB19-400,GBR_90
way/676646876-400,GBR_91
way/284874050-400,GBR_93
way/1177951352-400,GBR_95
way/1177951352-400,GBR_96
way/166703766-400,GBR_97
way/166703766-400,GBR_98
way/166703766-400,GBR_99
way/166703766-400,GBR_100
way/166703766-400,GBR_101
way/65482882-400,GBR_115
way/1263000221-400,GBR_116
way/166703766-400,GBR_118
way/166703766-400,GBR_119
way/166703766-400,GBR_120
relation/11051275-400,GBR_130
GB16-400,GBR_132
way/1263000221-400,GBR_135
way/820231183-400,GBR_138
way/23059230-400,GBR_143
way/642490160,GBR_151
way/133323988-400,GBR_154
way/133323988-400,GBR_155
way/88287125-400,GBR_161
way/25629803-400,GBR_165
way/109730296-400,GBR_166
way/91082448-400,GBR_169
way/313180501-400,GBR_176
way/33917128-400,GBR_177
way/635229626-400,GBR_183
relation/10695345-400,GBR_186
way/32227788-400,GBR_189
way/137050527,wof-GBR_0
way/137050527,wof-GBR_1
way/137050527,wof-GBR_2
way/137050527,wof-GBR_3
way/137050527,wof-GBR_4
way/137050527,wof-GBR_5
way/137050527,wof-GBR_6
way/137050527,wof-GBR_7
way/137050527,wof-GBR_8
way/137050527,wof-GBR_9
way/137050527,wof-GBR_10
way/137050527,wof-GBR_11
way/137050527,wof-GBR_12
way/239248206-400,wof-GBR_13
way/137050527,wof-GBR_15
way/137050527,wof-GBR_16
way/137050527,wof-GBR_17
way/137050527,wof-GBR_18
way/137050527,wof-GBR_44
way/137050527,wof-GBR_45
way/137050527,wof-GBR_53
way/137050527,wof-GBR_55
way/137050527,wof-GBR_56
way/239248206-400,wof-GBR_59
way/239248206-400,wof-GBR_60
way/137050527,wof-GBR_67
way/137050527,wof-GBR_68
way/239248206-400,wof-GBR_69
way/239248206-400,wof-GBR_70
way/239248206-400,wof-GBR_71
way/239248206-400,wof-GBR_72
