line_id,bus0,bus1,type,voltage,s_nom,length,geometry,HVDC
GB_line_4,way/375626500,way/1078532568,way/1078532568;way/375626500,400.0,28767.199000000004,34649.679666248005,,
GB_line_15,way/1274396508-400,way/375626500,way/1274396508-400;way/375626500,400.0,17930.622000000003,21098.70225865003,,
GB_line_6,way/1078532568,way/642490160,way/1078532568;way/642490160,400.0,10836.576,39257.86047700121,,
GB_line_8,way/109189896,way/25422135-400,way/109189896;way/25422135-400,400.0,10724.859,36381.78333333333,,
GB_line_17,way/1274396508-400,way/636630368,way/1274396508-400;way/636630368,400.0,10724.858,61072.83406960353,,
GB_line_3,way/1078532568,way/25422135-400,way/1078532568;way/25422135-400,400.0,10099.242,90185.54604676072,,
GB_line_23,way/375626500,way/536905500,way/375626500;way/536905500,400.0,9914.91,14563.534836102395,,
GB_line_11,way/568527671,way/297840585,way/297840585;way/568527671,400.0,9104.958,28732.29091668956,,
GB_line_24,way/636630368,way/375626500,way/375626500;way/636630368,400.0,8993.241,46896.97698483896,,
GB_line_5,way/1078532568,way/636630368,way/1078532568;way/636630368,400.0,7149.906,51096.315,,
GB_line_12,way/568527671,way/642490160,way/568527671;way/642490160,400.0,7149.906,42956.745,,
GB_line_2,way/1078532568,way/109189896,way/1078532568;way/109189896,400.0,7149.905000000001,30840.28445235006,,
GB_line_20,way/23281217,way/775577829,way/23281217;way/775577829,400.0,7149.904,20150.83,,
GB_line_25,way/642490160,way/375626500,way/375626500;way/642490160,400.0,5418.2880000000005,61226.55926929133,,
GB_line_9,way/636630368,way/109189896,way/109189896;way/636630368,275.0,3686.671,16158.644494897972,,
GB_line_22,way/297840585,way/642490160,way/297840585;way/642490160,400.0,3574.953,41799.05,,
GB_line_19,way/23281217,way/636630368,way/23281217;way/636630368,400.0,3574.953,51728.01,,
GB_line_1,way/775577829,relation/10695345,relation/10695345;way/775577829,400.0,3574.953,20923.87,,
GB_line_13,way/297840585,way/1262971878,way/1262971878;way/297840585,400.0,3574.952,37098.255,,
GB_line_14,way/1262971878,way/568527671,way/1262971878;way/568527671,275.0,2826.447,41521.895217391306,,
GB_line_16,way/1274396508-400,way/536905500,way/1274396508-400;way/536905500,400.0,2770.588,21463.97483994011,,
GB_line_10,way/109189896,way/775577829,way/109189896;way/775577829,400.0,1787.476,28530.53,,
GB_line_7,way/109189896,way/23281217,way/109189896;way/23281217,400.0,1787.476,14965.36,,
GB_line_18,way/148382435,way/297840585,way/148382435;way/297840585,275.0,921.668,48136.71,,
