GEM location ID,bus_id
L100000103754,way/1078532568
L100000103768,way/137050527
L100000103760,way/1078532568
L100000103762,way/1078532568
L100000200201,way/1078532568
L100000200216,way/636630368
L100000200224,way/1078532568
L100000200226,way/1274396508-400
L100000200231,way/642490160
L100000200233,way/109189896
L100000200237,way/25422135-400
L100000200243,way/1078532568
L100000200244,way/1078532568
L100000200255,way/375626500
L100000200260,way/636630368
L100000200263,way/375626500
L100000200265,way/1274396508-400
L100000200266,way/568527671
L100000200274,way/1078532568
L100000200275,way/1078532568
L100000200276,way/375626500
L100000200277,way/1078532568
L100000200282,way/1274396508-400
L100000200283,way/642490160
L100000200284,way/109189896
L100000200285,way/109189896
L100000200286,way/1078532568
L100000200287,way/1274396508-400
L100000200289,way/636630368
L100000200291,way/1078532568
L100000200293,way/1078532568
L100000200295,way/636630368
L100000200296,way/25422135-400
L100000200301,way/109189896
L100000200302,way/297840585
L100000200303,way/642490160
L100000200304,way/642490160
L100000200305,way/1078532568
L100000200307,way/25422135-400
L100000200308,way/109189896
L100000200318,way/109189896
L100000200321,way/642490160
L100000201233,way/375626500
L100000201234,way/109189896
L100000201244,way/109189896
L100000201245,way/642490160
L100000103759,way/642490160
L100000401442,way/1274396508-400
L100000401443,way/137050527
L100000400728,way/1078532568
L100000400729,way/636630368
L100000400730,way/25422135-400
L100000400731,way/375626500
L100000400733,way/636630368
L100000400734,way/1274396508-400
L100000400738,way/137050527
L100000400739,way/1078532568
L100000400740,way/109189896
L100000400741,way/1078532568
L100000400742,way/109189896
L100000401457,way/636630368
L100000400745,way/109189896
L100000400746,way/636630368
L100000400747,way/375626500
L100000400749,way/109189896
L100000400752,way/297840585
L100000400754,way/25422135-400
L100000400755,way/1078532568
L100000401447,way/109189896
L100000400763,way/636630368
L100000400764,way/1078532568
L100000401451,way/636630368
L100000400766,way/109189896
L100000400767,way/260836695
L100000400772,way/1078532568
L100000400773,way/568527671
L100000400774,way/375626500
L100000400775,way/375626500
L100000400776,way/109189896
L100000400777,way/1078532568
L100000400781,way/636630368
L100000400783,way/1274396508-400
L100000400785,way/636630368
L100000400786,way/1078532568
L100000400788,way/1078532568
L100000400790,way/1078532568
L100000400794,way/1078532568
L100000400795,way/109189896
L100000400797,way/375626500
L100000400798,way/260836695
L100000400799,way/1078532568
L100000400808,way/375626500
L100000400809,way/1078532568
L100000401441,way/1274396508-400
L100000401446,way/1274396508-400
L100000401448,way/1078532568
L100000401454,way/25422135-400
L100000401453,way/1078532568
L100000401456,way/1274396508-400
L100000103755,way/1078532568
L100000103756,way/1078532568
L100000406411,way/109189896
L100000406412,way/375626500
L100000406413,way/636630368
L100000406414,way/1078532568
L100000407585,way/642490160
L100000103775,way/1078532568
L100000407586,way/636630368
L100000407588,way/375626500
L100000407635,way/642490160
L100000407636,way/1078532568
L100000407637,way/375626500
L100000407638,way/1078532568
L100000407646,way/642490160
L100000407718,way/1274396508-400
L100000407719,way/536905500
L100000407762,way/109189896
L100000407763,way/375626500
L100000407945,way/1078532568
L100000408863,way/109189896
L100000408864,way/568527671
L100000408865,way/642490160
L100000408852,way/642490160
L100000408853,way/1274396508-400
L100000408855,way/642490160
L100000400748,way/1078532568
L100000408857,way/1078532568
L100000408858,way/636630368
L100000408910,way/375626500
L100000408909,way/1078532568
L100000408930,way/568527671
L100000409134,way/1274396508-400
L100000500188,way/642490160
L100000500373,way/642490160
L100000500374,way/536905500
L100000500375,way/636630368
L100000500376,way/297840585
L100000500378,way/25422135-400
L100000603695,way/297840585
L100000603696,way/297840585
L100000603697,way/297840585
L100000603699,way/297840585
L100000603700,way/1078532568
L100000603701,way/297840585
L100000603703,way/297840585
L100000603704,way/1274396508-400
L100000603706,way/297840585
L100000603707,way/297840585
L100000603708,way/297840585
L100000603709,way/1078532568
L100000603710,way/297840585
L100000603711,way/1262971878
L100000603712,way/297840585
L100000603698,way/297840585
L100000603702,way/297840585
L100000603705,way/297840585
L100000700252,way/1274396508-400
L100000805696,way/25422135-400
L100000805705,way/1078532568
L100000805706,way/375626500
L100000805710,way/1078532568
L100000805712,way/1078532568
L100000805714,way/137050527
L100000805716,way/636630368
L100000805734,way/775577829
L100000805735,way/25422135-400
L100000805746,way/636630368
L100000805747,way/1078532568
L100000805750,way/109189896
L100000805751,way/636630368
L100000805772,way/636630368
L100000805803,way/25422135-400
L100000805848,way/1078532568
L100000805849,way/642490160
L100000805855,way/636630368
L100000805857,way/636630368
L100000805858,way/260836695
L100000805880,way/1078532568
L100000805888,way/1078532568
L100000805892,way/642490160
L100000805893,way/109189896
L100000805894,way/25422135-400
L100000805903,way/25422135-400
L100000805911,way/636630368
L100000805926,way/1274396508-400
L100000805927,way/636630368
L100000805951,way/636630368
L100000806024,way/109189896
L100000806026,way/1078532568
L100000806100,way/636630368
L100000806105,way/1274396508-400
L100000806117,way/1078532568
L100000806119,way/636630368
L100000806120,way/636630368
L100000806134,way/636630368
L100000806135,way/636630368
L100000806136,way/25422135-400
L100000806137,way/23281217
L100000806140,way/25422135-400
L100000806142,way/25422135-400
L100000806143,way/636630368
L100000806144,way/109189896
L100000806145,way/1274396508-400
L100000806146,way/25422135-400
L100000806147,way/1078532568
L100000806160,way/109189896
L100000806161,way/1274396508-400
L100000806167,way/1078532568
L100000806169,way/636630368
L100000806179,way/636630368
L100000806180,way/636630368
L100000806212,way/636630368
L100000806219,way/636630368
L100000806220,way/636630368
L100000806221,way/1078532568
L100000806222,way/25422135-400
L100000806223,way/1274396508-400
L100000806224,way/25422135-400
L100000806244,way/568527671
L100000806245,way/568527671
L100000806246,way/375626500
L100000806247,way/1274396508-400
L100000806248,way/375626500
L100000806250,way/642490160
L100000806251,way/1078532568
L100000806252,way/636630368
L100000806254,way/1078532568
L100000806255,way/636630368
L100000806256,way/1078532568
L100000806257,way/1078532568
L100000806258,way/137050527
L100000806259,way/137050527
L100000806260,way/1078532568
L100000806261,way/1078532568
L100000806268,way/109189896
L100000806317,way/25422135-400
L100000806318,way/636630368
L100000806319,way/636630368
L100000806320,way/109189896
L100000806323,way/636630368
L100000806343,way/636630368
L100000806344,way/636630368
L100000806345,way/636630368
L100000806346,way/375626500
L100000806348,way/636630368
L100000806349,way/636630368
L100000806362,way/25422135-400
L100000806370,way/260836695
L100000806383,way/568527671
L100000806384,way/1078532568
L100000806404,way/1078532568
L100000806414,way/1078532568
L100000806423,way/1078532568
L100000806452,way/636630368
L100000806453,way/636630368
L100000806457,way/23281217
L100000806495,way/1078532568
L100000806497,way/636630368
L100000806499,way/636630368
L100000806500,way/1078532568
L100000806501,way/375626500
L100000806502,way/636630368
L100000806516,way/1078532568
L100000806517,way/636630368
L100000806518,way/636630368
L100000806519,way/636630368
L100000806520,way/636630368
L100000806521,way/636630368
L100000806522,way/375626500
L100000806523,way/375626500
L100000806524,way/636630368
L100000806560,way/1078532568
L100000806564,way/1078532568
L100000806565,way/642490160
L100000806567,way/137050527
L100000806568,way/1274396508-400
L100000806569,way/1078532568
L100000806570,way/642490160
L100000806571,way/636630368
L100000806572,way/642490160
L100000806573,way/642490160
L100000806576,way/25422135-400
L100000806577,way/137050527
L100000806578,way/568527671
L100000806579,way/109189896
L100000806580,way/1274396508-400
L100000806581,way/375626500
L100000806583,way/1078532568
L100000806584,way/1078532568
L100000806585,way/109189896
L100000806586,way/375626500
L100000806589,way/109189896
L100000806590,way/109189896
L100000806592,way/636630368
L100000806594,way/636630368
L100000806595,way/636630368
L100000806596,way/636630368
L100000806597,way/375626500
L100000806598,way/109189896
L100000806599,way/1078532568
L100000806600,way/25422135-400
L100000806608,way/1078532568
L100000806609,way/25422135-400
L100000806611,way/109189896
L100000806631,way/25422135-400
L100000806632,way/636630368
L100000806633,way/25422135-400
L100000806634,way/25422135-400
L100000806635,way/25422135-400
L100000806636,way/375626500
L100000806637,way/1078532568
L100000806638,way/636630368
L100000806652,way/1078532568
L100000806653,way/1078532568
L100000806655,way/636630368
L100000806661,way/25422135-400
L100000806695,way/109189896
L100000806708,way/109189896
L100000806709,way/109189896
L100000806710,way/1274396508-400
L100000806713,way/1274396508-400
L100000806732,way/636630368
L100000806741,way/636630368
L100000806748,way/25422135-400
