bus_id,grid_cell
way/636630368,GBR_140
way/109189896,GBR_171
way/109189896,GBR_180
way/636630368,GBR_157
way/109189896,GBR_171
way/636630368,GBR_142
way/375626500,GBR_108
way/375626500,GBR_108
way/536905500,GBR_108
way/109189896,GBR_171
way/636630368,GBR_159
way/109189896,GBR_170
way/109189896,GBR_170
way/636630368,GBR_140
way/636630368,GBR_140
way/1078532568,GBR_172
way/1078532568,GBR_164
way/25422135-400,GBR_172
way/636630368,GBR_82
way/636630368,GBR_81
way/636630368,wof-GBR_236
way/23281217,GBR_178
way/109189896,GBR_180
way/109189896,GBR_171
way/375626500,GBR_126
way/25422135-400,GBR_188
way/109189896,GBR_171
way/636630368,GBR_141
way/1078532568,GBR_164
way/636630368,GBR_102
way/1274396508-400,GBR_63
way/1274396508-400,wof-GBR_213
way/1078532568,GBR_173
way/636630368,GBR_159
way/1274396508-400,GBR_104
way/642490160,GBR_149
way/642490160,wof-GBR_327
way/636630368,GBR_103
way/375626500,GBR_144
way/109189896,GBR_171
way/636630368,GBR_102
way/636630368,wof-GBR_282
way/1262971878,GBR_77
way/1262971878,wof-GBR_226
way/1078532568,GBR_145
way/109189896,GBR_172
way/297840585,GBR_74
way/1078532568,GBR_145
way/375626500,GBR_127
way/775577829,GBR_185
way/1078532568,GBR_160
way/636630368,GBR_158
way/1078532568,GBR_172
way/1274396508-400,GBR_70
way/1274396508-400,wof-GBR_220
way/1078532568,GBR_160
way/1274396508-400,GBR_69
way/1274396508-400,GBR_69
way/636630368,GBR_122
way/642490160,GBR_164
way/1078532568,GBR_144
way/375626500,GBR_146
way/1078532568,GBR_147
way/1078532568,GBR_146
way/1078532568,GBR_162
way/109189896,GBR_179
way/109189896,GBR_179
way/297840585,GBR_55
way/636630368,GBR_170
way/642490160,GBR_149
way/636630368,GBR_160
way/375626500,GBR_128
way/375626500,GBR_126
way/636630368,GBR_125
way/375626500,GBR_105
way/375626500,GBR_128
way/109189896,GBR_171
way/109189896,GBR_180
way/1274396508-400,GBR_108
way/636630368,GBR_124
way/1274396508-400,GBR_107
way/1274396508-400,GBR_84
way/1274396508-400,GBR_84
way/375626500,GBR_105
way/375626500,GBR_125
way/568527671,GBR_113
way/568527671,wof-GBR_268
way/375626500,GBR_128
way/642490160,GBR_134
way/642490160,wof-GBR_286
way/1274396508-400,GBR_69
way/1274396508-400,wof-GBR_219
way/1274396508-400,GBR_65
way/1274396508-400,wof-GBR_214
way/297840585,GBR_73
way/109189896,GBR_180
way/1078532568,GBR_146
way/642490160,GBR_133
way/642490160,wof-GBR_286
way/109189896,GBR_171
way/109189896,GBR_171
way/109189896,GBR_180
way/636630368,GBR_123
way/109189896,GBR_180
way/642490160,GBR_148
way/642490160,wof-GBR_327
way/642490160,GBR_134
way/642490160,wof-GBR_286
way/636630368,GBR_142
way/636630368,GBR_103
way/375626500,GBR_106
way/642490160,GBR_148
way/642490160,wof-GBR_327
way/375626500,GBR_126
way/375626500,GBR_129
way/1274396508-400,GBR_69
