from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,demand,1,demand,3574.953,1.0,400.0,263.18600129659944,dem0,dem1,Demand cluster 0 to Demand cluster 1,,,,,263.18600129659944,0.0,0.0,False,[]
0,generation,0,demand,10724.857,5.0,400.0,259.85237378891105,gen0,dem0,Generation cluster 0 to Demand cluster 0,,,,,259.85237378891105,0.0,0.0,False,[]
0,generation,3,demand,23784.606,11.0,372.27272727272725,210.90177085959704,gen0,dem3,Generation cluster 0 to Demand cluster 3,,,,,210.90177085959704,0.0,0.0,False,[]
0,generation,4,demand,117079.708,53.0,348.1132075471698,72.00670580846572,gen0,dem4,Generation cluster 0 to Demand cluster 4,,,,,72.00670580846572,0.0,0.0,False,[]
1,generation,0,demand,30878.653000000002,13.0,386.15384615384613,163.50847145865757,gen1,dem0,Generation cluster 1 to Demand cluster 0,,,,,163.50847145865757,0.0,0.0,False,[]
1,renewable,0,demand,7149.906,2.0,400.0,54.48634641975992,sol1,dem0,Renewable cluster 1 to Demand cluster 0,,,,,54.48634641975992,0.0,0.0,False,[]
2,generation,2,demand,35017.782,16.0,310.625,243.62679621063967,gen2,dem2,Generation cluster 2 to Demand cluster 2,,,,,243.62679621063967,0.0,0.0,False,[]
3,generation,2,demand,120492.678,72.0,298.5416666666667,39.57968279492451,gen3,dem2,Generation cluster 3 to Demand cluster 2,,,,,39.57968279492451,0.0,0.0,False,[]
3,generation,3,demand,3574.952,2.0,400.0,342.59663981470044,gen3,dem3,Generation cluster 3 to Demand cluster 3,,,,,342.59663981470044,0.0,0.0,False,[]
4,generation,0,demand,7149.905000000001,3.0,400.0,226.7318449421166,gen4,dem0,Generation cluster 4 to Demand cluster 0,,,,,226.7318449421166,0.0,0.0,False,[]
4,generation,1,demand,257145.252,108.0,337.5,38.31555592100187,gen4,dem1,Generation cluster 4 to Demand cluster 1,,,,,38.31555592100187,0.0,0.0,False,[]
4,generation,3,demand,148723.627,68.0,344.8529411764706,76.98578083231098,gen4,dem3,Generation cluster 4 to Demand cluster 3,,,,,76.98578083231098,0.0,0.0,False,[]
8,renewable,3,demand,14299.810000000001,6.0,400.0,36.02592634408582,sol8,dem3,Renewable cluster 8 to Demand cluster 3,,,,,36.02592634408582,0.0,0.0,False,[]
10,renewable,1,demand,921.668,1.0,275.0,160.89807186561907,sol10,dem1,Renewable cluster 10 to Demand cluster 1,,,,,160.89807186561907,0.0,0.0,False,[]
10,renewable,2,demand,7149.906,2.0,400.0,124.92482618576469,sol10,dem2,Renewable cluster 10 to Demand cluster 2,,,,,124.92482618576469,0.0,0.0,False,[]
10,renewable,3,demand,3574.953,1.0,400.0,206.7475170021531,sol10,dem3,Renewable cluster 10 to Demand cluster 3,,,,,206.7475170021531,0.0,0.0,False,[]
10,renewable,4,generation,921.668,1.0,275.0,191.47403020673937,sol10,gen4,Renewable cluster 10 to Generation cluster 4,,,,,191.47403020673937,0.0,0.0,False,[]
11,renewable,1,demand,3574.953,1.0,400.0,204.55078496235262,sol11,dem1,Renewable cluster 11 to Demand cluster 1,,,,,204.55078496235262,0.0,0.0,False,[]
11,renewable,2,demand,8183.2919999999995,5.0,300.0,104.52872989163454,sol11,dem2,Renewable cluster 11 to Demand cluster 2,,,,,104.52872989163454,0.0,0.0,False,[]
11,renewable,2,generation,19349.433,6.0,370.0,233.85481129990308,sol11,gen2,Renewable cluster 11 to Generation cluster 2,,,,,233.85481129990308,0.0,0.0,False,[]
13,renewable,2,generation,1843.336,2.0,275.0,141.3496459747359,sol13,gen2,Renewable cluster 13 to Generation cluster 2,,,,,141.3496459747359,0.0,0.0,False,[]
14,renewable,2,demand,12791.627,7.0,310.7142857142857,252.00243305267904,sol14,dem2,Renewable cluster 14 to Demand cluster 2,,,,,252.00243305267904,0.0,0.0,False,[]
14,renewable,2,generation,5530.006,4.0,275.0,158.889298620698,sol14,gen2,Renewable cluster 14 to Generation cluster 2,,,,,158.889298620698,0.0,0.0,False,[]
14,renewable,3,generation,5362.428,3.0,400.0,253.99072349300263,sol14,gen3,Renewable cluster 14 to Generation cluster 3,,,,,253.99072349300263,0.0,0.0,False,[]
18,renewable,2,demand,4608.34,5.0,275.0,192.0730733623422,sol18,dem2,Renewable cluster 18 to Demand cluster 2,,,,,192.0730733623422,0.0,0.0,False,[]
19,renewable,2,demand,1843.336,2.0,275.0,275.02280536737777,sol19,dem2,Renewable cluster 19 to Demand cluster 2,,,,,275.02280536737777,0.0,0.0,False,[]
35,renewable,2,demand,5530.008,6.0,275.0,232.62994866809814,won14,dem2,Renewable cluster 35 to Demand cluster 2,,,,,232.62994866809814,0.0,0.0,False,[]
37,renewable,2,demand,1843.335,1.0,275.0,223.32511458999863,won16,dem2,Renewable cluster 37 to Demand cluster 2,,,,,223.32511458999863,0.0,0.0,False,[]
38,renewable,2,demand,3574.952,2.0,400.0,117.17702972946188,won17,dem2,Renewable cluster 38 to Demand cluster 2,,,,,117.17702972946188,0.0,0.0,False,[]
43,renewable,0,demand,491.556,1.0,220.0,160.98341278259912,wof1,dem0,Renewable cluster 43 to Demand cluster 0,,,,,160.98341278259912,0.0,0.0,False,[]
55,renewable,2,demand,14411.529,5.0,350.0,126.1724777924309,wof13,dem2,Renewable cluster 55 to Demand cluster 2,,,,,126.1724777924309,0.0,0.0,False,[]
64,renewable,1,demand,921.668,1.0,275.0,104.9634217332303,won1,dem1,Renewable cluster 22 to Demand cluster 1,,,,,104.9634217332303,0.0,0.0,False,[]
65,renewable,3,demand,15500.776,14.0,301.7857142857143,49.182885847787155,won2,dem3,Renewable cluster 23 to Demand cluster 3,,,,,49.182885847787155,0.0,0.0,False,[]
66,renewable,3,demand,24438.156,13.0,323.0769230769231,89.3745539119499,won3,dem3,Renewable cluster 24 to Demand cluster 3,,,,,89.3745539119499,0.0,0.0,False,[]
68,renewable,0,demand,3574.953,1.0,400.0,70.47890509442394,won5,dem0,Renewable cluster 26 to Demand cluster 0,,,,,70.47890509442394,0.0,0.0,False,[]
