GEM location ID,bus_id
L100000500294,gen1
L100000500373,gen4
L100000500374,gen4
L100000500375,gen0
L100000500455,gen3
L100000500293,gen1
L100000500378,gen1
L100000500188,gen2
L100000201233,gen4
L100000201234,gen1
L100000200216,gen0
L100000200201,gen4
L100000200224,gen4
L100000200226,gen0
L100000103754,gen4
L100000200231,gen2
L100000200233,gen1
L100000200237,gen1
L100000200243,gen4
L100000200244,gen4
L100000200255,gen4
L100000200260,gen1
L100000200263,gen4
L100000103759,gen4
L100000200265,gen0
L100000200266,gen2
L100000200274,gen4
L100000200275,gen4
L100000200276,gen4
L100000200282,gen4
L100000200283,gen4
L100000200284,gen1
L100000200285,gen1
L100000200286,gen1
L100000200287,gen4
L100000200289,gen0
L100000200291,gen4
L100000200293,gen4
L100000200295,gen1
L100000200296,gen1
L100000400786,gen4
L100000200301,gen1
L100000200302,gen3
L100000200303,gen4
L100000200304,gen4
L100000200305,gen4
L100000201244,gen1
L100000200307,gen1
L100000200308,gen4
L100000200308,gen1
L100000200318,gen1
L100000200320,gen4
L100000200321,gen4
L100000201245,gen3
L100001023458,gen3
L100000401441,gen0
L100000401442,gen0
L100000401443,gen3
L100001004612,gen4
L100001023455,gen0
L100000400728,gen4
L100001005338,gen1
L100000400729,gen1
L100000400730,gen1
L100001004617,gen3
L100000400731,gen4
L100001004613,gen4
L100001005177,gen4
L100000407588,gen4
L100000400733,gen0
L100000400734,gen4
L100000400738,gen3
L100000400739,gen4
L100000400740,gen1
L100000400741,gen4
L100000408858,gen0
L100000408857,gen4
L100000406411,gen1
L100000400742,gen1
L100000407719,gen4
L100000406414,gen4
L100001005182,gen4
L100000401457,gen4
L100001023457,gen3
L100000103755,gen4
L100000400745,gen1
L100001023459,gen3
L100001023456,gen0
L100000406413,gen0
L100001005337,gen0
L100000400746,gen0
L100000400747,gen3
L100000103756,gen4
L100000400748,gen4
L100000400749,gen1
L100000400752,gen3
L100000400754,gen1
L100000407945,gen1
L100001004616,gen3
L100001004614,gen4
L100001005243,gen1
L100000406412,gen4
L100001004615,gen4
L100000401446,gen0
L100000407586,gen0
L100000400799,gen4
L100000407718,gen0
L100000400755,gen4
L100000401447,gen1
L100000103775,gen4
L100000103768,gen3
L100000401448,gen1
L100001005172,gen4
L100000400763,gen0
L100000408930,gen2
L100001004619,gen2
L100000407638,gen4
L100000400764,gen1
L100001005241,gen0
L100000407637,gen4
L100001005341,gen1
L100000401451,gen0
L100000400766,gen1
L100000408855,gen4
L100000401453,gen1
L100001005342,gen1
L100001023528,gen4
L100000406408,gen4
L100001005173,gen4
L100000407636,gen1
L100000400767,gen0
L100001023460,gen1
L100000400772,gen1
L100000400773,gen2
L100001004621,gen4
