GEM location ID,bus_id
L100000406746,way/672526714-330
L100000406748,way/282578857-330
L100000406753,way/282578857-330
L100000406754,way/282578857-330
L100000406757,way/282578857-330
L100000406758,way/672526714-330
L100000406759,way/672526714-330
L100000406760,way/672526714-330
L100000406761,way/282578857-330
L100000406762,way/282578857-330
L100000407150,way/672526714-330
L100000409168,way/282578857-330
L100000601748,way/282578857-330
L100000601749,relation/15772152-330
L100000601750,way/1069597794-330
L100000601751,way/282578857-330
L100000800059,way/930744195-225
L100000800070,relation/15772152-330
L100000800074,way/282578857-330
L100000800123,way/282578857-330
L100000800227,relation/15772152-330
L100000800267,way/930744195-225
L100000811606,relation/15772152-330
L100000811607,relation/15772152-330
L100000827637,way/282578857-330
L100000827638,way/1069597794-330
L100000827639,relation/15772152-330
L100000827640,way/930744195-225
L100000827641,way/930744195-225
L100000900109,way/282578857-330
L100000900110,way/282578857-330
L100000900111,way/282578857-330
L100000900112,way/282578857-330
L100000900113,way/282578857-330
L100000900114,way/282578857-330
L100001016636,way/282578857-330
L100001020893,way/930744195-225
L100001020894,way/930744195-225
L100001020895,way/1155380911-330
L100001020896,relation/15772152-330
L100001046057,way/1155380911-330
L100001046058,way/674068904-225
L100001046059,way/930744195-225
L100001048150,way/282578857-330
