bus_id,grid_cell
way/282578857-330,GHA_84
way/282578857-330,wof-GHA_74
way/672526714-330,GHA_42
way/672526714-330,wof-GHA_37
way/674068904-225,GHA_1
way/930744195-225,GHA_69
way/930744195-225,GHA_69
way/1069597794-330,GHA_66
way/1155380911-330,GHA_46
way/282578857-330,GHA_84
way/282578857-330,wof-GHA_74
relation/15772152-330,GHA_49
way/1069597794-330,GHA_65
GH1-225,
GH8-225,
way/282578857-330,
way/674068904-225,GHA_15
relation/15772152-330,GHA_50
way/1069597794-330,GHA_65
way/672526714-330,GHA_42
way/672526714-330,wof-GHA_37
relation/15772152-330,GHA_50
way/674068904-225,GHA_0
way/674068904-225,GHA_2
way/674068904-225,GHA_3
way/1155380911-330,GHA_4
relation/15772152-330,GHA_5
relation/15772152-330,GHA_6
relation/15772152-330,GHA_7
relation/15772152-330,GHA_8
relation/15772152-330,GHA_9
relation/15772152-330,GHA_10
way/1069597794-330,GHA_11
way/930744195-225,GHA_12
way/930744195-225,GHA_13
way/674068904-225,GHA_14
way/674068904-225,GHA_16
way/1155380911-330,GHA_17
way/1155380911-330,GHA_18
way/1155380911-330,GHA_19
relation/15772152-330,GHA_20
relation/15772152-330,GHA_21
relation/15772152-330,GHA_22
relation/15772152-330,GHA_23
relation/15772152-330,GHA_24
way/1069597794-330,GHA_25
way/930744195-225,GHA_26
way/930744195-225,GHA_27
way/672526714-330,GHA_28
way/674068904-225,GHA_29
way/674068904-225,GHA_30
way/1155380911-330,GHA_31
way/1155380911-330,GHA_32
way/1155380911-330,GHA_33
relation/15772152-330,GHA_34
relation/15772152-330,GHA_35
relation/15772152-330,GHA_36
relation/15772152-330,GHA_37
way/1069597794-330,GHA_38
way/1069597794-330,GHA_39
way/930744195-225,GHA_40
way/930744195-225,GHA_41
way/672526714-330,GHA_43
way/1155380911-330,GHA_44
way/1155380911-330,GHA_45
way/1155380911-330,GHA_47
relation/15772152-330,GHA_48
way/1069597794-330,GHA_51
way/1069597794-330,GHA_52
way/1069597794-330,GHA_53
way/930744195-225,GHA_54
way/930744195-225,GHA_55
way/672526714-330,GHA_56
way/672526714-330,GHA_57
way/1155380911-330,GHA_58
way/1155380911-330,GHA_59
way/1155380911-330,GHA_60
way/1155380911-330,GHA_61
relation/15772152-330,GHA_62
relation/15772152-330,GHA_63
relation/15772152-330,GHA_64
way/1069597794-330,GHA_67
way/930744195-225,GHA_68
way/282578857-330,GHA_70
way/282578857-330,GHA_71
way/282578857-330,GHA_72
way/282578857-330,GHA_73
way/1155380911-330,GHA_74
way/1155380911-330,GHA_75
relation/15772152-330,GHA_76
relation/15772152-330,GHA_77
way/1069597794-330,GHA_78
way/1069597794-330,GHA_79
way/1069597794-330,GHA_80
way/1069597794-330,GHA_81
way/930744195-225,GHA_82
way/930744195-225,GHA_83
way/282578857-330,GHA_85
way/282578857-330,GHA_86
way/282578857-330,GHA_87
way/1155380911-330,GHA_88
relation/15772152-330,GHA_89
way/1069597794-330,GHA_90
way/1069597794-330,GHA_91
way/1069597794-330,GHA_92
way/1069597794-330,GHA_93
way/1069597794-330,GHA_94
way/930744195-225,GHA_95
way/930744195-225,GHA_96
way/282578857-330,GHA_97
way/282578857-330,GHA_98
way/282578857-330,GHA_99
way/282578857-330,GHA_100
way/282578857-330,GHA_101
way/282578857-330,GHA_102
way/1069597794-330,GHA_103
way/1069597794-330,GHA_104
way/1069597794-330,GHA_105
way/1069597794-330,GHA_106
way/1069597794-330,GHA_107
way/930744195-225,GHA_108
way/282578857-330,GHA_109
way/282578857-330,GHA_110
way/282578857-330,GHA_111
way/282578857-330,GHA_112
way/282578857-330,GHA_113
way/282578857-330,GHA_114
way/1069597794-330,GHA_115
way/1069597794-330,GHA_116
way/674068904-225,wof-GHA_12
way/674068904-225,wof-GHA_13
way/672526714-330,wof-GHA_29
way/672526714-330,wof-GHA_36
way/672526714-330,wof-GHA_44
way/672526714-330,wof-GHA_45
way/672526714-330,wof-GHA_53
way/672526714-330,wof-GHA_54
way/282578857-330,wof-GHA_55
way/282578857-330,wof-GHA_63
way/282578857-330,wof-GHA_64
way/282578857-330,wof-GHA_73
way/282578857-330,wof-GHA_83
way/282578857-330,wof-GHA_84
way/282578857-330,wof-GHA_93
way/282578857-330,wof-GHA_94
way/282578857-330,wof-GHA_104
way/282578857-330,wof-GHA_105
