bus0,bus1,voltage,s_nom,r,x,b,length,type
way/171506480-400,GR6-400,400,3574.953,1.877592,15.396251,0.00108535,125172.77,Al/St 240/40 4-bundle 380.0
way/55099563-400,GR6-400,400,3574.953,0.347945,2.853152,0.00020113,23196.36,Al/St 240/40 4-bundle 380.0
way/85518393-400,way/149672244-400,400,3574.953,2.260699,18.537733,0.0013068,150713.28,Al/St 240/40 4-bundle 380.0
GR12-400,way/32357326-400,400,1787.476,1.939685,15.90542,0.00028031,64656.18,Al/St 240/40 4-bundle 380.0
GR6-400,GR5-400,400,1787.476,3.313264,27.168764,0.00047881,110442.13,Al/St 240/40 4-bundle 380.0
way/55099563-400,way/93119207-400,400,3574.953,1.653104,13.555456,0.00095558,110206.96,Al/St 240/40 4-bundle 380.0
way/140248148-400,way/149672244-400,400,1787.476,3.121505,25.596342,0.0004511,104050.17,Al/St 240/40 4-bundle 380.0
way/140248148-400,way/105184051-400,400,1787.476,2.160116,17.712947,0.00031217,72003.85,Al/St 240/40 4-bundle 380.0
way/105184051-400,GR9-400,400,1787.476,4.196868,34.414318,0.0006065,139895.6,Al/St 240/40 4-bundle 380.0
GR9-400,way/85518393-400,400,1787.476,0.120536,0.988391,1.74e-05,4017.85,Al/St 240/40 4-bundle 380.0
way/105184051-400,GR9-400,400,1787.476,4.196868,34.414318,0.0006065,139895.6,Al/St 240/40 4-bundle 380.0
GR9-400,way/85518393-400,400,1787.476,0.120536,0.988391,1.74e-05,4017.85,Al/St 240/40 4-bundle 380.0
way/1256844098-400,way/149672244-400,400,1787.476,3.355858,27.518035,0.00048497,111861.93,Al/St 240/40 4-bundle 380.0
way/1256844098-400,way/149672244-400,400,1787.476,3.355858,27.518035,0.00048497,111861.93,Al/St 240/40 4-bundle 380.0
GR5-400,GR6-400,400,3574.953,1.654997,13.570979,0.00095668,110333.16,Al/St 240/40 4-bundle 380.0
GR7-400,way/55099563-400,400,3574.953,0.199778,1.638177,0.00011548,13318.51,Al/St 240/40 4-bundle 380.0
way/85518393-400,way/253903008-400,400,1787.476,0.422438,3.463988,6.11e-05,14081.25,Al/St 240/40 4-bundle 380.0
GR10-400,GR9-400,400,1787.476,0.114896,0.942148,1.66e-05,3829.87,Al/St 240/40 4-bundle 380.0
GR10-400,way/85518393-400,400,1787.476,0.14804,1.213931,2.14e-05,4934.68,Al/St 240/40 4-bundle 380.0
way/253903008-400,GR10-400,400,3574.953,0.092443,0.758037,5.34e-05,6162.9,Al/St 240/40 4-bundle 380.0
GR4-400,GR3-400,400,1787.476,0.817557,6.703965,0.00011815,27251.89,Al/St 240/40 4-bundle 380.0
way/85526073-400,GR8-400,400,3574.953,2.364804,19.391395,0.00136698,157653.62,Al/St 240/40 4-bundle 380.0
way/171506480-400,way/252077527-400,400,3574.953,0.38962,3.194884,0.00022522,25974.67,Al/St 240/40 4-bundle 380.0
way/85585500-400,way/51408420-400,400,3574.953,0.210709,1.727811,0.0001218,14047.24,Al/St 240/40 4-bundle 380.0
way/1255385651-400,GR11-400,400,3574.953,0.299336,2.454556,0.00017303,19955.74,Al/St 240/40 4-bundle 380.0
GR5-400,GR4-400,400,3574.953,2.073836,17.005458,0.00119879,138255.76,Al/St 240/40 4-bundle 380.0
GR15-400,GR16-400,400,1787.476,0.067944,0.557143,9.82e-06,2264.81,Al/St 240/40 4-bundle 380.0
way/85646787-400,GR15-400,400,3574.953,0.15731,1.289945,9.09e-05,10487.36,Al/St 240/40 4-bundle 380.0
way/85526073-400,GR8-400,400,3574.953,2.390473,19.60188,0.00138182,159364.88,Al/St 240/40 4-bundle 380.0
way/85526073-400,way/85518393-400,400,3574.953,0.696225,5.709044,0.00040245,46414.99,Al/St 240/40 4-bundle 380.0
way/85526073-400,way/85585500-400,400,3574.953,1.086927,8.912798,0.0006283,72461.77,Al/St 240/40 4-bundle 380.0
GR14-400,way/85585500-400,400,3574.953,0.14504,1.189331,8.38e-05,9669.36,Al/St 240/40 4-bundle 380.0
GR11-400,GR13-400,400,3574.953,0.459326,3.76647,0.00026551,30621.71,Al/St 240/40 4-bundle 380.0
GR13-400,way/51408420-400,400,3574.953,0.65295,5.354192,0.00037744,43530.02,Al/St 240/40 4-bundle 380.0
way/85585500-400,way/85612093-400,400,3574.953,0.165334,1.355743,9.56e-05,11022.3,Al/St 240/40 4-bundle 380.0
way/85526073-400,GR12-400,400,3574.953,0.489513,4.014003,0.00028296,32634.17,Al/St 240/40 4-bundle 380.0
GR12-400,way/85612093-400,400,3574.953,0.712496,5.842467,0.00041186,47499.73,Al/St 240/40 4-bundle 380.0
way/85612093-400,way/85646787-400,400,3574.953,0.261183,2.141701,0.00015098,17412.2,Al/St 240/40 4-bundle 380.0
GR16-400,GR15-400,400,1787.476,0.069592,0.570658,1.01e-05,2319.75,Al/St 240/40 4-bundle 380.0
