GEM location ID,bus_id
L100000400290,way/253903008-400
L100000401421,GR4-400
L100000400293,way/32357326-400
L100001000031,way/51408420-400
L100001000027,way/85705637-400
L100001000028,way/85705637-400
L100001000033,way/1255385651-400
L100000406396,way/1255385651-400
L100000401423,GR3-400
L100000102005,way/1256844098-400
L100000400295,GR4-400
L100000400294,way/1255385651-400
L100000407732,GR8-400
L100000400296,way/85705637-400
L100001000029,way/85705637-400
L100000101998,way/253903008-400
L100001000032,way/85705637-400
L100000400298,way/55099563-400
L100000400299,way/1255385651-400
L100000400300,GR13-400
L100001016305,way/85518393-400
L100000102002,way/93119207-400
L100000102004,way/252077527-400
L100000102007,way/1256844098-400
L100000907927,way/85526073-400
L100000907942,way/171506480-400
L100000907944,way/85705637-400
L100000908005,GR6-400
L100000908013,way/85705637-400
L100000908021,GR13-400
L100000908048,GR8-400
L100000908049,way/85526073-400
L100000908083,way/105184051-400
L100000908092,GR7-400
L100000908211,way/1255385651-400
L100000908227,way/1255385651-400
L100000908279,way/105184051-400
L100000908283,way/85705637-400
L100000908285,way/85705637-400
L100000908286,way/1000743726-400
L100000908291,way/32357326-400
L100000908293,way/85526073-400
L100000908317,way/149672244-400
L100000908320,GR9-400
L100000908322,GR4-400
L100000908323,way/1255385651-400
L100000908325,way/85526073-400
L100000908349,way/32357326-400
L100000908352,way/85526073-400
L100000908353,GR12-400
L100000908354,GR12-400
L100000908361,way/1255385651-400
L100000908362,way/85705637-400
L100000908368,way/1000743726-400
L100000908373,way/1256844098-400
L100000908375,GR4-400
L100000908380,GR4-400
L100000908382,GR9-400
L100000908561,way/1000743726-400
L100000908565,way/32357326-400
L100000908566,way/32357326-400
L100000908569,way/1255385651-400
L100000908570,way/85705637-400
L100000908578,way/85705637-400
L100000908583,way/1255385651-400
L100000908631,way/85705637-400
L100000908638,way/32357326-400
L100000908657,way/1255385651-400
L100000908659,GR15-400
L100000908661,GR9-400
L100000908670,GR3-400
L100000908671,GR4-400
L100000908676,way/32357326-400
L100000908677,way/1255385651-400
L100000908678,way/85705637-400
L100000908682,way/85705637-400
L100000908684,GR4-400
L100000908685,way/105184051-400
L100000908702,way/85705637-400
L100000908718,way/253903008-400
L100000908852,way/1255385651-400
L100000908902,way/32357326-400
L100000908931,way/85705637-400
L100000908978,way/253903008-400
L100000908982,way/1255385651-400
L100000909002,way/1256844098-400
L100000909092,way/85526073-400
L100000909169,way/32357326-400
L100000909268,GR13-400
L100000909303,way/32357326-400
L100000909408,way/1255385651-400
L100000909417,GR4-400
L100000909432,way/1000743726-400
L100000909465,way/140248148-400
L100000909475,way/85705637-400
L100000909480,way/140248148-400
L100000909482,way/105184051-400
L100000909483,way/32357326-400
L100000909486,GR4-400
L100000909670,way/85705637-400
L100000909676,GR13-400
L100000909677,GR13-400
L100000909680,GR6-400
L100000909684,GR7-400
L100000909687,way/252077527-400
L100000909689,GR9-400
L100000909698,way/32357326-400
L100000909701,way/85526073-400
L100000909707,way/85705637-400
L100000909708,way/105184051-400
L100000909709,way/85705637-400
L100000909710,way/105184051-400
L100000909712,GR6-400
L100000909715,GR10-400
L100000909744,way/105184051-400
L100000909749,GR10-400
L100000909765,way/85705637-400
L100000909768,GR6-400
L100000909769,way/32357326-400
L100000909778,way/171506480-400
L100000909781,way/252077527-400
L100000909784,way/1000743726-400
L100000909907,GR10-400
