bus_id,grid_cell
GR10-400,GRC_43
GR10-400,GRC_95
GR11-400,GRC_56
GR11-400,GRC_95
GR12-400,GRC_69
GR12-400,GRC_111
GR13-400,GRC_56
GR13-400,GRC_111
GR14-400,GRC_69
GR14-400,GRC_111
GR15-400,GRC_68
GR15-400,GRC_126
GR16-400,GRC_68
GR16-400,GRC_126
GR3-400,GRC_116
GR4-400,GRC_126
GR4-400,GRC_184
GR5-400,GRC_88
GR5-400,GRC_150
GR6-400,GRC_62
GR7-400,GRC_48
GR8-400,GRC_46
GR9-400,GRC_43
GR9-400,GRC_96
way/1000743726-400,GRC_68
way/1000743726-400,GRC_126
way/105184051-400,GRC_22
way/105184051-400,GRC_64
way/1255385651-400,GRC_56
way/1255385651-400,GRC_95
way/1256844098-400,GRC_37
way/140248148,GRC_13
way/140248148,GRC_65
way/140248148-400,GRC_13
way/140248148-400,GRC_65
way/149672244-400,GRC_35
way/171506480-400,GRC_26
way/252077527-400,GRC_27
way/253903008-400,GRC_43
way/253903008-400,GRC_95
way/32357326-400,GRC_82
way/32357326-400,GRC_127
way/51408420-400,GRC_68
way/51408420-400,GRC_111
way/55099563-400,GRC_61
way/85518393-400,GRC_43
way/85518393-400,GRC_96
way/85526073-400,GRC_57
way/85526073-400,GRC_112
way/85585500-400,GRC_69
way/85585500-400,GRC_127
way/85612093-400,GRC_69
way/85612093-400,GRC_127
way/85646787-400,GRC_68
way/85646787-400,GRC_127
way/85705637-400,GRC_81
way/85705637-400,GRC_126
way/93119207-400,GRC_37
way/85705637-400,GRC_66
way/85705637-400,GRC_67
GR12-400,GRC_70
GR12-400,GRC_71
GR6-400,GRC_72
GR6-400,GRC_73
GR5-400,GRC_74
GR5-400,GRC_75
way/85705637-400,GRC_76
way/85705637-400,GRC_77
way/85705637-400,GRC_78
way/85705637-400,GRC_79
way/85705637-400,GRC_80
way/32357326-400,GRC_83
way/32357326-400,GRC_84
way/32357326-400,GRC_85
GR5-400,GRC_86
GR5-400,GRC_87
GR5-400,GRC_89
way/85705637-400,GRC_90
way/85705637-400,GRC_91
way/85705637-400,GRC_92
way/85705637-400,GRC_93
way/85705637-400,GRC_94
way/85705637-400,GRC_95
way/32357326-400,GRC_96
way/32357326-400,GRC_97
way/32357326-400,GRC_98
way/32357326-400,GRC_99
GR5-400,GRC_100
GR5-400,GRC_101
GR5-400,GRC_102
GR5-400,GRC_103
