bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,bus_name
way/113757307-220,,220.0,f,Substation,f,way/113757307,18.420983798347297,45.28870540962547,HR,220.0,HR,Vinkovci
way/162022271-220,,220.0,f,Substation,f,way/162022271,15.903205816155046,43.75638875753232,HR,220.0,HR,Sibenik
way/163860997-400,,400.0,f,Substation,f,way/163860997,15.754697507990151,44.20739602565296,HR,400.0,HR,Knin
way/170366194-220,,220.0,f,Substation,f,way/170366194,16.41378481811703,45.45249240172426,HR,220.0,HR,Sisak
way/210745193-220,,220.0,f,Substation,f,way/210745193,14.166639022574504,45.137590945224346,HR,220.0,HR,Pula
way/273326173-220,,220.0,f,Substation,f,way/273326173,15.105276725972995,44.99301484758882,HR,220.0,HR,Ogulin
way/43337263-220,,220.0,f,Substation,f,way/43337263,16.50099637767922,43.60025925825496,HR,220.0,HR,Split
way/43337263-400,,400.0,f,Substation,f,way/43337263,16.50127907148467,43.60043328704915,HR,400.0,HR,KastelStari
way/89817617-220,,220.0,f,Substation,f,way/89817617,14.563904567364178,45.31618459534974,HR,220.0,HR,Viskovo
way/89817617-400,,400.0,f,Substation,f,way/89817617,14.564190054501609,45.31636366839107,HR,400.0,HR,Rijeka
way/89818719-400,,400.0,f,Substation,f,way/89818719,15.869401606746242,45.68142826573554,HR,400.0,HR,VelikaGorica
way/89819945-220,,220.0,f,Substation,f,way/89819945,16.111889141850742,45.66742738186066,HR,220.0,HR,Sesvete
way/89820062-400,,400.0,f,Substation,f,way/89820062,16.162877551551272,45.87617194257123,HR,400.0,HR,Zagreb
way/89823918-400,,400.0,f,Substation,f,way/89823918,18.663329039744493,45.47318683998,HR,400.0,HR,Osijek
way/96704507-220,,220.0,f,Substation,f,way/96704507,16.913620388699012,45.448081289056574,HR,220.0,HR,Kutina
