line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,bus0_name,bus1_name,link_name
HR_line_1,way/89819945-220,way/170366194-220,way/170366194-220;way/89819945-220,220.0,491.556,42364.45,HR,,Sesvete,Sisak,Sesvete-Sisak
HR_line_2,way/273326173-220,way/162022271-220,way/162022271-220;way/273326173-220,220.0,491.556,144603.92,HR,,Ogulin,Sibenik,Sibenik-Ogulin
HR_line_3,way/162022271-220,way/43337263-220,way/162022271-220;way/43337263-220,220.0,1474.668,57191.88333333334,HR,,Sibenik,Split,Sibenik-Split
HR_line_4,way/162022271-220,way/43337263-220,way/162022271-220;way/43337263-220,220.0,491.556,74987.2,HR,,Sibenik,Split,Sibenik-Split2
HR_line_5,way/163860997-400,way/43337263-400,way/163860997-400;way/43337263-400,400.0,1787.476,100396.34,HR,,Knin,KastelStari,Knin-KastelStari
HR_line_6,way/89817617-400,way/163860997-400,way/163860997-400;way/89817617-400,400.0,1787.476,179762.95,HR,,Rijeka,Knin,Rijeka-Knin
HR_line_7,way/89819945-220,way/170366194-220,way/170366194-220;way/89819945-220,220.0,491.556,43940.98,HR,,Sesvete,Sisak,Sesvete-Sisak2
HR_line_8,way/96704507-220,way/170366194-220,way/170366194-220;way/96704507-220,220.0,491.556,44712.03,HR,,Kutina,Sisak,Sisak-Kutina
HR_line_9,way/210745193-220,way/89817617-220,way/210745193-220;way/89817617-220,220.0,983.112,46718.76,HR,,Pula,Viskovo,Viskovo-Pula
HR_line_10,way/89817617-220,way/273326173-220,way/273326173-220;way/89817617-220,220.0,491.556,55156.66,HR,,Viskovo,Ogulin,Viskovo-Ogulin
HR_line_11,way/273326173-220,way/89819945-220,way/273326173-220;way/89819945-220,220.0,491.556,117998.22,HR,,Ogulin,Sesvete,Sesvete-Ogulin
HR_line_12,way/89817617-400,way/89818719-400,way/89817617-400;way/89818719-400,400.0,1787.476,127688.34,HR,,Rijeka,VelikaGorica,VelikaGorica-Rijeka
HR_line_13,way/89818719-400,way/89820062-400,way/89818719-400;way/89820062-400,400.0,1787.476,61337.84,HR,,VelikaGorica,Zagreb,Zagreb-VelikaGorica
HR_line_14,way/89820062-400,way/89823918-400,way/89820062-400;way/89823918-400,400.0,1787.476,230946.87,HR,,Zagreb,Osijek,Zagreb-Osijek
HR_line_17,way/89819945-220,way/89820062-400,way/89819945-220;way/89820062-400,400.0,7150.0,23545.81866786255,HR,,Sesvete,Zagreb,Zagreb-Sesvete
HR_line_18,way/113757307-220,way/89823918-400,way/113757307-220;way/89823918-400,400.0,0.0,33493.8797647011,HR,,Vinkovci,Osijek,Osijek-Vinkovci
