bus_id,grid_cell,bus_name
way/170366194-220,HRV_51,Sisak
way/273326173-220,HRV_15,Ogulin
way/273326173-220,HRV_15,Ogulin
way/43337263-220,HRV_59,Split
way/113757307-220,HRV_90,Vinkovci
way/89817617-220,HRV_6,Viskovo
way/162022271-220,HRV_26,Sibenik
way/163860997-400,HRV_28,Knin
way/170366194-220,HRV_51,Sisak
way/273326173-220,,Ogulin
way/210745193-220,,Pula
way/273326173-220,HRV_15,Ogulin
way/43337263-220,HRV_47,Split
way/43337263-400,HRV_47,KastelStari
way/43337263-220,,Split
way/162022271-220,HRV_38,Sibenik
way/89817617-220,HRV_7,Viskovo
way/89817617-400,HRV_7,Rijeka
way/89818719-400,HRV_33,VelikaGorica
way/89819945-220,HRV_43,Sesvete
way/89819945-220,HRV_44,Sesvete
way/89820062-400,HRV_44,Zagreb
way/89823918-400,HRV_91,Osijek
way/96704507-220,HRV_68,Kutina
way/89817617-220,HRV_7,Viskovo
way/210745193-220,HRV_0,Pula
way/210745193-220,HRV_1,Pula
way/210745193-220,HRV_2,Pula
way/210745193-220,HRV_3,Pula
way/210745193-220,HRV_4,Pula
way/89817617-220,HRV_5,Viskovo
way/89817617-220,HRV_8,Viskovo
way/273326173-220,HRV_9,Ogulin
way/89817617-400,HRV_10,Rijeka
way/163860997-400,HRV_11,Knin
way/163860997-400,HRV_12,Knin
way/273326173-220,HRV_13,Ogulin
way/273326173-220,HRV_14,Ogulin
way/273326173-220,HRV_16,Ogulin
way/273326173-220,HRV_17,Ogulin
way/163860997-400,HRV_18,Knin
way/163860997-400,HRV_19,Knin
way/163860997-400,HRV_20,Knin
way/273326173-220,HRV_21,Ogulin
way/273326173-220,HRV_22,Ogulin
way/273326173-220,HRV_23,Ogulin
way/89818719-400,HRV_24,VelikaGorica
way/89818719-400,HRV_25,VelikaGorica
way/163860997-400,HRV_27,Knin
way/163860997-400,HRV_29,Knin
way/163860997-400,HRV_30,Knin
way/89818719-400,HRV_31,VelikaGorica
way/89818719-400,HRV_32,VelikaGorica
way/89818719-400,HRV_34,VelikaGorica
way/89818719-400,HRV_35,VelikaGorica
way/162022271-220,HRV_36,Sibenik
way/162022271-220,HRV_37,Sibenik
way/162022271-220,HRV_39,Sibenik
way/163860997-400,HRV_40,Knin
way/170366194-220,HRV_41,Sisak
way/89819945-220,HRV_42,Sesvete
way/89820062-400,HRV_45,Zagreb
way/89820062-400,HRV_46,Zagreb
way/43337263-400,HRV_48,KastelStari
way/162022271-220,HRV_49,Sibenik
way/170366194-220,HRV_50,Sisak
way/170366194-220,HRV_52,Sisak
way/89820062-400,HRV_53,Zagreb
way/89820062-400,HRV_54,Zagreb
way/89820062-400,HRV_55,Zagreb
way/89820062-400,HRV_56,Zagreb
way/43337263-220,HRV_57,Split
way/43337263-220,HRV_58,Split
way/43337263-220,HRV_60,Split
way/96704507-220,HRV_61,Kutina
way/96704507-220,HRV_62,Kutina
way/96704507-220,HRV_63,Kutina
way/89820062-400,HRV_64,Zagreb
way/89820062-400,HRV_65,Zagreb
way/43337263-220,HRV_66,Split
way/43337263-220,HRV_67,Split
way/96704507-220,HRV_69,Kutina
way/96704507-220,HRV_70,Kutina
way/96704507-220,HRV_71,Kutina
way/43337263-220,HRV_72,Split
way/43337263-220,HRV_73,Split
way/96704507-220,HRV_74,Kutina
way/96704507-220,HRV_75,Kutina
way/96704507-220,HRV_76,Kutina
way/96704507-220,HRV_77,Kutina
way/43337263-220,HRV_78,Split
way/96704507-220,HRV_79,Kutina
way/96704507-220,HRV_80,Kutina
way/96704507-220,HRV_81,Kutina
way/96704507-220,HRV_82,Kutina
way/43337263-220,HRV_83,Split
way/113757307-220,HRV_84,Vinkovci
way/113757307-220,HRV_85,Vinkovci
way/113757307-220,HRV_86,Vinkovci
way/113757307-220,HRV_87,Vinkovci
way/113757307-220,HRV_88,Vinkovci
way/113757307-220,HRV_89,Vinkovci
way/89823918-400,HRV_92,Osijek
way/113757307-220,HRV_93,Vinkovci
way/89823918-400,HRV_94,Osijek
way/89823918-400,HRV_95,Osijek
way/89823918-400,HRV_96,Osijek
way/89823918-400,HRV_97,Osijek
way/89823918-400,HRV_98,Osijek
way/89823918-400,HRV_99,Osijek
