bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/131484738-765,way/131484738,765.0,f,Substation,f,way/131484738,78.22685007819629,26.11343400289809,IN,765.0,IN
way/247861059-765,way/247861059,765.0,f,Substation,f,way/247861059,76.93781475876062,28.533524088448228,IN,765.0,IN
way/311103617-765,way/311103617,765.0,f,Substation,f,way/311103617,81.01877917780367,27.044749738895856,IN,765.0,IN
way/353914865-765,way/353914865,765.0,f,Substation,f,way/353914865,82.76217218403185,22.271692751270525,IN,765.0,IN
way/355560316-765,way/355560316,765.0,f,Substation,f,way/355560316,77.04573908324784,13.480978659486842,IN,765.0,IN
way/360424761-765,way/360424761,765.0,f,Substation,f,way/360424761,77.44727372440992,23.402301044116484,IN,765.0,IN
way/369866141-765,way/369866141,765.0,f,Substation,f,way/369866141,75.66521878656216,26.651351516019087,IN,765.0,IN
way/372701897-765,way/372701897,765.0,f,Substation,f,way/372701897,75.1460785084325,30.784075715982738,IN,765.0,IN
way/409158116-765,way/409158116,765.0,f,Substation,f,way/409158116,82.05466659542807,17.091828850387046,IN,765.0,IN
way/429459345-765,way/429459345,765.0,f,Substation,f,way/429459345,74.21981643179019,16.6318458243033,IN,765.0,IN
way/801704865-765,way/801704865,765.0,f,Substation,f,way/801704865,78.53036474155012,17.05558068638868,IN,765.0,IN
way/473902678-765,way/473902678,765.0,f,Substation,f,way/473902678,73.21224463503681,19.40779101932713,IN,765.0,IN
way/793144832-765,way/793144832,765.0,f,Substation,f,way/793144832,88.54039767891565,23.017657471641133,IN,765.0,IN
way/840600239-765,way/840600239,765.0,f,Substation,f,way/840600239,78.86356466681632,20.403177210879225,IN,765.0,IN
way/910151268-765,way/910151268,765.0,f,Substation,f,way/910151268,80.29503033445607,13.209761546970356,IN,765.0,IN
way/1206014676-765,way/1206014676,765.0,f,Substation,f,way/1206014676,78.00173448324163,9.448687765964198,IN,765.0,IN
IN10-765,IN10,765.0,f,Substation,f,IN10,75.13947351497819,32.76197127426434,IN,765.0,IN
IN617-765,IN617,765.0,f,Substation,f,IN617,85.13319869999997,20.72178717159756,IN,765.0,IN
IN529-765,IN529,765.0,f,Substation,f,IN529,73.39623609999998,22.32786227175517,IN,765.0,IN
IN187-765,IN187,765.0,f,Substation,f,IN187,71.55925780355734,26.85796789970427,IN,765.0,IN
IN42-765,IN42,765.0,f,Substation,f,IN42,78.48627278108589,30.25422557307184,IN,765.0,IN
way/203673991-400,way/203673991,400.0,f,Substation,f,way/203673991,92.76922942764432,26.87410388326765,IN,400.0,IN
way/1072445901-400,way/1072445901,400.0,f,Substation,f,way/1072445901,92.65878322312967,23.769901593809102,IN,400.0,IN
way/92994753-400,way/92994753,400.0,f,Substation,f,way/92994753,85.18318907486558,25.49884994234412,IN,400.0,IN
IN155-400,IN155,400.0,f,Substation,f,IN155,88.4150984,27.255836274102457,IN,400.0,IN
