line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
IN_line_1,IN10-765,way/372701897-765,IN10-765;way/372701897-765,765.0,11024.15698001439,286860.385,IN,
IN_line_2,way/203673991-400,IN155-400,IN155-400;way/203673991-400,400.0,10724.858600466492,260204.07333333333,IN,
IN_line_3,IN155-400,way/793144832-765,IN155-400;way/793144832-765,400.0,7149.905733644328,156844.02000000002,IN,
IN_line_4,IN155-400,way/92994753-400,IN155-400;way/92994753-400,400.0,14299.811467288657,211072.7275,IN,
IN_line_5,IN187-765,IN529-765,IN187-765;IN529-765,765.0,22048.31396002878,233678.925,IN,
IN_line_6,way/247861059-765,IN187-765,IN187-765;way/247861059-765,765.0,11024.15698001439,239646.07,IN,
IN_line_7,IN187-765,way/369866141-765,IN187-765;way/369866141-765,765.0,11024.15698001439,323447.55,IN,
IN_line_8,IN187-765,way/372701897-765,IN187-765;way/372701897-765,765.0,11024.15698001439,392854.66,IN,
IN_line_9,way/247861059-765,IN42-765,IN42-765;way/247861059-765,765.0,22048.31396002878,147538.0125,IN,
IN_line_10,IN42-765,way/311103617-765,IN42-765;way/311103617-765,765.0,5512.078490007195,233395.46,IN,
IN_line_11,way/360424761-765,IN529-765,IN529-765;way/360424761-765,765.0,16536.235470021584,212411.34333333332,IN,
IN_line_12,IN529-765,way/369866141-765,IN529-765;way/369866141-765,765.0,11024.15698001439,217191.4,IN,
IN_line_13,IN529-765,way/473902678-765,IN529-765;way/473902678-765,765.0,5512.078490007195,178830.1,IN,
IN_line_14,way/353914865-765,IN617-765,IN617-765;way/353914865-765,765.0,22048.31396002878,178077.765,IN,
IN_line_15,IN617-765,way/409158116-765,IN617-765;way/409158116-765,765.0,11024.15698001439,387094.43,IN,
IN_line_16,way/1072445901-400,way/203673991-400,way/1072445901-400;way/203673991-400,400.0,10724.858600466492,176680.72333333333,IN,
IN_line_17,way/1206014676-765,way/355560316-765,way/1206014676-765;way/355560316-765,765.0,11024.15698001439,368176.54,IN,
IN_line_18,way/247861059-765,way/131484738-765,way/131484738-765;way/247861059-765,765.0,38584.54943005036,211621.04428571428,IN,
IN_line_19,way/131484738-765,way/311103617-765,way/131484738-765;way/311103617-765,765.0,33072.47094004317,239147.965,IN,
IN_line_20,way/131484738-765,way/360424761-765,way/131484738-765;way/360424761-765,765.0,27560.39245003597,276113.15800000005,IN,
IN_line_21,way/369866141-765,way/131484738-765,way/131484738-765;way/369866141-765,765.0,11024.15698001439,142360.98,IN,
IN_line_22,way/247861059-765,way/311103617-765,way/247861059-765;way/311103617-765,765.0,11024.15698001439,330037.35500000004,IN,
IN_line_23,way/247861059-765,way/369866141-765,way/247861059-765;way/369866141-765,765.0,22048.31396002878,152715.92,IN,
IN_line_24,way/372701897-765,way/247861059-765,way/247861059-765;way/372701897-765,765.0,11024.15698001439,285927.22000000003,IN,
IN_line_25,way/311103617-765,way/353914865-765,way/311103617-765;way/353914865-765,765.0,44096.62792005756,176755.6575,IN,
IN_line_26,way/360424761-765,way/311103617-765,way/311103617-765;way/360424761-765,765.0,11024.15698001439,291360.10500000004,IN,
IN_line_27,way/92994753-400,way/311103617-765,way/311103617-765;way/92994753-400,765.0,43797.32954050966,181803.1600987092,IN,
IN_line_28,way/360424761-765,way/353914865-765,way/353914865-765;way/360424761-765,765.0,33072.47094004317,350425.22000000003,IN,
IN_line_29,way/840600239-765,way/353914865-765,way/353914865-765;way/840600239-765,765.0,44096.62792005756,352447.72875,IN,
IN_line_30,way/353914865-765,way/92994753-400,way/353914865-765;way/92994753-400,765.0,11024.15698001439,344524.155,IN,
IN_line_31,way/355560316-765,way/429459345-765,way/355560316-765;way/429459345-765,765.0,11024.15698001439,345373.87,IN,
IN_line_32,way/910151268-765,way/355560316-765,way/355560316-765;way/910151268-765,765.0,33072.47094004317,88558.22333333334,IN,
IN_line_33,way/360424761-765,way/840600239-765,way/360424761-765;way/840600239-765,765.0,16536.235470021584,303612.8466666667,IN,
IN_line_34,way/801704865-765,way/409158116-765,way/409158116-765;way/801704865-765,765.0,11024.15698001439,287467.61,IN,
IN_line_35,way/429459345-765,way/473902678-765,way/429459345-765;way/473902678-765,765.0,16536.235470021584,263616.5766666667,IN,
IN_line_36,way/801704865-765,way/429459345-765,way/429459345-765;way/801704865-765,765.0,22048.31396002878,154196.22000000003,IN,
IN_line_37,way/473902678-765,way/840600239-765,way/473902678-765;way/840600239-765,765.0,33072.47094004317,333274.6016666667,IN,
IN_line_38,way/793144832-765,way/92994753-400,way/793144832-765;way/92994753-400,765.0,25323.968447303047,193299.9159356533,IN,
IN_line_39,way/801704865-765,way/840600239-765,way/801704865-765;way/840600239-765,765.0,33072.47094004317,336974.2833333333,IN,
IN_line_40,way/801704865-765,way/910151268-765,way/801704865-765;way/910151268-765,765.0,33072.47094004317,239176.66666666672,IN,
