GEM location ID,bus_id
L100000102121,way/353914865-765
L100000102441,IN617-765
L100000102519,way/369866141-765
L100000102193,IN187-765
L100000102194,IN529-765
L100000102375,way/840600239-765
L100000102442,IN617-765
L100000102443,IN617-765
L100000102444,IN617-765
L100000102610,way/353914865-765
L100000102611,way/353914865-765
L100000102612,way/353914865-765
L100000102318,way/353914865-765
L100000102123,way/353914865-765
L100000102659,way/793144832-765
L100000102124,way/353914865-765
L100000102661,way/793144832-765
L100000102032,way/801704865-765
L100000102125,way/353914865-765
L100000102377,way/840600239-765
L100000102663,way/793144832-765
L100000102033,way/910151268-765
L100000102616,way/311103617-765
L100000102127,way/353914865-765
L100000102090,way/92994753-400
L100000102448,way/92994753-400
L100000102092,way/92994753-400
L100000102093,way/92994753-400
L100000102619,IN42-765
L100000102521,IN187-765
L100000102450,way/353914865-765
L100000102379,way/840600239-765
L100000102293,way/801704865-765
L100000102592,way/801704865-765
L100000102197,IN187-765
L100000102130,way/353914865-765
L100000102199,IN529-765
L100000102384,way/473902678-765
L100000102132,way/353914865-765
L100000102452,IN617-765
L100000102385,IN529-765
L100000102324,way/360424761-765
L100000102133,way/353914865-765
L100000102522,IN187-765
L100000102248,way/92994753-400
L100000102250,way/92994753-400
L100000102085,IN155-400
L100000102665,way/793144832-765
L100000102387,way/840600239-765
L100000102095,way/92994753-400
L100000102137,way/353914865-765
L100000102523,IN529-765
L100000102388,way/840600239-765
L100000102389,way/840600239-765
L100000102252,way/92994753-400
L100000102540,way/910151268-765
L100000102524,way/369866141-765
L100000102454,IN617-765
L100000102622,way/92994753-400
L100000102623,way/353914865-765
L100000102542,way/910151268-765
L100000102457,IN617-765
L100000102391,way/473902678-765
L100000102295,way/801704865-765
L100000102458,way/353914865-765
L100000102234,IN42-765
L100000102394,way/840600239-765
L100000102142,way/353914865-765
L100000102038,way/801704865-765
L100000102143,way/353914865-765
L100000102459,IN617-765
L100000102668,way/793144832-765
L100000102669,way/793144832-765
L100000102671,way/793144832-765
L100000102672,way/793144832-765
L100000102040,way/409158116-765
L100000102400,way/840600239-765
L100000102545,way/910151268-765
L100000102546,way/910151268-765
L100000102673,way/793144832-765
L100000102626,way/311103617-765
L100000102332,way/360424761-765
L100000102207,IN529-765
L100000102593,way/801704865-765
L100000102628,way/311103617-765
L100000102402,way/840600239-765
L100000102525,IN187-765
L100000102145,way/353914865-765
L100000102511,way/372701897-765
L100000102263,way/92994753-400
L100000102539,way/910151268-765
L100000102548,way/910151268-765
L100000102549,way/910151268-765
L100000102550,way/910151268-765
L100000102512,way/372701897-765
L100000102674,way/793144832-765
L100000102630,way/247861059-765
L100000102148,way/353914865-765
L100000102210,IN529-765
L100000102466,IN617-765
L100000102467,IN617-765
L100000104433,way/793144832-765
L100000102237,way/247861059-765
L100000102265,way/92994753-400
L100000102632,way/131484738-765
L100000102338,way/353914865-765
L100000102340,way/360424761-765
L100000102238,way/247861059-765
L100000102470,IN617-765
L100000102471,IN617-765
L100000102472,way/353914865-765
L100000102268,way/793144832-765
L100000102526,IN187-765
L100000102405,way/473902678-765
L100000102303,way/801704865-765
L100000102554,way/1206014676-765
L100000102104,way/92994753-400
L100000102595,way/801704865-765
L100000102474,IN617-765
L100000102527,way/369866141-765
L100000102476,IN617-765
L100000102152,way/353914865-765
L100000102153,way/353914865-765
L100000102528,way/369866141-765
L100000102635,way/311103617-765
L100000102406,way/840600239-765
L100000102477,IN617-765
L100000102345,way/360424761-765
L100000102407,way/473902678-765
L100000102636,way/247861059-765
L100000102272,way/92994753-400
L100000102677,way/793144832-765
L100000102411,way/840600239-765
L100000102157,way/353914865-765
L100000102529,way/369866141-765
L100000102530,way/369866141-765
L100000102598,way/801704865-765
L100000102159,way/353914865-765
L100000102306,way/429459345-765
L100000102637,way/311103617-765
L100000102213,IN187-765
L100000102214,IN529-765
L100000102638,way/131484738-765
L100000102657,IN42-765
L100000102162,way/353914865-765
L100000102479,IN617-765
L100000102164,way/353914865-765
L100000102275,way/92994753-400
L100000102347,way/353914865-765
L100000102348,way/353914865-765
L100000102276,way/793144832-765
L100000102052,way/409158116-765
L100000102480,IN617-765
L100000102414,way/840600239-765
L100000102599,way/409158116-765
L100000102639,IN42-765
L100000102165,way/353914865-765
