bus_id,grid_cell
way/92994753-400,IND_1232
way/92994753-400,IND_1230
way/311103617-765,IND_1048
way/247861059-765,IND_690
way/131484738-765,IND_744
way/840600239-765,IND_910
way/360424761-765,IND_740
way/311103617-765,IND_1044
way/353914865-765,IND_1183
way/840600239-765,IND_791
way/353914865-765,IND_1128
way/92994753-400,IND_1270
way/360424761-765,IND_437
way/910151268-765,IND_835
way/247861059-765,IND_627
way/92994753-400,IND_1267
way/131484738-765,IND_746
way/429459345-765,IND_483
way/311103617-765,IND_1082
way/311103617-765,IND_1047
way/247861059-765,IND_508
way/369866141-765,IND_500
way/353914865-765,IND_1070
way/353914865-765,IND_1154
way/353914865-765,IND_1201
way/840600239-765,IND_610
way/801704865-765,IND_721
way/910151268-765,IND_944
way/473902678-765,IND_376
way/473902678-765,IND_430
IN529-765,IND_327
way/360424761-765,IND_963
IN617-765,IND_1280
way/353914865-765,IND_1158
IN529-765,IND_201
way/910151268-765,IND_890
IN42-765,IND_924
way/353914865-765,IND_1201
way/353914865-765,IND_1155
way/353914865-765,IND_1223
way/355560316-765,IND_594
way/311103617-765,IND_971
way/360424761-765,IND_677
way/369866141-765,IND_445
way/372701897-765,IND_400
way/801704865-765,IND_600
way/355560316-765,IND_713
way/840600239-765,IND_851
way/840600239-765,IND_960
IN617-765,IND_1237
IN617-765,wof-IND_712
way/409158116-765,IND_1117
way/409158116-765,wof-IND_642
way/311103617-765,IND_1161
way/247861059-765,IND_689
way/247861059-765,IND_688
way/311103617-765,IND_1107
way/353914865-765,IND_1128
way/131484738-765,IND_800
way/131484738-765,IND_805
way/1206014676-765,IND_706
way/429459345-765,IND_266
way/473902678-765,IND_228
way/801704865-765,IND_727
way/801704865-765,IND_783
way/473902678-765,IND_159
way/353914865-765,IND_1158
way/353914865-765,IND_1069
way/360424761-765,IND_854
way/353914865-765,IND_1223
way/910151268-765,IND_886
way/247861059-765,IND_687
way/131484738-765,IND_919
way/801704865-765,IND_485
way/369866141-765,IND_287
IN187-765,IND_214
IN529-765,IND_284
IN187-765,IND_119
IN187-765,IND_14
IN529-765,IND_112
way/360424761-765,IND_493
way/910151268-765,IND_830
way/793144832-765,IND_1360
way/131484738-765,IND_864
way/793144832-765,IND_1388
way/840600239-765,IND_848
way/910151268-765,IND_983
way/910151268-765,wof-IND_575
way/801704865-765,IND_948
IN187-765,IND_78
way/910151268-765,IND_983
way/910151268-765,wof-IND_575
way/247861059-765,IND_448
IN187-765,IND_7
IN529-765,IND_54
IN187-765,IND_146
way/1206014676-765,IND_707
way/801704865-765,IND_901
way/131484738-765,IND_864
IN187-765,IND_16
way/247861059-765,IND_750
IN42-765,IND_867
way/353914865-765,IND_1155
IN10-765,IND_405
