from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type
0,generation,2,demand,53624.293002332466,15.0,400.0,798.2754297951092,gen0,dem2,Generation cluster 0 to Demand cluster 2,,,,
1,generation,0,demand,22048.31396002878,2.0,765.0,741.4642734311271,gen1,dem0,Generation cluster 1 to Demand cluster 0,,,,
1,generation,3,demand,66144.94188008634,8.0,765.0,255.33817908394104,gen1,dem3,Generation cluster 1 to Demand cluster 3,,,,
1,generation,4,demand,33072.47094004317,3.0,765.0,994.1220031823922,gen1,dem4,Generation cluster 1 to Demand cluster 4,,,,
2,generation,1,demand,22048.31396002878,3.0,765.0,315.09466467931645,gen2,dem1,Generation cluster 2 to Demand cluster 1,,,,
2,generation,4,demand,33072.47094004317,3.0,765.0,293.2183068501765,gen2,dem4,Generation cluster 2 to Demand cluster 4,,,,
3,generation,0,demand,5512.078490007195,1.0,765.0,939.8718665049449,gen3,dem0,Generation cluster 3 to Demand cluster 0,,,,
3,generation,2,demand,595005.1785412291,80.0,751.3125,427.5744891573646,gen3,dem2,Generation cluster 3 to Demand cluster 2,,,,
3,generation,3,demand,33072.47094004317,4.0,765.0,866.0171714885678,gen3,dem3,Generation cluster 3 to Demand cluster 3,,,,
3,generation,4,demand,22048.31396002878,2.0,765.0,796.9251090057955,gen3,dem4,Generation cluster 3 to Demand cluster 4,,,,
4,demand,3,demand,22048.31396002878,3.0,765.0,748.306753117827,dem4,dem3,Demand cluster 4 to Demand cluster 3,,,,
4,generation,0,demand,22048.31396002878,4.0,765.0,134.6848257696177,gen4,dem0,Generation cluster 4 to Demand cluster 0,,,,
6,renewable,3,demand,11024.15698001439,1.0,765.0,337.1644112123096,sol6,dem3,Renewable cluster 6 to Demand cluster 3,,,,
7,renewable,3,demand,16536.235470021584,2.0,765.0,143.33464434320044,sol7,dem3,Renewable cluster 7 to Demand cluster 3,,,,
8,renewable,4,demand,11024.15698001439,2.0,765.0,510.7417502116491,sol8,dem4,Renewable cluster 8 to Demand cluster 4,,,,
14,renewable,0,demand,77169.09886010073,9.0,765.0,501.52079019535114,sol14,dem0,Renewable cluster 14 to Demand cluster 0,,,,
14,renewable,1,generation,11024.15698001439,1.0,765.0,461.14957570010273,sol14,gen1,Renewable cluster 14 to Generation cluster 1,,,,
18,renewable,0,demand,44096.62792005756,6.0,765.0,417.0425435070512,sol18,dem0,Renewable cluster 18 to Demand cluster 0,,,,
18,renewable,3,demand,16536.235470021584,3.0,765.0,457.4233058564885,sol18,dem3,Renewable cluster 18 to Demand cluster 3,,,,
19,renewable,0,demand,44096.62792005756,6.0,765.0,564.9146110399473,sol19,dem0,Renewable cluster 19 to Demand cluster 0,,,,
19,renewable,3,generation,5512.078490007195,1.0,765.0,397.8433283560289,sol19,gen3,Renewable cluster 19 to Generation cluster 3,,,,
20,renewable,0,demand,27560.392450035975,5.0,765.0,394.3229435068457,sol20,dem0,Renewable cluster 20 to Demand cluster 0,,,,
20,renewable,2,demand,5512.078490007195,1.0,765.0,685.9430840107296,sol20,dem2,Renewable cluster 20 to Demand cluster 2,,,,
21,renewable,0,demand,22048.31396002878,3.0,765.0,247.4835780281205,sol21,dem0,Renewable cluster 21 to Demand cluster 0,,,,
21,renewable,3,demand,11024.15698001439,2.0,765.0,541.4454707026922,sol21,dem3,Renewable cluster 21 to Demand cluster 3,,,,
27,renewable,2,demand,60632.86339007915,8.0,765.0,437.4639168616321,sol27,dem2,Renewable cluster 27 to Demand cluster 2,,,,
30,renewable,3,demand,66144.94188008634,6.0,765.0,525.7265087044606,sol30,dem3,Renewable cluster 30 to Demand cluster 3,,,,
33,renewable,2,demand,14299.811467288655,3.0,400.0,173.92067266747563,sol33,dem2,Renewable cluster 33 to Demand cluster 2,,,,
34,renewable,2,demand,10724.858600466492,4.0,400.0,140.34561375167445,sol34,dem2,Renewable cluster 34 to Demand cluster 2,,,,
36,renewable,2,demand,3574.952866822164,1.0,400.0,805.2748728292518,sol36,dem2,Renewable cluster 36 to Demand cluster 2,,,,
37,renewable,2,demand,3574.952866822164,1.0,400.0,795.3451645830518,sol37,dem2,Renewable cluster 37 to Demand cluster 2,,,,
38,renewable,2,demand,10724.858600466492,3.0,400.0,629.5704554374431,sol38,dem2,Renewable cluster 38 to Demand cluster 2,,,,
44,renewable,2,demand,7149.905733644328,2.0,400.0,417.0737801000475,sol44,dem2,Renewable cluster 44 to Demand cluster 2,,,,
45,renewable,2,demand,10724.858600466492,3.0,400.0,301.6036620588278,sol45,dem2,Renewable cluster 45 to Demand cluster 2,,,,
47,renewable,4,demand,11024.15698001439,1.0,765.0,571.0539209180076,sol47,dem4,Renewable cluster 47 to Demand cluster 4,,,,
52,renewable,0,demand,11024.15698001439,1.0,765.0,776.0685514276792,sol52,dem0,Renewable cluster 52 to Demand cluster 0,,,,
52,renewable,2,demand,22048.31396002878,3.0,765.0,681.6522199302416,sol52,dem2,Renewable cluster 52 to Demand cluster 2,,,,
52,renewable,3,demand,55120.78490007195,5.0,765.0,567.7052116974485,sol52,dem3,Renewable cluster 52 to Demand cluster 3,,,,
54,renewable,2,demand,11024.15698001439,1.0,765.0,642.3987322966124,sol54,dem2,Renewable cluster 54 to Demand cluster 2,,,,
54,renewable,4,demand,22048.31396002878,2.0,765.0,590.7024500600756,sol54,dem4,Renewable cluster 54 to Demand cluster 4,,,,
59,renewable,3,demand,5512.078490007195,1.0,765.0,533.8049661010432,sol59,dem3,Renewable cluster 59 to Demand cluster 3,,,,
59,renewable,4,demand,11024.15698001439,2.0,765.0,272.686139970195,sol59,dem4,Renewable cluster 59 to Demand cluster 4,,,,
61,renewable,4,demand,11024.15698001439,1.0,765.0,502.36864680568317,sol61,dem4,Renewable cluster 61 to Demand cluster 4,,,,
64,renewable,4,demand,11024.15698001439,1.0,765.0,215.40480494650095,sol64,dem4,Renewable cluster 64 to Demand cluster 4,,,,
66,renewable,4,demand,22048.31396002878,3.0,765.0,296.7467781919586,sol66,dem4,Renewable cluster 66 to Demand cluster 4,,,,
69,renewable,1,demand,11024.15698001439,1.0,765.0,319.407541271572,sol69,dem1,Renewable cluster 69 to Demand cluster 1,,,,
69,renewable,4,demand,33072.47094004317,4.0,765.0,273.8021402749632,sol69,dem4,Renewable cluster 69 to Demand cluster 4,,,,
