GEM location ID,bus_id
L100000500289,gen3
L100000500278,gen4
L100000500290,gen2
L100000500220,gen2
L100000500044,gen1
L100000500206,gen2
L100000500287,gen3
L100000500108,gen2
L100000500218,gen2
L100000500288,gen1
L100000500219,gen4
L100000500164,gen1
L100000500186,gen1
L100000200633,gen2
L100000200185,gen4
L100001019039,gen2
L100000200179,gen4
L100000200186,gen4
L100000200184,gen4
L100001019040,gen2
L100000200180,gen4
L100000200178,gen2
L100000200176,gen2
L100000200181,gen2
L100000200182,gen2
L100000200634,gen2
L100000200177,gen2
L100000200635,gen1
L100000200636,gen2
L100000200637,gen2
L100000200183,gen4
L100000102430,gen2
L100000200639,gen2
L100000200640,gen2
L100000407594,gen0
L100000408400,gen1
L100000401464,gen1
L100000408399,gen2
L100000407355,gen0
L100000401466,gen4
L100000407604,gen0
L100000407143,gen1
L100000408398,gen2
L100000408397,gen2
L100000401465,gen4
L100000407603,gen1
L100000401483,gen1
L100000401461,gen4
L100000401471,gen1
L100000401463,gen4
L100000407602,gen1
L100000401498,gen2
L100000401506,gen2
L100000401508,gen2
L100000408396,gen1
L100000408395,gen4
L100000401479,gen1
L100000401467,gen1
L100000407600,gen1
L100000104861,gen1
L100000408393,gen3
L100000408392,gen3
L100000407726,gen4
L100000407593,gen4
L100000407592,gen4
L100000401503,gen2
L100000401489,gen1
L100000401518,gen2
L100000407144,gen4
L100000407123,gen4
L100000102556,gen2
L100000401490,gen1
L100000407598,gen2
L100000401501,gen2
L100000401494,gen2
L100000408391,gen2
L100000401510,gen2
L100000408390,gen0
L100000407596,gen4
L100000407597,gen2
L100000401488,gen1
L100000407595,gen3
L100000401520,gen0
L100000401519,gen0
L100000401514,gen2
L100000401482,gen1
L100000408389,gen3
L100000401469,gen1
L100000401459,gen4
L100000401458,gen4
L100000401462,gen1
L100000401491,gen2
L100000407590,gen4
L100000407589,gen2
L100000401502,gen2
L100000401475,gen1
L100000401511,gen2
L100000401521,gen0
L100000401487,gen1
L100000401478,gen1
L100000401486,gen1
L100000401474,gen1
L100000407146,gen1
L100000401480,gen1
L100000401512,gen2
L100000401505,gen2
L100000401499,gen2
L100000102082,gen3
L100000407120,gen2
L100000102373,gen3
L100000102243,gen3
L100000102121,gen3
L100000102441,gen3
L100000102519,gen1
L100000102193,gen1
L100000105017,gen3
L100000102194,gen1
L100000102375,gen3
L100000102442,gen3
L100000102443,gen3
L100000102444,gen3
L100000102610,gen3
L100000102611,gen3
L100000102612,gen3
L100001000082,gen3
L100000102318,gen3
L100000102123,gen3
L100000102537,gen2
L100000102659,gen3
L100000102124,gen3
L100000104755,gen1
L100000102661,gen3
L100000102032,gen2
L100000102125,gen3
L100000102377,gen3
L100000102663,gen3
L100000102033,gen2
L100000102616,gen3
L100000102127,gen3
L100000102090,gen3
L100000102448,gen3
L100000102092,gen3
L100000102093,gen3
L100000102619,gen4
L100000102521,gen4
L100000102450,gen3
L100000102379,gen3
L100000102293,gen2
L100000102592,gen2
L100000102197,gen1
L100000102130,gen3
L100000102199,gen1
L100000102384,gen2
L100000102132,gen3
L100000102452,gen3
L100000102385,gen1
L100001042985,gen4
L100000102324,gen3
L100000102133,gen3
L100000102522,gen1
L100000104769,gen1
L100000102250,gen3
L100000102248,gen3
L100000102085,gen0
L100000102665,gen3
L100000102387,gen3
L100000102095,gen3
L100000102539,gen2
L100000102137,gen3
L100000102523,gen1
L100000102388,gen3
L100000102389,gen3
L100000102252,gen3
L100000102540,gen2
L100000102524,gen1
L100000102454,gen3
L100000102622,gen3
L100000102623,gen3
L100000102542,gen2
L100000102457,gen3
L100000102391,gen1
L100000102295,gen2
L100000102458,gen3
L100000102234,gen4
L100000102394,gen3
L100000102142,gen3
L100000102038,gen2
L100000102143,gen3
L100000102459,gen3
L100000102668,gen3
L100000102669,gen3
L100000102671,gen3
L100000102672,gen3
L100000102040,gen3
L100000102545,gen2
L100000102546,gen2
L100000102673,gen3
L100000102626,gen3
L100000104976,gen1
L100000102331,gen3
L100000102332,gen3
L100000102207,gen1
L100000102593,gen2
L100000102628,gen3
L100000102402,gen3
L100000102525,gen1
L100000102400,gen3
L100000102145,gen3
L100000102511,gen4
L100000102263,gen3
L100000102548,gen2
L100000102549,gen2
L100001020387,gen1
L100000102512,gen4
L100000102674,gen3
L100000102630,gen4
L100000102148,gen3
L100000102149,gen3
L100000102210,gen1
L100000102466,gen3
L100000104433,gen3
L100000102599,gen2
L100000102467,gen3
L100000102237,gen4
L100000102265,gen3
L100000102632,gen4
L100000102338,gen3
L100000102470,gen3
L100000102471,gen3
L100000102472,gen3
L100001000104,gen3
L100000102268,gen3
L100000102526,gen1
L100000102172,gen3
L100000102405,gen1
L100000104954,gen3
L100000102303,gen2
L100000102554,gen2
L100000102104,gen3
L100001000079,gen1
L100000102595,gen2
L100000102474,gen3
L100000102527,gen1
L100000102476,gen3
L100000102152,gen3
L100000102153,gen3
L100000102528,gen1
L100000102635,gen4
L100000102406,gen3
L100000102477,gen3
L100000102345,gen1
L100000102407,gen1
L100000102636,gen4
L100000102272,gen3
L100000102677,gen3
L100000102411,gen3
L100000102157,gen3
L100000102529,gen1
L100000102530,gen1
L100000102598,gen2
L100000102159,gen3
L100000102306,gen2
L100000102637,gen3
L100000102213,gen1
L100000102214,gen1
L100000102657,gen4
L100000102638,gen3
L100000102162,gen3
L100000102479,gen3
L100000102164,gen3
L100000105026,gen3
L100000102275,gen3
L100000102347,gen3
L100000102348,gen3
L100000102238,gen4
L100000102276,gen3
L100000102052,gen3
L100000102480,gen3
L100000102414,gen3
L100000102639,gen4
L100000102165,gen3
L100000102415,gen3
L100000102053,gen2
L100000102640,gen3
L100000102680,gen3
L100001000101,gen2
L100000102481,gen3
L100000102560,gen2
L100000102561,gen2
L100000102417,gen3
L100000102655,gen3
L100000104761,gen3
L100000102353,gen3
L100000102217,gen1
L100000102055,gen2
L100000102562,gen2
L100000102112,gen3
L100000102113,gen3
L100000102114,gen3
L100000102563,gen2
L100001018066,gen3
L100000102419,gen1
L100000102420,gen1
L100000102421,gen1
L100000102642,gen4
L100000102059,gen2
L100000102565,gen2
L100000102355,gen3
L100000102566,gen2
L100000102567,gen2
L100000102568,gen2
L100000102569,gen2
L100000102278,gen3
L100000102340,gen3
L100000102644,gen3
