GEM location ID,bus_id
L100000102837,way/207339053-220
L100000200232,IE6-220
L100000400322,way/104388599-220
L100000400326,IE6-220
L100000400327,way/1154822210-220
L100000400328,way/27144164-220
L100000400330,IE6-220
L100000400332,way/207331199-220
L100000400334,way/194614470-220
L100000400335,way/361261945-220
L100000401436,way/197846408-220
L100000407582,way/185902319-220
L100000407583,IE7-220
L100000407709,IE6-220
L100000407710,way/516651650-220
L100000407711,way/88144450-220
L100000407816,way/42998577-220
L100000407817,IE4-220
L100000407818,IE7-220
L100000407946,way/197846408-220
L100000602185,way/180637986-220
L100000602186,way/180637986-220
L100000602187,way/288283900-220
L100000806450,way/264852019-220
L100000806451,way/1154822210-220
L100000806574,way/150124101-220
L100000806801,way/180637986-220
L100000822762,way/79803767-220
L100000822763,IE2-220
L100000822765,way/1154822210-220
L100000822766,IE7-220
L100000822767,way/1154822210-220
L100000822768,way/89760546-220
L100000822769,way/1154822210-220
L100000822770,way/150124101-220
L100000822771,way/89760546-220
L100000822772,way/89760546-220
L100000822773,IE7-220
L100000822774,way/254158424-400
L100000822775,IE7-220
L100000822777,way/288283900-220
L100000822778,way/288283900-220
L100000822779,IE2-220
L100000822780,way/197846408-220
L100000822781,way/254158424-400
L100000822782,way/264852019-220
L100000822783,way/194575030-220
L100000822784,way/288283900-220
L100000907716,way/185902319-220
L100000907723,way/185693432-220
L100000907791,way/185902319-220
L100000907818,way/1003262502-220
L100000907820,IE1-275
L100000908023,way/197846408-220
L100000908199,way/264275258-220
L100000908414,way/185902319-220
L100000908423,way/185902319-220
L100000908711,way/185902319-220
L100000908719,way/150124101-220
L100000908779,way/207331199-220
L100000908803,way/1154822210-220
L100000908830,way/185902319-220
L100000909304,way/185902319-220
L100000909576,way/1003262502-220
L100000909582,way/180637986-220
L100000909583,way/207339053-220
L100000909611,way/1003262502-220
L100000909801,way/150124101-220
L100000909809,IE1-275
L100000909817,way/185902319-220
L100000909835,way/1003262502-220
L100000909932,way/207331199-220
L100000910020,way/194575030-220
L100000910046,way/207339053-400
L100000910161,way/185902319-220
L100000910168,way/89760546-220
L100000910185,way/185902319-220
L100000910233,way/264275258-220
L100000910236,way/185693432-220
L100000910239,way/819997192-220
L100000910246,way/207331199-220
L100000910316,way/1003262502-220
L100000910415,way/1003262502-220
L100000910555,way/547590959-220
L100000910778,way/185902319-220
L100000910857,way/207339053-220
L100000910868,way/264275258-275
L100000910893,way/185902319-220
L100000911019,way/819997192-220
L100000911023,way/547590959-220
L100000911074,way/185902319-220
L100000911133,way/516651650-220
L100000911356,way/147525695-220
L100000911359,IE10-220
L100000911393,way/185902319-220
L100000911558,way/89760546-220
L100000911588,way/185902319-220
L100000911716,way/1003262502-220
L100000911737,way/150124101-220
L100000911834,way/264275258-220
L100000912135,way/185902319-220
L100000912197,IE10-220
L100000912212,way/186889669-220
L100000912227,way/180637986-220
L100000912229,way/1003262502-220
L100000912283,way/264275258-220
L100000912334,way/185693432-220
L100000912338,way/186889669-220
L100000912397,way/207331199-220
L100000912450,way/179121616-220
L100000912584,way/147525695-220
L100000912602,way/185902319-220
L100000912634,way/186889669-220
L100000912635,way/185902319-220
L100000912680,way/819997192-220
L100000912766,way/79803767-220
L100000912783,way/185902319-220
L100000912927,way/1154822210-220
L100000913005,way/185902319-220
L100000913019,way/819997192-220
L100000913066,way/207331199-220
L100000913307,way/185902319-220
L100000913425,way/147525695-220
L100000913508,way/547590959-220
L100000913532,way/264275258-220
L100000913547,IE1-275
L100000913590,way/180637986-220
L100000913604,way/547590959-220
L100000913681,way/1003262502-220
L100000913682,way/104388595-220
L100000913686,way/197846408-220
L100000913786,way/180637986-220
L100000913793,way/42998577-220
L100000913813,way/1154822210-220
L100000913816,way/147525695-220
L100000913824,way/819997192-220
L100000913880,way/1003262502-220
L100000913881,way/180637986-220
L100000913916,way/179121616-220
L100000913984,way/207331199-220
L100000913987,way/185902319-220
L100000914008,way/516651650-220
L100000914123,way/89760546-220
L100000914286,way/185693432-220
L100000914288,way/547590959-220
L100000914335,way/179121616-220
L100000914425,way/180637986-220
L100000914432,way/42998577-220
L100000914467,way/1003262502-220
L100000914475,way/42998577-220
L100000914532,way/547590959-220
L100000914570,way/207331199-220
L100000914595,way/1003262502-220
L100000914663,way/547590959-220
L100000914665,way/194575030-220
L100000914715,way/197846408-220
L100000914878,way/180637986-220
L100000915052,way/1003262502-220
L100000915149,way/186889669-220
L100000915215,IE10-220
L100000915241,way/194575030-220
L100000915269,way/194614470-220
L100000915270,way/185902319-220
L100000915345,IE10-220
L100000915355,way/42998577-220
L100000915448,way/185902319-220
L100000915502,way/88144450-220
L100000915523,IE11-220
L100000915556,way/185902319-220
L100000915566,way/88144450-220
L100000915577,way/104388595-220
L100000915589,way/180637986-220
L100000915594,way/819997192-220
L100000915607,way/819997192-220
L100000915608,way/819997192-220
L100000915630,way/185902319-220
L100000915652,way/185902319-220
L100000915658,way/194575030-220
L100000915691,way/547590959-220
L100000915714,IE7-220
L100000915771,way/42998577-220
L100000916088,way/361261945-220
L100000916148,way/264275258-275
L100000916170,way/207339053-220
L100000916175,way/42998577-220
L100000916213,way/264275258-275
L100000916217,way/147525695-220
L100000916230,way/714018181-220
L100000916261,way/35150701-220
L100000916269,way/714018181-220
L100000916274,way/147525695-220
L100000916291,way/207339053-220
L100000916294,way/35150701-220
L100000916298,way/104388599-220
L100000916299,way/150124101-220
L100000916302,way/185693432-220
L100000916337,way/1154822210-220
L100000916338,way/35150701-220
L100000920338,way/42998577-220
L100000920339,way/79803767-220
L100000920340,way/185902319-220
L100000920342,way/185902319-220
L100000920343,way/186889669-220
L100000920344,way/88144450-220
L100000920345,way/35150701-220
L100000920346,way/1154822210-220
L100000920347,way/264852019-220
L100000920348,way/819997192-220
L100000920349,way/1154822210-220
L100000920350,way/819997192-220
L100000920351,way/264852019-220
L100000920352,way/547590959-220
L100000920353,way/197846408-220
L100000920354,way/197846408-220
L100000920355,IE7-220
L100000920356,way/185693432-220
L100000920358,way/89760546-220
L100000920359,way/547590959-220
L100000920360,way/547590959-220
L100000920361,way/547590959-220
L100000920363,IE1-275
L100000920364,way/150124101-220
L100000920365,way/264852019-220
L100000920366,way/207339053-220
L100000920367,way/185902319-220
L100000920368,way/361261945-220
L100000920369,way/180637986-220
L100000920370,way/147525695-220
L100000920371,way/35150701-220
L100000920372,way/197846408-220
L100000920373,way/185902319-220
L100000920374,way/147525695-220
L100000920377,way/35150701-220
L100000920378,way/35150701-220
L100000920379,way/89760546-220
L100000920380,way/185902319-220
L100000920381,way/35150701-220
L100000920382,way/547590959-220
L100000920384,way/42998577-220
L100000920385,way/42998577-220
L100000920386,way/207339053-220
L100000920387,way/35150701-220
L100001000015,way/710981639-220
L100001000016,way/147525695-220
L100001000017,way/710981639-220
L100001000020,way/27144164-220
L100001000021,way/208124159-220
L100001000154,way/197846408-220
L100001000719,IE6-220
L100001000737,way/147525695-220
L100001000738,way/1231460605-220
L100001000739,IE7-220
L100001004554,way/89760546-220
L100001004555,way/1154822210-220
L100001004557,way/89760546-220
L100001004558,way/207331199-220
L100001004559,way/264852019-220
L100001004561,IE2-220
L100001004563,way/89760546-220
L100001004564,way/104388595-220
L100001004565,way/185693432-220
L100001004566,way/264275258-220
L100001004567,way/89760546-220
L100001004594,way/264852019-220
L100001004596,IE2-220
L100001004598,way/183749097-220
L100001005302,way/197846408-220
L100001005303,way/1154822210-220
L100001005305,way/186889669-220
L100001005307,way/104388595-220
L100001005308,way/35150701-220
L100001005309,way/185902319-220
L100001005310,way/1154822210-220
L100001005312,way/104388599-220
L100001005314,way/714018181-220
L100001005332,way/207331199-220
L100001005334,way/207339053-220
L100001005335,way/185902319-220
L100001005336,way/1154822210-220
L100001005658,IE1-275
L100001005661,way/179121616-220
L100001005663,way/150124101-220
L100001005664,way/185902319-220
L100001005666,way/42998577-220
L100001005668,way/180637986-220
L100001005708,way/185902319-220
L100001005709,IE1-275
L100001005710,way/547590959-220
L100001005711,way/207331199-220
L100001005713,way/194575030-220
L100001005714,way/207331199-220
L100001005715,way/819997192-220
L100001007551,way/1003262502-220
L100001007552,way/516651650-220
L100001007553,way/819997192-220
L100001007609,way/104388599-220
L100001007613,way/1154822210-220
L100001007614,way/104388599-220
L100001007615,way/819997192-220
L100001007616,way/79803767-220
L100001007617,way/207339053-220
L100001007618,way/207339053-220
L100001007619,way/264275258-275
L100001007620,way/1003262502-220
L100001008995,way/147525695-220
L100001008996,way/79803767-220
L100001008997,way/150124101-220
L100001008998,way/185693432-220
