bus_id,grid_cell
way/27144164-220,IRL_40
way/35150701-220,IRL_40
way/35150701-220,wof-IRL_216
way/42998577-220,IRL_17
way/79803767-220,IRL_14
way/79803767-220,wof-IRL_190
way/88144450-400,IRL_40
way/88144450-220,IRL_40
way/88462768-220,IRL_40
way/89760546-220,IRL_39
way/1154822210-220,IRL_31
way/1154822210-220,wof-IRL_208
way/104388595-220,IRL_22
way/104388595-220,wof-IRL_190
way/104388599-220,IRL_22
way/104388599-220,wof-IRL_190
way/147525695-220,wof-IRL_215
way/150124101-220,IRL_31
way/150124101-220,wof-IRL_208
way/179121616-400,IRL_25
way/179121616-220,IRL_25
way/180637986-220,IRL_16
way/183749097-220,IRL_40
way/185693432-220,IRL_39
way/185693432-220,wof-IRL_215
way/185902319-220,IRL_19
way/186889669-220,IRL_14
way/186889669-220,wof-IRL_176
way/194575030-220,IRL_27
way/194614470-220,IRL_17
way/197846408-220,IRL_25
way/207331199-220,IRL_9
way/207331199-220,wof-IRL_177
way/207339053-400,IRL_9
way/207339053-400,wof-IRL_161
way/207339053-220,IRL_9
way/207339053-220,wof-IRL_161
way/208124159-220,IRL_9
way/208124159-220,wof-IRL_161
way/254158424-400,IRL_41
way/254158424-220,IRL_41
way/255668124-220,IRL_40
way/255668124-220,wof-IRL_216
way/264275258-275,IRL_42
way/264275258-220,IRL_42
way/264852019-220,IRL_41
way/266025855-220,IRL_40
way/266025855-220,wof-IRL_216
way/285823895-220,IRL_40
way/285823895-220,wof-IRL_216
way/288283900-220,IRL_40
way/288283900-220,wof-IRL_216
way/361261945-220,IRL_22
way/361261945-220,wof-IRL_190
way/516651650-220,IRL_9
way/516651650-220,wof-IRL_161
way/516752881-220,IRL_40
way/547590959-220,IRL_7
way/710981639-220,IRL_40
way/710981639-220,wof-IRL_216
way/714018181-220,IRL_40
way/819997192-220,IRL_8
way/887405637-220,IRL_40
way/942416227-220,IRL_40
way/942416227-220,wof-IRL_216
way/1003262502-220,IRL_8
way/1003262502-220,wof-IRL_160
way/1231460605-220,IRL_40
way/1231460605-220,wof-IRL_216
IE3-220,IRL_40
IE11-220,IRL_22
IE11-220,wof-IRL_190
IE7-220,IRL_40
IE10-220,IRL_7
IE9-220,IRL_40
IE9-220,wof-IRL_216
IE2-220,IRL_40
IE5-220,IRL_40
IE6-220,IRL_40
IE4-220,IRL_40
IE1-275,IRL_43
way/819997192-220,IRL_0
way/1003262502-220,IRL_1
way/207339053-220,IRL_2
way/207339053-220,IRL_3
way/207339053-220,IRL_4
way/42998577-220,IRL_5
way/42998577-220,IRL_10
way/42998577-220,IRL_11
way/42998577-220,IRL_12
way/180637986-220,IRL_15
way/42998577-220,IRL_18
way/185902319-220,IRL_20
way/185902319-220,IRL_21
way/104388595-220,IRL_23
way/179121616-220,IRL_24
way/194575030-220,IRL_26
way/185902319-220,IRL_28
way/185902319-220,IRL_29
way/150124101-220,IRL_30
way/89760546-220,IRL_32
way/88144450-220,IRL_33
way/264852019-220,IRL_34
way/264275258-220,IRL_35
IE1-275,IRL_36
IE1-275,IRL_37
way/185693432-220,IRL_38
way/207339053-220,wof-IRL_26
way/207339053-220,wof-IRL_27
way/207339053-220,wof-IRL_43
way/207339053-220,wof-IRL_44
way/1003262502-220,wof-IRL_50
way/207339053-220,wof-IRL_51
way/207339053-220,wof-IRL_52
way/207339053-220,wof-IRL_53
way/207339053-220,wof-IRL_56
way/207339053-220,wof-IRL_61
way/1003262502-220,wof-IRL_68
way/207339053-220,wof-IRL_69
way/207339053-220,wof-IRL_70
way/207339053-220,wof-IRL_71
way/207339053-220,wof-IRL_72
way/207339053-220,wof-IRL_73
way/207339053-220,wof-IRL_74
way/207339053-220,wof-IRL_87
way/207339053-220,wof-IRL_88
way/207339053-220,wof-IRL_89
way/207339053-220,wof-IRL_90
way/207339053-220,wof-IRL_91
way/207339053-220,wof-IRL_92
way/819997192-220,wof-IRL_101
way/819997192-220,wof-IRL_103
way/1003262502-220,wof-IRL_104
way/1003262502-220,wof-IRL_105
way/207339053-220,wof-IRL_106
way/207339053-220,wof-IRL_107
way/207339053-220,wof-IRL_108
way/207339053-220,wof-IRL_109
way/207339053-220,wof-IRL_110
way/207339053-220,wof-IRL_111
way/547590959-220,wof-IRL_118
way/547590959-220,wof-IRL_119
way/819997192-220,wof-IRL_120
way/819997192-220,wof-IRL_121
way/819997192-220,wof-IRL_122
