bus0,bus1,voltage,s_nom,length,type
way/338795626-380,way/171270810-380,380.0,1698.1026117405274,1919.75,Al/St 240/40 4-bundle 380.0
IT129-380,way/40634284-380,380.0,3396.205223481055,2810.74,Al/St 240/40 4-bundle 380.0
IT92-380,IT91-380,380.0,1698.1026117405274,1776.26,Al/St 240/40 4-bundle 380.0
IT91-380,IT92-380,380.0,1698.1026117405274,1776.47,Al/St 240/40 4-bundle 380.0
way/76709660-380,way/58931857-380,380.0,1698.1026117405274,19906.6,Al/St 240/40 4-bundle 380.0
IT72-380,IT71-380,380.0,1698.1026117405274,1228.4,Al/St 240/40 4-bundle 380.0
way/59026315-380,IT42-380,380.0,1698.1026117405274,60694.39,Al/St 240/40 4-bundle 380.0
way/172302572-380,way/743450089-380,380.0,1698.1026117405274,21253.61,Al/St 240/40 4-bundle 380.0
way/59219335-380,IT135-380,380.0,3396.205223481055,69710.45,Al/St 240/40 4-bundle 380.0
way/58931857-380,way/419423704-380,380.0,1698.1026117405274,121857.24,Al/St 240/40 4-bundle 380.0
way/743450089-380,way/58931857-380,380.0,1698.1026117405274,38630.94,Al/St 240/40 4-bundle 380.0
way/743450089-380,way/339706878-380,380.0,1698.1026117405274,73221.88,Al/St 240/40 4-bundle 380.0
way/743450089-380,way/83872215-380,380.0,1698.1026117405274,101499.74,Al/St 240/40 4-bundle 380.0
IT93-380,way/98902899-380,380.0,1698.1026117405274,43774.39,Al/St 240/40 4-bundle 380.0
way/339706878-380,way/83872215-380,380.0,1698.1026117405274,43731.79,Al/St 240/40 4-bundle 380.0
way/96190189-380,way/61626687-380,380.0,1698.1026117405274,15294.62,Al/St 240/40 4-bundle 380.0
IT138-380,relation/13844905-380,380.0,1698.1026117405274,130467.58,Al/St 240/40 4-bundle 380.0
IT138-380,way/61712456-380,380.0,3396.205223481055,8774.45,Al/St 240/40 4-bundle 380.0
IT137-380,way/339706879-380,380.0,3396.205223481055,5972.24,Al/St 240/40 4-bundle 380.0
way/162828577-380,way/103264820-380,380.0,1698.1026117405274,11886.94,Al/St 240/40 4-bundle 380.0
way/162828577-380,way/74210017-380,380.0,1698.1026117405274,19126.79,Al/St 240/40 4-bundle 380.0
relation/17467354-380,way/76705565-380,380.0,1698.1026117405274,26095.99,Al/St 240/40 4-bundle 380.0
way/76705565-380,way/743450089-380,380.0,1698.1026117405274,43383.8,Al/St 240/40 4-bundle 380.0
way/82762493-380,relation/17467354-380,380.0,1698.1026117405274,52701.94,Al/St 240/40 4-bundle 380.0
IT52-380,IT10-380,380.0,1698.1026117405274,74869.27,Al/St 240/40 4-bundle 380.0
IT141-380,way/80517630-380,380.0,3396.205223481055,5617.47,Al/St 240/40 4-bundle 380.0
