GEM location ID,bus_id
L100000200210,way/377588191-220
L100000200211,way/377588191-220
L100000200219,way/109756016-380
L100000200220,way/144006711-220
L100000200223,way/116692433-220
L100000200228,way/81938081-380
L100000200205,IT135-220
L100000200279,way/81938081-380
L100000200290,IT67-220
L100000200310,way/105141350-220
L100000400336,way/98638424-220
L100000400338,IT30-220
L100000400339,way/110330925-380
L100000102860,way/100407576-380
L100000400342,way/172302572-380
L100000408812,way/303915533-220
L100000400344,way/60616350-380
L100000400345,way/375922076-220
L100000400346,way/84277460-220
L100000400349,IT71-220
L100000407559,way/339104227-380
L100000400353,way/288149641-220
L100000400354,way/289178949-220
L100000102841,way/145665799-380
L100000400358,way/84277460-220
L100000400360,way/171270810-380
L100000400361,way/133601335-380
L100000400362,way/100952845-380
L100000400363,way/339706878-380
L100000408810,way/75378894-220
L100000400364,way/82084019-380
L100000400365,way/84277460-220
L100000400367,way/102287716-220
L100000408809,way/136762727-380
L100000400369,way/203468251-220
L100000400370,IT121-380
L100000400371,IT39-220
L100000400374,way/116797658-220
L100000407626,way/36873258-220
L100000400376,way/98900549-380
L100000400337,way/99826025-220
L100000102856,way/409439916-380
L100000408807,relation/17467354-380
L100000408801,way/57384507-220
L100000400379,way/59629638-220
L100000400380,way/60616350-380
L100000408800,way/41892273-400
L100000400359,way/139442467-380
L100000400382,way/36873258-220
L100000400383,way/107438024-380
L100000102849,way/105757794-380
L100000407625,way/116692433-220
L100000400389,way/60235685-380
L100000400391,way/103974940-380
L100000407550,way/98421779-380
L100000400392,way/107681459-380
L100000406398,way/107683818-380
L100000400394,IT50-220
L100000400395,way/100407576-380
L100000408799,way/653230504-380
L100000400397,way/653230504-380
L100000400399,way/338969614-220
L100000408798,way/338969614-220
L100001005574,way/105141307-220
L100000400400,way/432729521-380
L100000400401,way/1051991398-220
L100000102846,way/60725875-220
L100000400403,way/416989699-380
L100000400407,way/435429368-220
L100000400409,IT68-220
L100000400411,way/338753171-380
L100000400412,way/82078641-220
