bus0,bus1,voltage,s_nom,length,type,geometry,HVDC
way/338795626-380,way/171270810-380,380.0,1698.1026117405274,1919.75,Al/St 240/40 4-bundle 380.0,"LINESTRING (15.47242669160705 41.21928908530814, 15.471805424017713 41.21330576306918, 15.4721969 41.2099929, 15.472523842536644 41.20715188502821, 15.475301397792093 41.202418378031275)",False
IT129-380,way/40634284-380,380.0,3396.205223481055,2810.74,Al/St 240/40 4-bundle 380.0,"LINESTRING (11.132847000000005 43.85180548974192, 11.138715058817933 43.850348858464315, 11.1414599 43.8496454, 11.1460169 43.8489502, 11.150087087087247 43.849250335860916, 11.167097573679145 43.848872857312806)",False
IT92-380,IT91-380,380.0,1698.1026117405274,1776.26,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.481823899999997 45.17070879076607, 7.484439131615096 45.17481258318085, 7.4854157 45.176345, 7.488035548943914 45.18133339122525, 7.490253900000004 45.185557290777155)",False
IT91-380,IT92-380,380.0,1698.1026117405274,1776.47,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.481823899999997 45.17070879076607, 7.483921761652138 45.17496004699632, 7.4846992 45.1765355, 7.487713074180111 45.18143055645275, 7.490253900000004 45.185557290777155)",False
way/76709660-380,way/58931857-380,380.0,1698.1026117405274,19906.6,Al/St 240/40 4-bundle 380.0,"LINESTRING (12.751535589498147 41.890279178091966, 12.744053760161215 41.88856944871041, 12.7421818 41.8883042, 12.7399964 41.8872371, 12.7408894 41.8862749, 12.7436701 41.8832017, 12.7451494 41.8815731, 12.7463308 41.8802493, 12.7469326 41.8795921, 12.7496284 41.8766189, 12.7523292 41.873656, 12.7538985 41.8703042, 12.7554942 41.866879, 12.7570894 41.8634582, 12.7587092 41.8600717, 12.7602987 41.8566395, 12.7622511 41.8524739, 12.7648783 41.8496944, 12.7676965 41.8467039, 12.770439 41.8437931, 12.7733943 41.8406567, 12.7757449 41.8381314, 12.7787535 41.8349674, 12.781896 41.8316016, 12.7845116 41.8288189, 12.7876111 41.8255321, 12.790825 41.822456, 12.7942582 41.8191949, 12.7974871 41.8161679, 12.8029086 41.8084899, 12.8054608 41.8048458, 12.8074596 41.8024819, 12.8082047 41.8009966, 12.8097516 41.7988143, 12.8126657 41.7944801, 12.8144832 41.7917676, 12.8164664 41.7888887, 12.8183921 41.7865858, 12.8203542 41.7842612, 12.8228163 41.781308, 12.8245836 41.7791986, 12.8279919 41.7751558, 12.8303979 41.7722506, 12.8323759 41.7699242, 12.8348367 41.7669243, 12.8371913 41.7641152, 12.8405815 41.7600686, 12.8441828 41.7556932, 12.8481264 41.7563407, 12.8527767 41.7571201, 12.858675468314043 41.758107910540595, 12.865988033738308 41.75704146187435)",False
IT72-380,IT71-380,380.0,1698.1026117405274,1228.4,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.431342179584443 45.602806890269804, 7.436878882759688 45.60050257082624, 7.439405556198708 45.59945798913275, 7.444784168928321 45.59708130651567)",False
way/59026315-380,IT42-380,380.0,1698.1026117405274,60694.39,Al/St 240/40 4-bundle 380.0,"LINESTRING (12.48831574215927 45.7205757661095, 12.496453627985236 45.72189935128858, 12.5003149 45.7230027, 12.503989 45.7240985, 12.508416 45.7254357, 12.5133836 45.7268578, 12.5174827 45.7280592, 12.5230205 45.7295648, 12.5275484 45.7309574, 12.5319713 45.7322752, 12.5370173 45.7337344, 12.5417029 45.735596, 12.545843 45.7372684, 12.5484947 45.7383578, 12.5533991 45.739656, 12.5600773 45.7414111, 12.5666088 45.7432955, 12.5712564 45.7445774, 12.5746409 45.7455116, 12.5799301 45.746688, 12.5860495 45.7480117, 12.5895684 45.7488134, 12.5940107 45.7493187, 12.5994046 45.7498766, 12.6040505 45.7504441, 12.608767 45.7510143, 12.6137644 45.7515269, 12.620013 45.7521679, 12.6244885 45.7526338, 12.6283224 45.7533932, 12.6335458 45.7544382, 12.6375206 45.755209, 12.6427916 45.7567675, 12.6520606 45.7595273, 12.6567333 45.7609697, 12.6626864 45.7626093, 12.6689661 45.764348, 12.6751493 45.7660245, 12.6805381 45.7682286, 12.6840973 45.7695992, 12.689431 45.7717303, 12.6944527 45.7737464, 12.6978229 45.7751606, 12.7027003 45.7770443, 12.7062531 45.7784453, 12.7112252 45.7798866, 12.7163015 45.7813014, 12.7207142 45.7825715, 12.7249569 45.7831243, 12.7302545 45.7838705, 12.735898 45.784623, 12.7424705 45.7855089, 12.7496934 45.7864566, 12.7563406 45.7873498, 12.7606541 45.7880956, 12.7659979 45.7890284, 12.7720248 45.7900622, 12.7778873 45.7911211, 12.7817564 45.7913063, 12.7861817 45.7916488, 12.7917662 45.7920131, 12.7983942 45.7924592, 12.8022026 45.7930523, 12.8024923 45.7931109, 12.8076493 45.7940151, 12.8145293 45.7951538, 12.8194781 45.7959329, 12.8199961 45.7960144, 12.8253817 45.7968499, 12.8293866 45.7973714, 12.8362182 45.7983423, 12.8434292 45.7993641, 12.8501883 45.8003635, 12.8565246 45.8012267, 12.8622201 45.8020482, 12.8660573 45.8029402, 12.8710522 45.8042112, 12.8760526 45.805573, 12.8804421 45.8065887, 12.8856412 45.8069813, 12.8896644 45.807349, 12.8955216 45.8086839, 12.9010386 45.8103463, 12.9061681 45.8118567, 12.9106427 45.8133647, 12.9151343 45.814854, 12.9190345 45.8162676, 12.9240002 45.8174632, 12.9287573 45.8185344, 12.9343738 45.819074, 12.9398219 45.819595, 12.9432949 45.8199415, 12.9478928 45.8201827, 12.9531969 45.8205509, 12.9578757 45.8208322, 12.9634358 45.8211732, 12.9699183 45.8215464, 12.9746585 45.8218366, 12.9752804 45.8218747, 12.9791644 45.8221578, 12.9845909 45.822547, 12.9919922 45.8230517, 12.9977934 45.8234933, 13.0022997 45.823752, 13.0079513 45.8240802, 13.01383 45.8244758, 13.0205067 45.824852, 13.0276718 45.8253331, 13.0348236 45.8258325, 13.0414172 45.8262823, 13.0466502 45.8267153, 13.0521557 45.8272851, 13.0567548 45.8275777, 13.0618963 45.8281125, 13.0675028 45.8286089, 13.0717845 45.8286818, 13.0760602 45.8287362, 13.0805189 45.8287657, 13.084125 45.8280947, 13.0896418 45.8271288, 13.0947588 45.8262478, 13.0997287 45.8253936, 13.1036972 45.8261926, 13.1093918 45.827308, 13.1152468 45.8283691, 13.1197399 45.8292835, 13.1236046 45.8303112, 13.1282445 45.8314961, 13.1332519 45.8328561, 13.1386755 45.8343348, 13.1438505 45.83569, 13.1492114 45.8363135, 13.1540817 45.8369713, 13.1590435 45.8375839, 13.1636067 45.8382423, 13.1688041 45.8388194, 13.1733257 45.8393758, 13.1785446 45.8400194, 13.184441 45.8407665, 13.1902125 45.8416904, 13.1946377 45.8424222, 13.1992098 45.8433731, 13.2031615 45.8442965, 13.2084288 45.8453832, 13.214179 45.8465898, 13.2201176 45.8478852, 13.2260779 45.8490769, 13.2291686 45.8497458, 13.229971927318928 45.84989581854915, 13.236171299999997 45.85107289126213)",False
way/172302572-380,way/743450089-380,380.0,1698.1026117405274,21253.61,Al/St 240/40 4-bundle 380.0,"LINESTRING (12.623232607814796 41.55772987335283, 12.626700162656338 41.55291974450978, 12.6273391 41.5527559, 12.6309462 41.551812, 12.6340631 41.550982, 12.6368 41.5502501, 12.640317 41.5487091, 12.6434814 41.5473011, 12.648505 41.5450909, 12.651917 41.5436371, 12.6560688 41.541779, 12.65976 41.5401467, 12.663976 41.5382794, 12.6678471 41.5365797, 12.6727783 41.5343108, 12.6773269 41.5321882, 12.6825782 41.5300032, 12.6865386 41.5283272, 12.6910025 41.5264326, 12.6951181 41.5246326, 12.6992286 41.5228427, 12.7028326 41.5201148, 12.7072745 41.5167085, 12.7110322 41.5138093, 12.7149436 41.5108228, 12.7186457 41.5078814, 12.7219909 41.50541, 12.73262 41.4970212, 12.7375021 41.4930486, 12.7438719 41.4879004, 12.7463759 41.4858824, 12.7502926 41.4826948, 12.7547688 41.4791088, 12.7583516 41.4761455, 12.7612648 41.4735012, 12.7640487 41.4709516, 12.7672571 41.4680236, 12.7709027 41.464638, 12.7742628 41.4615944, 12.7774296 41.4587239, 12.7808986 41.4555404, 12.7826826 41.4538617, 12.7854777 41.4507819, 12.788548 41.4473173, 12.7908966 41.4448067, 12.7934102 41.4420646, 12.7960135 41.4391655, 12.7986779 41.4362558, 12.801232884688472 41.43339884075927, 12.806951042011706 41.42978363435233)",False
way/59219335-380,IT135-380,380.0,3396.205223481055,69710.45,Al/St 240/40 4-bundle 380.0,"LINESTRING (11.267370791973713 42.9138282173619, 11.270986596399736 42.91020168857309, 11.273801 42.9075259, 11.2779921 42.9034257, 11.2805068 42.9009593, 11.2859908 42.8955785, 11.2892016 42.8924143, 11.2918726 42.8898225, 11.294785 42.8868871, 11.2992177 42.8825461, 11.3013987 42.8803921, 11.3062081 42.8755493, 11.3118642 42.8698357, 11.3143689 42.8670088, 11.3172381 42.863432, 11.3210004 42.8585508, 11.3235431 42.8554027, 11.3273997 42.8504884, 11.3300931 42.8471049, 11.3330981 42.8433317, 11.3362247 42.8391301, 11.3386989 42.8350454, 11.3428733 42.8278272, 11.3438997 42.8256903, 11.3457368 42.8207736, 11.3463216 42.8191827, 11.3476514 42.8155655, 11.3493129 42.8109949, 11.3503324 42.8082894, 11.3521324 42.8033212, 11.3541675 42.797805, 11.3553525 42.7948906, 11.3572888 42.7904426, 11.3621342 42.783752, 11.3648964 42.7798693, 11.3667825 42.7767464, 11.3697014 42.7718466, 11.3737636 42.7666743, 11.3770867 42.7623947, 11.3807272 42.7577159, 11.3825758 42.7541837, 11.3860965 42.747373, 11.3884916 42.7429171, 11.3914357 42.739382, 11.3939068 42.73638, 11.3956019 42.7343623, 11.3996108 42.7294715, 11.4015475 42.7271392, 11.4041186 42.7239959, 11.4070874 42.7203807, 11.410005 42.7168441, 11.4126859 42.7136186, 11.4159196 42.7096752, 11.4196209 42.7052107, 11.4236877 42.70158, 11.4296977 42.6963988, 11.4325769 42.6938894, 11.4370019 42.6901763, 11.4401233 42.687495, 11.4436833 42.6843805, 11.448146 42.6805193, 11.4506912 42.6786534, 11.4539848 42.6756316, 11.4603389 42.6701474, 11.4647172 42.6663321, 11.4694263 42.6622253, 11.4726659 42.6594289, 11.4762015 42.6563524, 11.4801398 42.6530335, 11.4839525 42.6495961, 11.4913064 42.6433521, 11.49491 42.6397059, 11.4987179 42.6358787, 11.5032092 42.6318643, 11.5063621 42.6294637, 11.5099328 42.6269408, 11.5137359 42.6243734, 11.5169477 42.6215549, 11.5195156 42.6192364, 11.5239441 42.6152627, 11.5267277 42.613055, 11.529525 42.6107442, 11.5327165 42.6077887, 11.5354682 42.6053787, 11.5395788 42.6017975, 11.5427746 42.5991758, 11.5443286 42.5965289, 11.5436552 42.5926075, 11.5426734 42.5866751, 11.5421326 42.5836164, 11.5413197 42.57866, 11.5408361 42.5758269, 11.5402042 42.5713789, 11.5394782 42.5658377, 11.539203 42.5620687, 11.5388833 42.5576668, 11.5389806 42.5522612, 11.5393426 42.5475965, 11.5396886 42.5421165, 11.5400023 42.5374479, 11.5403216 42.5328729, 11.540687 42.5272476, 11.5410738 42.521371, 11.5413564 42.5168206, 11.5430433 42.5142613, 11.5481163 42.5101316, 11.5524505 42.5065405, 11.5550362 42.5045707, 11.5595853 42.5008953, 11.5637118 42.4974148, 11.5638469 42.4973008, 11.5642893 42.4969277, 11.5679429 42.4939693, 11.5687013 42.4933552, 11.5713256 42.4911383, 11.5743066 42.4886959, 11.5754659 42.4845154, 11.5752456 42.4827381, 11.5748162 42.4792729, 11.5742556 42.4742931, 11.5734021 42.4678376, 11.5724406 42.4611957, 11.5717157 42.4555656, 11.5708854 42.4496529, 11.5700638 42.4434868, 11.5693434 42.4382973, 11.5686753 42.4333695, 11.5677966 42.4271712, 11.5670535 42.4219382, 11.5664753 42.4176743, 11.5657803 42.4126382, 11.5656693 42.408572, 11.566084 42.4045443, 11.5670827 42.4008484, 11.5687646 42.3969324, 11.5705576 42.3928263, 11.5722279 42.3889055, 11.5737293 42.3854898, 11.5759481 42.3802995, 11.5794259 42.3779208, 11.5853908 42.3768531, 11.5907617 42.3758961, 11.593712432957016 42.37537161624367, 11.601577912388697 42.37565954769383)",False
way/58931857-380,way/419423704-380,380.0,1698.1026117405274,121857.24,Al/St 240/40 4-bundle 380.0,"LINESTRING (12.865988033738308 41.75704146187435, 12.85876877441891 41.756033676901005, 12.8536998 41.7556561, 12.8483463 41.7547424, 12.847598 41.753375, 12.8502299 41.747543, 12.8494881 41.7436822, 12.8529825 41.7364064, 12.8561638 41.7327833, 12.8609084 41.7301926, 12.8662635 41.7278261, 12.8713181 41.725584, 12.877965 41.7226355, 12.8841273 41.7201987, 12.8931824 41.7166079, 12.8960298 41.7154886, 12.9021678 41.7130627, 12.9039135 41.7123727, 12.9116394 41.7093191, 12.9182507 41.7066515, 12.9222816 41.7055446, 12.926777 41.7042397, 12.9322462 41.70266, 12.9446627 41.6990866, 12.9471534 41.6983679, 12.9541388 41.6963566, 12.9584197 41.6951157, 12.9663566 41.692832, 12.9758215 41.6900958, 12.9790114 41.6891827, 12.9905724 41.6845674, 12.9978683 41.681616, 13.0081433 41.6774544, 13.0154749 41.6752773, 13.0249643 41.6733344, 13.0294005 41.6716828, 13.0402761 41.6678403, 13.0453478 41.6659342, 13.0488467 41.662974, 13.0508447 41.6602309, 13.0532047 41.6569499, 13.0569337 41.6517422, 13.0579923 41.6488739, 13.0591129 41.6457774, 13.0609774 41.6404392, 13.0621893 41.6372531, 13.0665621 41.6328694, 13.0744206 41.6249282, 13.0778921 41.6230069, 13.0862661 41.6183732, 13.0945117 41.6138979, 13.1010207 41.6102792, 13.1018314 41.6091026, 13.1049547 41.6042223, 13.1070708 41.6009641, 13.1092822 41.5975141, 13.1130741 41.5924938, 13.11695 41.5898775, 13.1191664 41.5882369, 13.1237365 41.5852524, 13.1271763 41.5830365, 13.1327769 41.5793175, 13.1373341 41.5750287, 13.1434433 41.569344, 13.1450706 41.567801, 13.146917 41.5660562, 13.1498138 41.5638798, 13.1535989 41.5610165, 13.1548566 41.5600487, 13.1599291 41.557765, 13.1658361 41.5550933, 13.1700637 41.5531485, 13.1743971 41.5512036, 13.1776099 41.5497851, 13.1848131 41.5465808, 13.1944813 41.5390657, 13.1984536 41.5360729, 13.2025688 41.5342239, 13.2064266 41.5332459, 13.214781 41.5311576, 13.2226921 41.5291529, 13.2251698 41.5285198, 13.2317275 41.526868, 13.2410787 41.5245057, 13.2458996 41.524488, 13.250315 41.524463, 13.2507117 41.5244614, 13.2641709 41.5244074, 13.2672041 41.523325, 13.2752366 41.5205668, 13.2816801 41.5191541, 13.2843625 41.5188372, 13.2873895 41.5185131, 13.2946721 41.5176888, 13.2990343 41.5148281, 13.305346 41.5106567, 13.3086779 41.5084657, 13.3167804 41.5060405, 13.3228927 41.5039928, 13.3263442 41.5029064, 13.3321365 41.5013122, 13.3386736 41.4995831, 13.3411582 41.4987998, 13.3504203 41.4954121, 13.3533006 41.4944957, 13.3558488 41.4936805, 13.3583086 41.4929317, 13.3649811 41.4908231, 13.3684754 41.4897247, 13.3706637 41.4893528, 13.3751198 41.4886198, 13.3881928 41.4895197, 13.3962887 41.4919696, 13.4045034 41.4963776, 13.4168876 41.498312, 13.4191432 41.4986516, 13.4255362 41.4990425, 13.4322575 41.4991664, 13.4427243 41.4993165, 13.444799 41.4993385, 13.4490279 41.4994086, 13.4538165 41.4994702, 13.4600736 41.4997922, 13.4668442 41.5001641, 13.4722862 41.5004359, 13.4751941 41.5006117, 13.4820336 41.5009431, 13.4903806 41.5004599, 13.5060691 41.4974221, 13.5081944 41.4967908, 13.512376 41.4955628, 13.5171185 41.4941192, 13.5239038 41.4921435, 13.5330159 41.4893827, 13.5353605 41.4885444, 13.5393522 41.4868483, 13.5448939 41.4845422, 13.5511492 41.4818929, 13.5531312 41.4810193, 13.5572861 41.4788245, 13.5629729 41.4757562, 13.5678217 41.4731622, 13.5705068 41.471703, 13.5766614 41.4711508, 13.5835073 41.470517, 13.5900676 41.4680629, 13.5930892 41.4669417, 13.5979003 41.4633792, 13.6008879 41.4611952, 13.6033952 41.4602008, 13.6073271 41.4586695, 13.6120568 41.4567843, 13.6226119 41.4527624, 13.6262292 41.4498285, 13.6335025 41.4439125, 13.6443372 41.4350595, 13.6468119 41.4330027, 13.6499786 41.4313182, 13.6547164 41.4287914, 13.6624826 41.4246102, 13.6649169 41.4235302, 13.6693935 41.4208604, 13.6756852 41.4174688, 13.6811114 41.4145347, 13.6905897 41.4094681, 13.6969422 41.4082666, 13.7002011 41.410286, 13.7047845 41.4108023, 13.7148009 41.4117728, 13.7206065 41.4124106, 13.7266263 41.4130837, 13.7322268 41.4136423, 13.7374149 41.4141979, 13.7429644 41.4148058, 13.7481363 41.4153514, 13.7536003 41.4159493, 13.7569594 41.4161825, 13.7626731 41.4165511, 13.7673734 41.4168842, 13.7715939 41.4165869, 13.7769724 41.4161739, 13.7822664 41.4158149, 13.7883941 41.414534, 13.7948209 41.4148958, 13.8003407 41.415482, 13.8055999 41.4155544, 13.8114767 41.4156412, 13.8180387 41.4147511, 13.8234812 41.4140564, 13.8310661 41.413007, 13.8366051 41.412276, 13.8418863 41.4111424, 13.8470967 41.4099641, 13.8532895 41.4085893, 13.8598033 41.407133, 13.8654981 41.4058989, 13.8707376 41.4051591, 13.8749109 41.4046274, 13.8796332 41.4039983, 13.8835864 41.4049933, 13.8903005 41.4067054, 13.8960229 41.4079837, 13.9013218 41.4091923, 13.9117343 41.4136857, 13.9132726 41.4143164, 13.9164597 41.4140107, 13.921691 41.4134543, 13.9287228 41.4127048, 13.9358873 41.4107611, 13.9393458 41.4098523, 13.9439894 41.4085852, 13.9521505 41.4064082, 13.9561917 41.4046126, 13.9625039 41.401799, 13.9666952 41.3999139, 13.9688515 41.3987627, 13.9740952 41.3965372, 13.9780391 41.3949147, 13.9821377 41.3935011, 13.9848451 41.3925673, 13.9884478 41.3917105, 13.9947989 41.3906656, 14.0018092 41.3895441, 14.009943 41.3882205, 14.0219345 41.3863225, 14.0256471 41.3856967, 14.0320734 41.3846826, 14.0367246 41.3839316, 14.0450905 41.382587, 14.0528713 41.3819949, 14.0630293 41.3812076, 14.0710403 41.3805754, 14.0768733 41.3810789, 14.081625204303469 41.381466988950635, 14.089959823335978 41.38170226052275)",False
