bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,station_id
IT127-380,380.0,f,Substation,f,IT127,15.665397096561373,41.02495150182229,IT,380.0,IT,
IT131-380,380.0,f,Substation,f,IT131,8.571038999999997,40.606248386898656,IT,380.0,IT,
IT19-380,380.0,f,Substation,f,IT19,13.133622899999994,46.01509979137839,IT,380.0,IT,
way/108020416-380,380.0,f,Substation,f,way/108020416,16.027759598542385,39.98981680018001,IT,380.0,IT,
way/110138220-220,220.0,f,Substation,f,way/110138220,15.282754794054384,38.18752093317158,IT,220.0,IT,
way/1158716725,500.0,t,Substation,f,way/1158716725,12.806985991114674,41.42980383291617,IT,500.0,IT,
way/1317893096-220,220.0,f,Substation,f,way/1317893096,15.17202685059222,37.125476372815335,IT,220.0,IT,
way/132702940-220,220.0,f,Substation,f,way/132702940,14.27884875309039,40.94892030983893,IT,220.0,IT,
way/203225567,500.0,t,Substation,f,way/203225567,8.306507186431089,40.84110865715793,IT,500.0,IT,
way/57736553-220,220.0,f,Substation,f,way/57736553,13.731829277129734,37.96803681462112,IT,220.0,IT,
way/59153311-380,380.0,f,Substation,f,way/59153311,12.114331486098123,45.40107443355991,IT,380.0,IT,
way/61712456-220,220.0,f,Substation,f,way/61712456,12.68756933758869,42.55682625430116,IT,220.0,IT,
way/74677138-380,380.0,f,Substation,f,way/74677138,9.171048885537536,45.61297322489667,IT,380.0,IT,
way/81931074-380,380.0,f,Substation,f,way/81931074,12.093776803602529,44.27327056963256,IT,380.0,IT,
way/82759380-380,380.0,f,Substation,f,way/82759380,11.799745218822643,42.16500409695634,IT,380.0,IT,
way/99694910-380,380.0,f,Substation,f,way/99694910,7.7892782005302115,44.46273179679329,IT,380.0,IT,
IT60-400,400.0,f,Substation,f,IT60,7.431604620881873,45.60300448281468,IT,400.0,IT,
way/103386958,400.0,t,Substation,f,way/103386958,18.1307852664905,40.16412834288651,IT,400.0,IT,
way/136762727,200.0,t,Substation,f,way/136762727,8.713917011839937,40.652049127100376,IT,200.0,IT,
way/136789074,200.0,t,Substation,f,way/136789074,10.694485729459018,43.05186024026141,IT,200.0,IT,
way/577074555,500.0,t,Substation,f,way/577074555,14.125116758695864,42.39492255580486,IT,500.0,IT,
