line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,HVDC
IT_line_13,IT60-400,way/74677138-380,IT60-400;way/74677138-380,380.0,8267.08,77274.75157243428,IT,,
IT_line_6,IT131-380,way/136762727,IT131-380;way/136762727,380.0,6568.977,58626.40053392637,IT,,
IT_line_25,way/1158716725,way/132702940-220,way/1158716725;way/132702940-220,380.0,5094.309,89045.60666666667,IT,,
IT_line_22,way/74677138-380,way/59153311-380,way/59153311-380;way/74677138-380,380.0,4379.318,41400.72904387395,IT,,
IT_line_23,way/81931074-380,way/74677138-380,way/74677138-380;way/81931074-380,380.0,3887.762,47019.41626868621,IT,,
IT_line_2,way/132702940-220,IT127-380,IT127-380;way/132702940-220,380.0,3887.762,40555.1390150143,IT,,
IT_line_9,way/61712456-220,way/577074555,way/577074555;way/61712456-220,380.0,3887.762,102898.92047091616,IT,,
IT_line_27,way/61712456-220,way/1158716725,way/1158716725;way/61712456-220,380.0,3887.762,41163.98252473788,IT,,
IT_line_37,way/59153311-380,IT19-380,IT19-380;way/59153311-380,380.0,3664.327,57502.8270954612,IT,,
IT_line_15,way/110138220-220,way/108020416-380,way/108020416-380;way/110138220-220,380.0,3396.206,66106.97499999999,IT,,
IT_line_10,way/136789074,way/82759380-380,way/136789074;way/82759380-380,380.0,3396.206,119152.465,IT,,
IT_line_16,way/132702940-220,way/108020416-380,way/108020416-380;way/132702940-220,380.0,3396.206,120899.785,IT,,
IT_line_44,way/82759380-380,way/61712456-220,way/61712456-220;way/82759380-380,380.0,3172.771,69857.64044379187,IT,,
IT_line_14,IT60-400,way/99694910-380,IT60-400;way/99694910-380,380.0,3172.771,37586.25816259036,IT,,
IT_line_45,way/99694910-380,way/74677138-380,way/74677138-380;way/99694910-380,380.0,3172.771,51024.62115153914,IT,,
IT_line_19,way/1317893096-220,way/110138220-220,way/110138220-220;way/1317893096-220,380.0,2681.215,93853.29137327294,IT,,
IT_line_12,way/81931074-380,way/136789074,way/136789074;way/81931074-380,380.0,2681.215,40578.87671572776,IT,,
IT_line_17,way/108020416-380,way/103386958,way/103386958;way/108020416-380,380.0,2189.659,105616.0940911393,IT,,
IT_line_1,IT127-380,way/108020416-380,IT127-380;way/108020416-380,380.0,2189.659,69307.66588735962,IT,,
IT_line_34,way/74677138-380,way/136789074,way/136789074;way/74677138-380,380.0,2189.659,115539.85823269284,IT,,
IT_line_42,way/81931074-380,way/61712456-220,way/61712456-220;way/81931074-380,380.0,2189.659,56359.98271072802,IT,,
IT_line_41,way/81931074-380,way/59153311-380,way/59153311-380;way/81931074-380,380.0,1698.103,84261.5,IT,,
IT_line_32,way/203225567,way/136762727,way/136762727;way/203225567,380.0,1698.103,45417.41,IT,,
IT_line_29,way/82759380-380,way/1158716725,way/1158716725;way/82759380-380,380.0,1698.103,26095.99,IT,,
IT_line_7,way/203225567,IT131-380,IT131-380;way/203225567,380.0,1698.103,36168.01,IT,,
IT_line_11,way/136789074,way/61712456-220,way/136789074;way/61712456-220,380.0,1698.103,202441.75,IT,,
IT_line_5,IT127-380,way/103386958,IT127-380;way/103386958,380.0,1698.103,11144.53,IT,,
IT_line_3,way/577074555,IT127-380,IT127-380;way/577074555,380.0,1698.103,12057.8,IT,,
IT_line_30,way/57736553-220,way/1317893096-220,way/1317893096-220;way/57736553-220,220.0,983.112,104458.92,IT,,
IT_line_20,way/57736553-220,way/110138220-220,way/110138220-220;way/57736553-220,220.0,983.112,147450.73,IT,,
IT_line_31,way/577074555,way/132702940-220,way/132702940-220;way/577074555,220.0,491.556,86658.9,IT,,
IT_line_35,way/74677138-380,IT19-380,IT19-380;way/74677138-380,220.0,491.556,26180.42,IT,,
