GEM location ID,bus_id
L100000102860,way/59153311-380
L100000102842,way/103386958
L100000102856,way/203225567
L100000102846,IT19-380
L100000102844,IT131-380
L100000102854,way/82759380-380
L100000200205,way/108020416-380
L100000200210,way/132702940-220
L100000200211,way/132702940-220
L100000200219,way/108020416-380
L100000200220,IT131-380
L100000200223,way/74677138-380
L100000200228,way/81931074-380
L100000200279,way/81931074-380
L100000200290,way/74677138-380
L100000200310,way/99694910-380
L100000400336,IT60-400
L100000400337,way/99694910-380
L100000400338,way/59153311-380
L100000400339,way/108020416-380
L100000400342,way/1158716725
L100000400344,way/577074555
L100000400345,way/1317893096-220
L100000400346,way/1158716725
L100000400349,way/59153311-380
L100000407559,way/74677138-380
L100000400353,way/74677138-380
L100000400354,way/59153311-380
L100000102841,way/103386958
L100000400358,way/110138220-220
L100000400359,way/81931074-380
L100000400360,IT127-380
L100000400361,way/74677138-380
L100000400362,way/74677138-380
L100000400363,way/1158716725
L100000400364,way/59153311-380
L100000400365,way/577074555
L100000400366,way/132702940-220
L100000400367,IT60-400
L100000400369,way/74677138-380
L100000400370,way/110138220-220
L100000400371,IT19-380
L100000400374,way/59153311-380
L100000400376,way/74677138-380
L100000400379,way/74677138-380
L100000400380,way/577074555
L100000400382,way/61712456-220
L100000400383,way/74677138-380
L100000102849,way/136789074
L100000400389,way/577074555
L100000400391,IT60-400
L100000400392,way/136789074
L100000400394,way/74677138-380
L100000400395,way/59153311-380
L100000400397,IT127-380
L100000400399,way/110138220-220
L100000400400,IT127-380
L100000400401,way/99694910-380
L100000400403,way/82759380-380
L100000400407,way/132702940-220
L100000400409,way/74677138-380
L100000400410,way/1317893096-220
L100000400411,way/1317893096-220
L100000400412,way/59153311-380
L100000400414,way/74677138-380
L100000104723,way/110138220-220
L100000400417,way/74677138-380
L100000400418,way/81931074-380
L100000400421,way/1317893096-220
L100000408895,way/59153311-380
L100000400422,way/1317893096-220
L100000400424,way/81931074-380
L100000400425,way/110138220-220
L100000400428,way/136789074
L100000400430,way/108020416-380
L100000400432,way/59153311-380
L100000400434,way/74677138-380
L100000400435,IT127-380
L100000400436,way/136789074
L100000400438,way/108020416-380
L100000400446,way/59153311-380
L100000400448,way/74677138-380
L100000400452,way/108020416-380
L100000400453,way/1158716725
L100000400454,way/132702940-220
L100000400457,way/74677138-380
L100000400459,way/74677138-380
L100000400460,way/1158716725
L100000400461,way/1317893096-220
L100000400465,way/577074555
L100000400466,way/61712456-220
L100000400468,IT60-400
L100000400469,way/82759380-380
L100000400471,IT19-380
L100000400472,way/1317893096-220
L100000400474,way/74677138-380
L100000102858,way/99694910-380
L100000400477,way/99694910-380
L100000400478,way/74677138-380
L100000401437,way/132702940-220
L100000406398,way/136789074
L100000400451,IT19-380
L100000407558,IT19-380
L100000407557,way/103386958
L100000407556,way/110138220-220
L100000407555,way/81931074-380
L100000407550,IT60-400
L100000407552,way/1317893096-220
L100000407553,way/110138220-220
L100000407618,way/1317893096-220
L100000407625,way/74677138-380
L100000407626,way/61712456-220
L100000408761,way/108020416-380
L100000408762,way/103386958
L100000408822,way/110138220-220
L100000408790,IT131-380
L100000408791,way/74677138-380
L100000408806,way/203225567
L100000408793,way/59153311-380
L100000408794,way/136789074
L100000408795,way/136789074
L100000408796,way/136789074
L100000408798,way/110138220-220
L100000408799,IT127-380
L100000408800,IT19-380
L100000408801,way/1317893096-220
L100000408807,way/82759380-380
L100000408808,way/82759380-380
L100000408809,way/136762727
L100000408810,way/74677138-380
L100000408812,IT131-380
L100000602191,way/1317893096-220
L100000602192,IT60-400
L100000602193,way/81931074-380
L100000602194,way/61712456-220
L100000602195,way/74677138-380
L100000602196,way/59153311-380
L100000602197,way/132702940-220
L100000602198,way/59153311-380
L100000602199,way/74677138-380
L100000602200,way/108020416-380
L100000602201,way/74677138-380
L100000602202,way/74677138-380
L100000602203,way/99694910-380
L100000602204,way/99694910-380
L100000602205,way/59153311-380
L100000602206,way/61712456-220
L100000602207,way/74677138-380
L100000602208,way/74677138-380
L100000602209,way/1317893096-220
L100000602210,way/74677138-380
L100000602211,way/59153311-380
L100000602212,way/74677138-380
L100000602213,way/74677138-380
L100000602214,way/577074555
L100000602215,way/108020416-380
