bus_id,grid_cell
way/74677138-380,ITA_42
way/61712456-220,ITA_152
way/61712456-220,wof-ITA_187
way/74677138-380,ITA_68
way/136789074,ITA_78
way/136789074,ITA_78
IT19-380,ITA_153
IT19-380,wof-ITA_191
way/74677138-380,ITA_59
way/1317893096-220,ITA_168
way/74677138-380,ITA_69
way/1158716725,ITA_134
IT19-380,ITA_140
way/59153311-380,ITA_124
way/59153311-380,ITA_107
way/82759380-380,ITA_85
way/82759380-380,wof-ITA_113
way/59153311-380,ITA_107
IT19-380,ITA_141
IT19-380,ITA_140
IT19-380,wof-ITA_191
way/59153311-380,ITA_92
way/577074555,ITA_175
way/577074555,ITA_176
way/577074555,wof-ITA_217
IT19-380,ITA_153
IT19-380,wof-ITA_191
way/103386958,ITA_216
way/103386958,wof-ITA_307
IT127-380,ITA_211
way/103386958,ITA_216
way/103386958,wof-ITA_307
way/1317893096-220,ITA_169
way/577074555,ITA_150
way/74677138-380,ITA_42
way/74677138-380,ITA_71
way/59153311-380,ITA_93
way/74677138-380,ITA_42
way/74677138-380,ITA_71
way/74677138-380,ITA_58
way/74677138-380,ITA_32
way/74677138-380,ITA_31
way/74677138-380,ITA_31
way/74677138-380,ITA_30
way/74677138-380,ITA_43
IT60-400,ITA_19
way/81931074-380,ITA_139
way/81931074-380,wof-ITA_168
way/74677138-380,ITA_31
way/74677138-380,ITA_70
way/74677138-380,ITA_59
way/1158716725,ITA_115
way/1158716725,wof-ITA_147
way/1158716725,ITA_115
way/81931074-380,ITA_79
way/61712456-220,ITA_116
way/59153311-380,ITA_122
way/81931074-380,ITA_105
way/81931074-380,ITA_105
way/59153311-380,ITA_80
way/59153311-380,ITA_124
way/59153311-380,ITA_91
way/59153311-380,ITA_91
way/82759380-380,ITA_100
way/82759380-380,wof-ITA_130
way/82759380-380,ITA_100
way/82759380-380,wof-ITA_130
way/82759380-380,ITA_100
way/82759380-380,wof-ITA_130
way/132702940-220,ITA_163
way/132702940-220,ITA_174
way/136789074,ITA_76
way/132702940-220,ITA_147
way/59153311-380,ITA_107
way/132702940-220,ITA_162
way/132702940-220,wof-ITA_216
way/132702940-220,ITA_173
way/74677138-380,ITA_29
way/74677138-380,ITA_57
way/132702940-220,ITA_162
way/132702940-220,wof-ITA_201
way/59153311-380,ITA_107
way/577074555,ITA_150
IT60-400,ITA_19
way/74677138-380,ITA_29
way/74677138-380,ITA_29
way/74677138-380,ITA_29
way/99694910-380,ITA_7
way/99694910-380,ITA_6
way/99694910-380,ITA_7
way/136789074,ITA_64
way/136789074,ITA_76
way/59153311-380,ITA_107
way/74677138-380,ITA_29
way/108020416-380,ITA_205
way/103386958,ITA_213
way/103386958,wof-ITA_291
way/103386958,ITA_215
way/103386958,wof-ITA_306
way/99694910-380,ITA_17
way/99694910-380,wof-ITA_52
IT60-400,ITA_8
IT60-400,ITA_19
way/99694910-380,ITA_6
IT60-400,ITA_8
IT60-400,ITA_19
way/136789074,ITA_55
way/136789074,wof-ITA_73
way/74677138-380,ITA_41
way/136789074,ITA_65
way/136789074,wof-ITA_87
way/136789074,ITA_78
way/108020416-380,ITA_193
way/108020416-380,wof-ITA_260
