from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,generation,2,demand,87899.171,59.0,347.45762711864404,20.342988572340808,gen0,dem2,Generation cluster 0 to Demand cluster 2,,,,,20.342988572340808,0.0,0.0,False,[]
0,generation,4,demand,49647.159,67.0,241.49253731343285,301.43500048872187,gen0,dem4,Generation cluster 0 to Demand cluster 4,,,,,301.43500048872187,0.0,0.0,False,[]
1,generation,1,demand,83475.16100000001,68.0,302.3529411764706,137.2998355089554,gen1,dem1,Generation cluster 1 to Demand cluster 1,,,,,137.2998355089554,0.0,0.0,False,[]
1,generation,4,demand,79944.893,56.0,320.0,242.7966327367835,gen1,dem4,Generation cluster 1 to Demand cluster 4,,,,,242.7966327367835,0.0,0.0,False,[]
1,renewable,3,demand,14255.123,12.0,293.3333333333333,74.69227242734003,sol1,dem3,Renewable cluster 1 to Demand cluster 3,,,,,74.69227242734003,0.0,0.0,False,[]
1,renewable,4,generation,3440.892,6.0,220.0,80.86317536608212,sol1,gen4,Renewable cluster 1 to Generation cluster 4,,,,,80.86317536608212,0.0,0.0,False,[]
2,generation,0,demand,62561.681,56.0,285.7142857142857,72.21680558185054,gen2,dem0,Generation cluster 2 to Demand cluster 0,,,,,72.21680558185054,0.0,0.0,False,[]
2,generation,2,demand,1698.103,1.0,380.0,442.5678045195696,gen2,dem2,Generation cluster 2 to Demand cluster 2,,,,,442.5678045195696,0.0,0.0,False,[]
2,renewable,3,demand,983.112,2.0,220.0,32.972176925916884,sol2,dem3,Renewable cluster 2 to Demand cluster 3,,,,,32.972176925916884,0.0,0.0,False,[]
3,generation,4,demand,8803.322,13.0,244.6153846153846,364.40475363896525,gen3,dem4,Generation cluster 3 to Demand cluster 4,,,,,364.40475363896525,0.0,0.0,False,[]
3,renewable,3,demand,1698.103,1.0,380.0,146.38666256346787,sol3,dem3,Renewable cluster 3 to Demand cluster 3,,,,,146.38666256346787,0.0,0.0,False,[]
3,renewable,4,generation,1698.103,1.0,380.0,190.24453444563807,sol3,gen4,Renewable cluster 3 to Generation cluster 4,,,,,190.24453444563807,0.0,0.0,False,[]
4,generation,1,demand,85441.381,86.0,266.51162790697674,175.78932397805,gen4,dem1,Generation cluster 4 to Demand cluster 1,,,,,175.78932397805,0.0,0.0,False,[]
4,generation,3,demand,202252.979,183.0,282.07650273224044,51.01665003600211,gen4,dem3,Generation cluster 4 to Demand cluster 3,,,,,51.01665003600211,0.0,0.0,False,[]
4,renewable,4,generation,5094.309,3.0,380.0,156.68055108056743,sol4,gen4,Renewable cluster 4 to Generation cluster 4,,,,,156.68055108056743,0.0,0.0,False,[]
6,renewable,1,demand,3440.892,5.0,220.0,200.28554525350407,sol6,dem1,Renewable cluster 6 to Demand cluster 1,,,,,200.28554525350407,0.0,0.0,False,[]
6,renewable,4,generation,18679.133,11.0,380.0,52.01572156154224,sol6,gen4,Renewable cluster 6 to Generation cluster 4,,,,,52.01572156154224,0.0,0.0,False,[]
8,renewable,1,demand,6792.412,4.0,380.0,203.35899317649958,sol8,dem1,Renewable cluster 8 to Demand cluster 1,,,,,203.35899317649958,0.0,0.0,False,[]
8,renewable,4,demand,3396.206,2.0,380.0,246.41779179034552,sol8,dem4,Renewable cluster 8 to Demand cluster 4,,,,,246.41779179034552,0.0,0.0,False,[]
14,renewable,2,demand,1698.103,1.0,380.0,181.094687448731,sol14,dem2,Renewable cluster 14 to Demand cluster 2,,,,,181.094687448731,0.0,0.0,False,[]
17,renewable,1,demand,19438.808,13.0,318.46153846153845,188.06346323970314,sol17,dem1,Renewable cluster 17 to Demand cluster 1,,,,,188.06346323970314,0.0,0.0,False,[]
19,renewable,4,demand,13584.821,5.0,380.0,155.48728030139202,sol19,dem4,Renewable cluster 19 to Demand cluster 4,,,,,155.48728030139202,0.0,0.0,False,[]
20,renewable,4,demand,14121.065,13.0,281.53846153846155,104.60580465444113,sol20,dem4,Renewable cluster 20 to Demand cluster 4,,,,,104.60580465444113,0.0,0.0,False,[]
29,renewable,1,demand,3396.206,2.0,380.0,0.0,won5,dem1,Renewable cluster 29 to Demand cluster 1,,,,,0.0,0.0,0.0,False,[]
34,renewable,0,generation,3396.206,2.0,380.0,0.0,won10,gen0,Renewable cluster 34 to Generation cluster 0,,,,,0.0,0.0,0.0,False,[]
34,renewable,2,demand,1698.103,1.0,380.0,0.0,won10,dem2,Renewable cluster 34 to Demand cluster 2,,,,,0.0,0.0,0.0,False,[]
40,renewable,0,demand,5853.986,6.0,273.3333333333333,0.0,won16,dem0,Renewable cluster 40 to Demand cluster 0,,,,,0.0,0.0,0.0,False,[]
10,renewable,3,generation,0.0,,0.0,29.001919535328533,sol10,gen3,Potential connection: Renewable cluster 10 to Generation cluster 3,potential_renewable10-generation3,renewable10,generation3,potential,29.001919535328533,0.0,0.0,False,[]
11,renewable,3,generation,0.0,,0.0,141.46502326421177,sol11,gen3,Potential connection: Renewable cluster 11 to Generation cluster 3,potential_renewable11-generation3,renewable11,generation3,potential,141.46502326421177,0.0,0.0,False,[]
12,renewable,2,generation,0.0,,0.0,69.72009650356507,sol12,gen2,Potential connection: Renewable cluster 12 to Generation cluster 2,potential_renewable12-generation2,renewable12,generation2,potential,69.72009650356507,0.0,0.0,False,[]
13,renewable,0,demand,0.0,,0.0,59.86040138895749,sol13,dem0,Potential connection: Renewable cluster 13 to Demand cluster 0,potential_renewable13-demand0,renewable13,demand0,potential,59.86040138895749,0.0,0.0,False,[]
15,renewable,2,demand,0.0,,0.0,96.61208987417906,sol15,dem2,Potential connection: Renewable cluster 15 to Demand cluster 2,potential_renewable15-demand2,renewable15,demand2,potential,96.61208987417906,0.0,0.0,False,[]
16,renewable,0,generation,0.0,,0.0,34.44220549496608,sol16,gen0,Potential connection: Renewable cluster 16 to Generation cluster 0,potential_renewable16-generation0,renewable16,generation0,potential,34.44220549496608,0.0,0.0,False,[]
18,renewable,1,demand,0.0,,0.0,132.90690875033877,sol18,dem1,Potential connection: Renewable cluster 18 to Demand cluster 1,potential_renewable18-demand1,renewable18,demand1,potential,132.90690875033877,0.0,0.0,False,[]
21,renewable,4,demand,0.0,,0.0,62.68318325531793,sol21,dem4,Potential connection: Renewable cluster 21 to Demand cluster 4,potential_renewable21-demand4,renewable21,demand4,potential,62.68318325531793,0.0,0.0,False,[]
