bus0,bus1,voltage,s_nom,length,type
way/169963227-500,way/66098469-500,500.0,4468.691083527704,8200.19,Al/St 240/40 4-bundle 380.0
JP21-500,JP36-500,500.0,4468.691083527704,65778.86,Al/St 240/40 4-bundle 380.0
JP36-500,way/66098469-500,500.0,4468.691083527704,22592.08,Al/St 240/40 4-bundle 380.0
way/66098469-1000,way/250540807-1000,1000.0,14410.66271897306,48197.77,Al/St 560/50 4-bundle 750.0
JP28-500,JP21-500,500.0,4468.691083527704,59451.97,Al/St 240/40 4-bundle 380.0
way/210090094-500,JP219-500,500.0,4468.691083527704,25902.0,Al/St 240/40 4-bundle 380.0
way/169963227-500,way/195615141-500,500.0,4468.691083527704,64567.72,Al/St 240/40 4-bundle 380.0
way/102958903-500,way/87538349-500,500.0,4468.691083527704,16621.08,Al/St 240/40 4-bundle 380.0
way/87538349-500,way/307942220-500,500.0,4468.691083527704,53209.09,Al/St 240/40 4-bundle 380.0
way/253566674-1000,way/250540807-1000,1000.0,14410.66271897306,234292.26,Al/St 560/50 4-bundle 750.0
way/104391636-500,way/132913106-500,500.0,4468.691083527704,164550.41,Al/St 240/40 4-bundle 380.0
way/104391636-500,way/106309481-500,500.0,4468.691083527704,41017.93,Al/St 240/40 4-bundle 380.0
way/104391636-500,way/106309481-500,500.0,4468.691083527704,41336.44,Al/St 240/40 4-bundle 380.0
way/253566674-500,way/104391636-500,500.0,4468.691083527704,31587.13,Al/St 240/40 4-bundle 380.0
way/104391636-500,way/168839127-500,500.0,4468.691083527704,107639.5,Al/St 240/40 4-bundle 380.0
way/168857610-500,way/104530060-500,500.0,4468.691083527704,10813.05,Al/St 240/40 4-bundle 380.0
way/315461272-500,way/105298089-500,500.0,4468.691083527704,93261.89,Al/St 240/40 4-bundle 380.0
JP23-500,way/104391636-500,500.0,4468.691083527704,37382.08,Al/St 240/40 4-bundle 380.0
way/109834508-500,way/109850439-500,500.0,4468.691083527704,27939.42,Al/St 240/40 4-bundle 380.0
relation/15580570-500,way/132913106-500,500.0,4468.691083527704,11961.46,Al/St 240/40 4-bundle 380.0
way/142662111-500,way/116559939-500,500.0,4468.691083527704,11764.52,Al/St 240/40 4-bundle 380.0
way/142662111-500,way/459476442-500,500.0,4468.691083527704,44101.34,Al/St 240/40 4-bundle 380.0
way/142662111-500,way/209429410-500,500.0,2234.345541763852,77287.91,Al/St 240/40 4-bundle 380.0
way/142662111-500,way/170850727-500,500.0,4468.691083527704,47862.59,Al/St 240/40 4-bundle 380.0
way/132913106-500,way/105298089-500,500.0,4468.691083527704,64354.36,Al/St 240/40 4-bundle 380.0
way/145079972-500,way/149843487-500,500.0,4468.691083527704,38050.45,Al/St 240/40 4-bundle 380.0
way/193544791-500,way/170974371-500,500.0,4468.691083527704,63563.68,Al/St 240/40 4-bundle 380.0
way/151379730-500,way/168727982-500,500.0,4468.691083527704,37044.64,Al/St 240/40 4-bundle 380.0
way/133641619-500,way/128581912-500,500.0,4468.691083527704,9342.29,Al/St 240/40 4-bundle 380.0
way/169359724-500,way/109834508-500,500.0,4468.691083527704,28260.05,Al/St 240/40 4-bundle 380.0
JP191-500,way/170589736-500,500.0,4468.691083527704,64312.76,Al/St 240/40 4-bundle 380.0
relation/15580570-500,relation/13768299-500,500.0,4468.691083527704,19568.24,Al/St 240/40 4-bundle 380.0
way/169031921-500,way/320438391-500,500.0,4468.691083527704,14779.74,Al/St 240/40 4-bundle 380.0
JP116-500,way/169031921-500,500.0,4468.691083527704,72925.15,Al/St 240/40 4-bundle 380.0
way/169031921-500,way/421647841-500,500.0,4468.691083527704,19855.06,Al/St 240/40 4-bundle 380.0
way/169031998-500,way/1038584990-500,500.0,4468.691083527704,44462.71,Al/St 240/40 4-bundle 380.0
way/170247312-500,way/169122898-500,500.0,4468.691083527704,24440.46,Al/St 240/40 4-bundle 380.0
