bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/104391636-500,way/104391636,500.0,f,Substation,f,way/104391636,140.72295560659705,37.14185093165294,JP,500.0,JP
way/161727149-500,way/161727149,500.0,f,Substation,f,way/161727149,135.71481347221845,34.734669337370775,JP,500.0,JP
way/168727982-500,way/168727982,500.0,f,Substation,f,way/168727982,140.06957983959583,35.781310478950395,JP,500.0,JP
way/170850727-500,way/170850727,500.0,f,Substation,f,way/170850727,137.2980978014822,35.21023368930344,JP,500.0,JP
way/172907196-500,way/172907196,500.0,f,Substation,f,way/172907196,132.92821331235666,33.79201549752927,JP,500.0,JP
way/174636874-500,way/174636874,500.0,f,Substation,f,way/174636874,141.17616155822515,39.90505248701556,JP,500.0,JP
way/187988970-500,way/187988970,500.0,f,Substation,f,way/187988970,130.80444891114544,33.80990574213944,JP,500.0,JP
way/193544791-500,way/193544791,500.0,f,Substation,f,way/193544791,132.25764638741936,34.41236393735509,JP,500.0,JP
way/195615141-500,way/195615141,500.0,f,Substation,f,way/195615141,138.93642749968816,36.03127739215827,JP,500.0,JP
way/215451416-500,way/215451416,500.0,f,Substation,f,way/215451416,130.65571883093563,31.957566960028267,JP,500.0,JP
way/317511904-500,way/317511904,500.0,f,Substation,f,way/317511904,133.11610242421423,35.470241157388045,JP,500.0,JP
relation/11529637-500,relation/11529637,500.0,f,Substation,f,relation/11529637,135.26635354845138,35.35109960698646,JP,500.0,JP
JP21-500,JP21,500.0,f,Substation,f,JP21,138.59820514421614,37.42533898554358,JP,500.0,JP
way/179863079-275,way/179863079,275.0,f,Substation,f,way/179863079,141.45121793661826,43.23426615981728,JP,275.0,JP
JP8-275,JP8,275.0,f,Substation,f,JP8,140.60642612495218,41.88804097161275,JP,275.0,JP
