line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
JP_line_1,JP21-500,way/170850727-500,JP21-500;way/170850727-500,500.0,8937.382167055408,67129.02,JP,
JP_line_2,way/195615141-500,JP21-500,JP21-500;way/195615141-500,1000.0,18879.35380250077,40586.6752293578,JP,
JP_line_3,JP8-275,way/174636874-500,JP8-275;way/174636874-500,500.0,4468.691083527704,55363.69,JP,
JP_line_4,way/179863079-275,JP8-275,JP8-275;way/179863079-275,275.0,1843.3350719551777,184086.73000000004,JP,
JP_line_5,relation/11529637-500,way/161727149-500,relation/11529637-500;way/161727149-500,500.0,31280.837584693927,67170.90785714285,JP,
JP_line_6,way/170850727-500,relation/11529637-500,relation/11529637-500;way/170850727-500,500.0,4468.691083527704,84880.95,JP,
JP_line_7,way/317511904-500,relation/11529637-500,relation/11529637-500;way/317511904-500,500.0,8937.382167055408,70617.88,JP,
JP_line_8,way/104391636-500,way/168727982-500,way/104391636-500;way/168727982-500,500.0,13406.073250583113,134352.19333333336,JP,
JP_line_9,way/104391636-500,way/174636874-500,way/104391636-500;way/174636874-500,500.0,4468.691083527704,42655.07,JP,
JP_line_10,way/104391636-500,way/195615141-500,way/104391636-500;way/195615141-500,1000.0,18879.35380250077,184186.0279266055,JP,
JP_line_11,way/161727149-500,way/170850727-500,way/161727149-500;way/170850727-500,500.0,4468.691083527704,22537.075,JP,
JP_line_12,way/172907196-500,way/161727149-500,way/161727149-500;way/172907196-500,500.0,4468.691083527704,36104.6,JP,
JP_line_13,way/195615141-500,way/168727982-500,way/168727982-500;way/195615141-500,500.0,13406.073250583113,56112.98666666667,JP,
JP_line_14,way/170850727-500,way/195615141-500,way/170850727-500;way/195615141-500,500.0,4468.691083527704,42844.42,JP,
JP_line_15,way/172907196-500,way/317511904-500,way/172907196-500;way/317511904-500,500.0,4468.691083527704,60626.68,JP,
JP_line_16,way/193544791-500,way/187988970-500,way/187988970-500;way/193544791-500,500.0,6703.036625291556,118573.89333333336,JP,
JP_line_17,way/215451416-500,way/187988970-500,way/187988970-500;way/215451416-500,500.0,6703.036625291556,71187.73,JP,
JP_line_18,way/193544791-500,way/317511904-500,way/193544791-500;way/317511904-500,500.0,8937.382167055408,144061.885,JP,
