GEM location ID,bus_id
L100000102912,relation/11529637-500
L100000102880,way/193544791-500
L100000102890,way/193544791-500
L100000102933,way/215451416-500
L100000102959,way/104391636-500
L100000102870,way/170850727-500
L100000102934,way/187988970-500
L100000102974,way/193544791-500
L100000102914,relation/11529637-500
L100000102961,way/104391636-500
L100000102921,way/168727982-500
L100000102922,way/168727982-500
L100000102935,way/215451416-500
L100000102948,way/174636874-500
L100000102924,way/168727982-500
L100000102871,JP21-500
L100000102952,way/161727149-500
L100000102882,way/193544791-500
L100000102963,way/174636874-500
L100000102936,way/187988970-500
L100000102964,way/104391636-500
L100000102937,way/215451416-500
L100000102915,relation/11529637-500
L100000102930,way/172907196-500
L100000102899,way/179863079-275
L100000102900,way/179863079-275
L100000102965,way/104391636-500
L100000102917,relation/11529637-500
L100000102938,way/187988970-500
L100000102939,way/187988970-500
L100000102940,way/187988970-500
L100000102872,way/170850727-500
L100000102941,way/187988970-500
L100000102883,way/193544791-500
L100000102884,way/172907196-500
L100000102885,way/172907196-500
L100000102873,way/170850727-500
L100000102874,way/170850727-500
L100000102902,way/179863079-275
L100000102967,way/104391636-500
L100000102875,JP21-500
L100000102886,way/193544791-500
L100000102953,way/172907196-500
L100000102950,way/215451416-500
L100000102910,way/174636874-500
L100000102903,way/179863079-275
L100000102954,way/172907196-500
L100000102942,way/187988970-500
L100000102925,way/168727982-500
L100000102887,way/193544791-500
L100000102888,way/193544791-500
L100000102898,way/193544791-500
L100000102944,way/215451416-500
L100000102955,way/172907196-500
L100000102969,way/174636874-500
L100000102956,way/161727149-500
L100000102889,way/187988970-500
L100000102970,way/104391636-500
L100000102947,way/170850727-500
L100000102928,way/168727982-500
L100000104889,way/168727982-500
L100000102897,way/168727982-500
L100000102905,way/179863079-275
L100000102876,way/195615141-500
L100000102918,relation/11529637-500
L100000102891,way/193544791-500
L100000102877,way/170850727-500
L100000102945,way/187988970-500
L100000102907,way/179863079-275
L100000102957,way/172907196-500
L100000102878,JP21-500
L100000102879,relation/11529637-500
L100000102932,way/215451416-500
L100000102929,way/168727982-500
L100000104537,way/187988970-500
L100000104538,way/193544791-500
L100000104556,way/187988970-500
