bus_id,grid_cell
way/195615141-500,JPN_191
way/172907196-500,JPN_119
way/172907196-500,JPN_119
way/172907196-500,wof-JPN_592
way/104391636-500,JPN_276
way/104391636-500,wof-JPN_1389
way/104391636-500,JPN_258
way/168727982-500,JPN_218
way/168727982-500,JPN_255
way/168727982-500,wof-JPN_1287
way/174636874-500,JPN_261
way/104391636-500,JPN_276
way/104391636-500,wof-JPN_1389
way/161727149-500,JPN_142
way/161727149-500,JPN_142
relation/11529637-500,JPN_137
way/170850727-500,JPN_172
way/195615141-500,JPN_200
way/168727982-500,JPN_217
way/195615141-500,JPN_200
way/195615141-500,JPN_199
way/170850727-500,JPN_172
way/195615141-500,JPN_199
way/195615141-500,JPN_198
way/195615141-500,wof-JPN_1180
way/195615141-500,JPN_189
way/195615141-500,JPN_198
way/168727982-500,JPN_235
way/168727982-500,wof-JPN_1286
way/104391636-500,JPN_276
way/161727149-500,JPN_143
way/161727149-500,JPN_143
way/170850727-500,JPN_157
way/168727982-500,JPN_235
way/168727982-500,wof-JPN_1287
way/168727982-500,JPN_237
way/168727982-500,JPN_218
way/161727149-500,JPN_143
way/161727149-500,JPN_142
way/170850727-500,JPN_165
way/170850727-500,JPN_159
way/170850727-500,JPN_159
way/161727149-500,JPN_143
way/195615141-500,JPN_191
way/170850727-500,JPN_164
way/170850727-500,JPN_157
way/170850727-500,JPN_156
way/170850727-500,JPN_150
way/161727149-500,JPN_150
relation/11529637-500,JPN_137
way/170850727-500,JPN_165
way/193544791-500,JPN_104
way/193544791-500,wof-JPN_502
way/172907196-500,JPN_111
way/172907196-500,wof-JPN_545
way/187988970-500,JPN_70
way/187988970-500,JPN_60
way/187988970-500,wof-JPN_323
way/172907196-500,JPN_103
way/172907196-500,wof-JPN_500
way/174636874-500,JPN_281
way/187988970-500,JPN_51
way/187988970-500,JPN_51
way/187988970-500,wof-JPN_291
way/187988970-500,JPN_71
way/170850727-500,JPN_157
way/193544791-500,JPN_97
way/195615141-500,JPN_190
way/187988970-500,JPN_70
way/187988970-500,JPN_83
way/170850727-500,JPN_179
way/195615141-500,JPN_180
way/170850727-500,JPN_177
way/168727982-500,JPN_235
way/168727982-500,wof-JPN_1235
way/215451416-500,JPN_67
way/215451416-500,wof-JPN_352
way/215451416-500,JPN_68
way/187988970-500,JPN_87
way/187988970-500,wof-JPN_421
way/215451416-500,JPN_78
way/215451416-500,JPN_78
way/215451416-500,wof-JPN_384
relation/11529637-500,JPN_132
way/317511904-500,JPN_126
relation/11529637-500,JPN_126
way/317511904-500,JPN_113
way/317511904-500,JPN_114
way/317511904-500,wof-JPN_547
way/172907196-500,JPN_119
way/172907196-500,wof-JPN_592
way/193544791-500,JPN_90
way/195615141-500,JPN_201
way/104391636-500,JPN_259
way/161727149-500,JPN_136
way/172907196-500,JPN_124
way/172907196-500,wof-JPN_691
way/195615141-500,JPN_200
way/168727982-500,JPN_215
way/168727982-500,wof-JPN_1235
way/168727982-500,JPN_234
way/168727982-500,wof-JPN_1286
way/170850727-500,JPN_152
way/195615141-500,JPN_174
way/193544791-500,JPN_91
way/193544791-500,wof-JPN_424
way/317511904-500,JPN_115
way/317511904-500,wof-JPN_547
way/161727149-500,JPN_137
way/187988970-500,JPN_69
way/161727149-500,JPN_144
way/170850727-500,JPN_177
way/195615141-500,JPN_200
way/104391636-500,JPN_261
way/174636874-500,JPN_283
way/174636874-500,wof-JPN_1393
way/161727149-500,JPN_129
way/161727149-500,wof-JPN_690
way/104391636-500,JPN_261
way/170850727-500,JPN_157
way/104391636-500,JPN_277
way/104391636-500,JPN_277
relation/11529637-500,JPN_151
relation/11529637-500,wof-JPN_816
way/170850727-500,JPN_167
JP8-275,JPN_284
JP8-275,wof-JPN_1394
way/104391636-500,JPN_220
way/172907196-500,JPN_95
way/172907196-500,wof-JPN_458
way/161727149-500,JPN_135
way/161727149-500,wof-JPN_739
way/161727149-500,JPN_142
way/161727149-500,wof-JPN_814
way/168727982-500,JPN_216
relation/11529637-500,JPN_145
relation/11529637-500,wof-JPN_815
relation/11529637-500,JPN_138
relation/11529637-500,wof-JPN_741
way/168727982-500,JPN_217
way/168727982-500,JPN_217
JP21-500,JPN_160
JP21-500,wof-JPN_908
JP21-500,JPN_193
JP21-500,wof-JPN_1070
JP21-500,JPN_192
way/195615141-500,JPN_191
JP21-500,JPN_192
way/104391636-500,JPN_259
way/195615141-500,JPN_201
way/104391636-500,JPN_275
way/104391636-500,wof-JPN_1389
way/195615141-500,JPN_189
way/161727149-500,JPN_143
relation/11529637-500,JPN_145
relation/11529637-500,wof-JPN_778
way/161727149-500,JPN_150
way/170850727-500,JPN_150
relation/11529637-500,JPN_151
relation/11529637-500,wof-JPN_815
relation/11529637-500,JPN_137
way/317511904-500,JPN_107
way/317511904-500,wof-JPN_547
way/168727982-500,JPN_234
way/168727982-500,wof-JPN_1286
way/187988970-500,JPN_51
way/104391636-500,JPN_260
way/187988970-500,JPN_51
way/187988970-500,wof-JPN_291
