GEM location ID,bus_id
L100000500368,way/659874569-220
L100000200019,way/86402221-220
L100000200007,KE2-220
L100000408156,KE11-220
L100000408155,KE11-220
L100000408163,KE10-220
L100000408162,KE15-220
L100000408160,KE15-220
L100000408159,way/1115312336-220
L100000408158,way/953567827-220
L100000408157,KE9-220
L100000900033,way/180021151-220
L100000900034,way/563813243-400
L100000900071,KE12-400
L100000900073,way/578140339-220
L100000900077,way/660091166-220
L100000900085,way/563813243-400
L100000900098,way/669520367-220
L100000900100,KE15-220
L100000900141,way/180021151-220
L100000900142,way/578140339-220
L100000900143,way/180021151-220
L100000921996,way/563813243-400
L100001018423,way/563813243-400
L100001018425,way/563813243-400
L100001018431,way/563813243-400
L100001018433,KE1-220
L100000800076,KE4-220
L100000800119,way/669520367-220
L100001016792,way/669520367-220
L100000827649,way/669520367-220
L100001018414,way/220540545-220
L100000800166,KE4-220
L100000800173,way/1115312336-220
L100000800204,way/953567827-220
L100000800253,KE9-220
L100000800270,KE4-220
L100000800290,way/220540545-220
L100000800346,relation/14923640-220
L100000800223,KE3-220
L100000700002,way/457973270-400
L100000700009,KE4-220
L100001043006,way/579310367-220
L100001043008,way/457973270-400
L100001004453,way/669510376-220
L100001043005,KE4-220
L100001004450,way/846713577-220
L100000700103,way/457973270-400
L100000700104,way/457973270-400
L100000700105,way/457973270-400
L100000700130,KE7-220
L100000700131,way/457973270-400
L100000700132,KE7-220
L100000700133,way/669510376-220
L100000700134,way/669510376-220
L100000700218,way/457973270-400
L100001025962,way/457973270-400
L100001043004,KE1-220
L100000700161,way/457973270-400
L100000700167,way/569997185-400
L100001025960,way/457973270-220
L100001025639,KE4-220
L100000602331,KE6-220
L100000602332,way/669520367-220
L100000602333,way/220540545-220
L100001025640,KE6-220
L100000602334,way/669520367-220
L100001023115,KE6-220
L100000604271,way/1115312336-220
L100000602335,KE12-400
L100001023116,way/1115312336-220
L100000602336,way/579310367-220
