line_id,bus0,bus1,type,voltage,s_nom,length,geometry
KE_line_2,KE14-400,way/578140339-400,KE14-400;way/578140339-400,400.0,3574.952866822164,199349.66,
KE_line_1,way/578140339-400,KE15-220,KE15-220;way/578140339-400,400.0,3574.952866822164,394295.44,
KE_line_3,KE15-220,way/659874569-220,KE15-220;way/659874569-220,220.0,491.5560191880474,100472.87,
KE_line_4,way/669520367-220,KE15-220,KE15-220;way/669520367-220,220.0,491.5560191880474,407015.5,
KE_line_5,way/1115312336-220,relation/14923640-220,relation/14923640-220;way/1115312336-220,220.0,983.1120383760948,75192.03,
KE_line_6,relation/14923640-220,way/457973270-220,relation/14923640-220;way/457973270-220,400.0,3574.952866822164,225547.47,
KE_line_7,relation/14923640-220,way/579310367-220,relation/14923640-220;way/579310367-220,220.0,983.1120383760948,136608.94,
KE_line_10,way/457973270-220,way/86402221-220,way/457973270-220;way/86402221-220,220.0,983.1120383760948,45666.55,
KE_line_9,way/569997185-400,way/563813243-400,way/563813243-400;way/569997185-400,400.0,3574.952866822164,416087.66,
KE_line_11,way/569997185-400,way/578140339-400,way/569997185-400;way/578140339-400,400.0,3574.952866822164,94700.73,
KE_line_12,way/578140339-400,way/86402221-220,way/578140339-400;way/86402221-220,220.0,983.1120383760948,44264.45,
KE_line_8,way/669520367-220,way/86402221-220,way/669520367-220;way/86402221-220,220.0,983.1120383760948,120427.5,
