GEM location ID,bus_id
L100000200007,way/1115312336-220
L100000200019,way/86402221-220
L100000408157,way/86402221-220
L100000408158,KE15-220
L100000408159,way/1115312336-220
L100000408160,KE15-220
L100000408162,KE15-220
L100000408163,way/86402221-220
L100000408155,way/86402221-220
L100000408156,way/86402221-220
L100000500368,KE15-220
L100000602331,way/669520367-220
L100000602333,way/669520367-220
L100000602334,way/669520367-220
L100000602336,way/579310367-220
L100000602332,way/669520367-220
L100000604271,way/1115312336-220
L100000602335,way/578140339-400
L100000700002,way/457973270-220
L100000700009,relation/14923640-220
L100000700103,way/457973270-220
L100000700104,way/457973270-220
L100000700105,way/457973270-220
L100000700130,way/457973270-220
L100000700131,way/457973270-220
L100000700132,way/457973270-220
L100000700133,way/457973270-220
L100000700134,way/457973270-220
L100000700161,way/457973270-220
L100000700167,way/569997185-400
L100000700218,way/457973270-220
L100000800076,relation/14923640-220
L100000800119,way/669520367-220
L100000800166,relation/14923640-220
L100000800173,way/1115312336-220
L100000800204,KE15-220
L100000800223,way/1115312336-220
L100000800253,way/86402221-220
L100000800270,relation/14923640-220
L100000800290,way/669520367-220
L100000800346,relation/14923640-220
L100000827649,way/669520367-220
L100000900033,way/86402221-220
L100000900034,way/563813243-400
L100000900071,way/578140339-400
L100000900073,way/578140339-400
L100000900077,way/659874569-220
L100000900085,way/563813243-400
L100000900098,way/669520367-220
L100000900100,KE15-220
L100000900141,way/86402221-220
L100000900142,way/578140339-400
L100000900143,way/86402221-220
L100000921996,way/563813243-400
L100001004450,way/457973270-220
L100001004453,way/457973270-220
L100001016792,way/669520367-220
L100001018414,way/669520367-220
L100001018423,way/563813243-400
L100001018425,way/563813243-400
L100001018431,way/563813243-400
L100001018433,way/579310367-220
L100001023115,way/669520367-220
L100001023116,way/1115312336-220
L100001025639,relation/14923640-220
L100001025640,way/669520367-220
L100001025960,way/457973270-220
L100001025962,way/457973270-220
L100001043004,way/579310367-220
L100001043005,relation/14923640-220
L100001043006,way/579310367-220
L100001043008,way/457973270-220
L100001047329,way/1115312336-220
L100001047330,way/1115312336-220
L100001048131,way/1115312336-220
