bus_id,grid_cell
way/86402221-220,KEN_94
way/86402221-220,KEN_76
way/669520367-220,KEN_114
way/579310367-220,KEN_33
way/457973270-220,KEN_60
way/563813243-400,KEN_102
way/569997185-400,KEN_76
way/457973270-220,KEN_76
way/578140339-400,KEN_93
way/578140339-400,KEN_93
way/659874569-220,KEN_221
way/659874569-220,KEN_238
way/659874569-220,wof-KEN_16
way/86402221-220,KEN_94
way/457973270-220,KEN_77
way/457973270-220,KEN_60
way/669520367-220,KEN_133
relation/14923640-220,KEN_31
KE15-220,KEN_183
KE15-220,KEN_219
KE15-220,wof-KEN_8
way/1115312336-220,KEN_14
KE15-220,KEN_183
relation/14923640-220,KEN_29
way/457973270-220,KEN_60
way/578140339-400,KEN_93
way/1115312336-220,KEN_4
way/579310367-220,KEN_32
way/457973270-220,KEN_60
way/86402221-220,KEN_94
relation/14923640-220,KEN_29
KE14-400,
relation/14923640-220,KEN_30
way/86402221-220,KEN_94
KE15-220,KEN_201
KE15-220,wof-KEN_3
way/669520367-220,KEN_133
way/86402221-220,KEN_93
way/1115312336-220,KEN_15
way/457973270-220,KEN_60
relation/14923640-220,KEN_30
way/578140339-400,KEN_75
way/1115312336-220,KEN_0
way/1115312336-220,KEN_1
way/1115312336-220,KEN_2
way/1115312336-220,KEN_3
way/1115312336-220,KEN_5
way/579310367-220,KEN_6
way/579310367-220,KEN_7
way/579310367-220,KEN_8
way/579310367-220,KEN_9
way/1115312336-220,KEN_10
way/1115312336-220,KEN_11
way/1115312336-220,KEN_12
way/1115312336-220,KEN_13
relation/14923640-220,KEN_16
relation/14923640-220,KEN_17
way/579310367-220,KEN_18
way/579310367-220,KEN_19
way/579310367-220,KEN_20
way/579310367-220,KEN_21
way/579310367-220,KEN_22
way/579310367-220,KEN_23
way/579310367-220,KEN_24
way/457973270-220,KEN_25
way/457973270-220,KEN_26
way/1115312336-220,KEN_27
way/1115312336-220,KEN_28
way/579310367-220,KEN_34
way/579310367-220,KEN_35
