bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
way/95436126-225,way/95436126,225.0,f,Substation,f,way/95436126,-5.622926210428234,33.875730302927685,MA,225.0
way/97706499-225,way/97706499,225.0,f,Substation,f,way/97706499,-8.716677446565598,31.56336956045832,MA,225.0
way/131408509-225,way/131408509,225.0,f,Substation,f,way/131408509,-8.51071888742412,33.100331642757745,MA,225.0
way/131902940-225,way/131902940,225.0,f,Substation,f,way/131902940,-7.500356218924816,33.54235074719578,MA,225.0
way/143681023-225,way/143681023,225.0,f,Substation,f,way/143681023,-13.169841115768362,27.182389462225213,MA,225.0
way/143752299-400,way/143752299,400.0,f,Substation,f,way/143752299,-2.371909414588262,34.5854584550747,MA,400.0
way/163471767-225,way/163471767,225.0,f,Substation,f,way/163471767,-4.780603732200266,33.98565297820465,MA,225.0
way/200906153-225,way/200906153,225.0,f,Substation,f,way/200906153,-7.343702725969797,31.696666919687537,MA,225.0
way/200913450-225,way/200913450,225.0,f,Substation,f,way/200913450,-8.963101774879778,30.45312251611647,MA,225.0
way/207997682-225,way/207997682,225.0,f,Substation,f,way/207997682,-6.583608061500873,32.22232846389374,MA,225.0
way/250862291-225,way/250862291,225.0,f,Substation,f,way/250862291,-5.671651160313569,32.92195824395001,MA,225.0
way/377048422-225,way/377048422,225.0,f,Substation,f,way/377048422,-6.844692050025815,31.04069145237324,MA,225.0
way/93147473-225,way/93147473,225.0,f,Substation,f,way/93147473,-5.660948316939136,35.64653351818912,MA,225.0
MA95-225,MA95,225.0,f,Substation,f,MA95,-12.0368551,28.086291374722755,MA,225.0
MA107-225,MA107,225.0,f,Substation,f,MA107,-15.033315199999992,24.34679397240637,MA,225.0
