line_id,bus0,bus1,type,voltage,s_nom,length,geometry
MA_line_1,way/143681023-225,MA107-225,MA107-225;way/143681023-225,225.0,1005.4554937937334,42099.78,
MA_line_2,way/143681023-225,MA95-225,MA95-225;way/143681023-225,400.0,4077.680613719031,233553.6376712329,
MA_line_3,MA95-225,way/200913450-225,MA95-225;way/200913450-225,400.0,4077.680613719031,197213.36863013697,
MA_line_4,way/131408509-225,way/131902940-225,way/131408509-225;way/131902940-225,400.0,6591.319348203365,128593.88508474577,
MA_line_5,way/131408509-225,way/200906153-225,way/131408509-225;way/200906153-225,225.0,1005.4554937937334,43424.54,
MA_line_6,way/131408509-225,way/97706499-225,way/131408509-225;way/97706499-225,400.0,5083.136107512764,122094.65802197802,
MA_line_8,way/131902940-225,way/207997682-225,way/131902940-225;way/207997682-225,225.0,1508.1832406906,44069.36333333333,
MA_line_23,way/131902940-225,way/93147473-225,way/131902940-225;way/93147473-225,225.0,502.7277468968667,136846.71,
MA_line_9,way/131902940-225,way/95436126-225,way/131902940-225;way/95436126-225,400.0,3574.952866822164,210314.4,
MA_line_10,way/163471767-225,way/143752299-400,way/143752299-400;way/163471767-225,225.0,502.7277468968667,100656.2,
MA_line_13,way/95436126-225,way/143752299-400,way/143752299-400;way/95436126-225,400.0,1787.4764334110816,327951.29,
MA_line_14,way/93147473-225,way/163471767-225,way/163471767-225;way/93147473-225,225.0,502.7277468968667,82175.27,
MA_line_15,way/163471767-225,way/95436126-225,way/163471767-225;way/95436126-225,225.0,1508.1832406906,79748.35,
MA_line_16,way/200906153-225,way/207997682-225,way/200906153-225;way/207997682-225,225.0,1508.1832406906,67476.44,
MA_line_17,way/200906153-225,way/377048422-225,way/200906153-225;way/377048422-225,225.0,1005.4554937937334,108020.64500000002,
MA_line_18,way/97706499-225,way/200906153-225,way/200906153-225;way/97706499-225,225.0,1005.4554937937334,3419.45,
MA_line_19,way/97706499-225,way/200913450-225,way/200913450-225;way/97706499-225,400.0,5585.863854409631,175314.862,
MA_line_20,way/207997682-225,way/250862291-225,way/207997682-225;way/250862291-225,225.0,1005.4554937937334,83525.12499999999,
MA_line_21,way/377048422-225,way/207997682-225,way/207997682-225;way/377048422-225,225.0,502.7277468968667,149444.89,
MA_line_22,way/95436126-225,way/250862291-225,way/250862291-225;way/95436126-225,225.0,502.7277468968667,119820.65,
MA_line_25,way/93147473-225,way/95436126-225,way/93147473-225;way/95436126-225,400.0,3574.952866822164,183633.88,
