GEM location ID,bus_id
L100000103057,way/143752299-400
L100000103054,way/131408509-225
L100000103056,way/131902940-225
L100000103053,way/97706499-225
L100000406964,way/93147473-225
L100000406965,way/131408509-225
L100000406163,way/93147473-225
L100000406161,way/143752299-400
L100000408224,way/131902940-225
L100000408225,MA95-225
L100000408223,way/131902940-225
L100000408923,way/163471767-225
L100000602497,way/200913450-225
L100000602498,way/207997682-225
L100000602499,way/250862291-225
L100000602500,way/207997682-225
L100000602501,way/200906153-225
L100000602502,way/163471767-225
L100000602503,way/163471767-225
L100000602504,way/207997682-225
L100000602505,way/163471767-225
L100000602506,way/93147473-225
L100000604256,way/250862291-225
L100000604404,way/250862291-225
L100000604405,way/250862291-225
L100000800001,way/200913450-225
L100000800011,way/143752299-400
L100000800033,way/207997682-225
L100000800099,way/95436126-225
L100000800126,way/93147473-225
L100000800238,way/250862291-225
L100000800242,way/200913450-225
L100000800243,way/250862291-225
L100000800244,way/377048422-225
L100000800246,way/250862291-225
L100000800247,way/250862291-225
L100000800248,way/377048422-225
L100000800297,way/131408509-225
L100000800321,way/200913450-225
L100000800331,way/200913450-225
L100000811621,way/200906153-225
L100000811622,way/93147473-225
L100000811623,way/143752299-400
L100000811624,way/143752299-400
L100000811625,way/143752299-400
L100000827678,way/207997682-225
L100000827679,MA95-225
L100000827680,MA95-225
L100000827681,way/250862291-225
L100000827682,way/250862291-225
L100000827683,way/200906153-225
L100000827684,way/200906153-225
L100000827685,way/131902940-225
L100000827686,way/131902940-225
L100000900023,way/377048422-225
L100000900047,way/93147473-225
L100000900051,way/97706499-225
L100000900056,way/93147473-225
L100000900063,way/93147473-225
L100000900087,way/200906153-225
L100000900089,way/200906153-225
L100000900101,MA95-225
L100000900106,way/200906153-225
L100000900107,way/93147473-225
L100000900108,way/93147473-225
L100000900145,way/93147473-225
L100000900146,way/93147473-225
L100000900147,way/250862291-225
L100000900148,way/163471767-225
L100000916623,way/200913450-225
L100000916624,way/200913450-225
L100000922002,way/250862291-225
L100000922003,MA95-225
L100000922004,MA95-225
L100000922005,way/250862291-225
L100001016803,MA107-225
L100001016805,way/207997682-225
L100001016806,way/207997682-225
L100001020871,way/131902940-225
L100001020872,way/200913450-225
L100001020873,way/250862291-225
L100001020874,way/143752299-400
L100001020875,way/97706499-225
L100001020876,way/97706499-225
L100001020877,way/131902940-225
L100001020878,way/131408509-225
L100001020879,way/95436126-225
L100001023128,way/200906153-225
L100001048116,way/143752299-400
L100001048122,way/131902940-225
L100001048123,way/131902940-225
