bus_id,grid_cell
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/97706499-225,MAR_58
way/95436126-225,MAR_123
way/97706499-225,MAR_47
way/200906153-225,MAR_70
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_96
way/131902940-225,MAR_84
way/131902940-225,wof-MAR_129
way/131902940-225,MAR_84
way/131902940-225,wof-MAR_129
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_82
way/131408509-225,MAR_70
way/131408509-225,MAR_49
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/143681023-225,
way/163471767-225,MAR_137
way/163471767-225,MAR_139
way/143752299-400,MAR_200
way/143752299-400,MAR_192
way/143752299-400,MAR_192
way/163471767-225,MAR_162
way/131902940-225,MAR_71
way/200913450-225,MAR_21
way/200913450-225,wof-MAR_90
way/163471767-225,MAR_150
way/93147473-225,MAR_126
way/163471767-225,MAR_164
way/163471767-225,wof-MAR_147
way/143752299-400,MAR_184
way/143752299-400,wof-MAR_151
way/93147473-225,MAR_111
way/93147473-225,wof-MAR_140
way/95436126-225,MAR_124
way/95436126-225,MAR_124
way/200913450-225,MAR_22
way/200913450-225,wof-MAR_91
way/200913450-225,MAR_32
way/200906153-225,MAR_68
way/200913450-225,MAR_33
way/200913450-225,MAR_22
way/200913450-225,wof-MAR_91
way/131902940-225,MAR_73
way/131902940-225,wof-MAR_123
way/207997682-225,MAR_93
way/207997682-225,MAR_92
way/200906153-225,MAR_59
way/143752299-400,MAR_199
way/97706499-225,MAR_48
way/97706499-225,MAR_48
way/250862291-225,MAR_148
way/250862291-225,MAR_146
way/207997682-225,MAR_92
way/377048422-225,MAR_90
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/250862291-225,MAR_121
way/200906153-225,MAR_58
way/207997682-225,MAR_105
way/200906153-225,MAR_79
way/200906153-225,MAR_80
way/131902940-225,MAR_97
way/131902940-225,wof-MAR_135
way/93147473-225,MAR_112
way/93147473-225,wof-MAR_141
way/207997682-225,MAR_82
way/97706499-225,MAR_37
way/200906153-225,MAR_69
way/377048422-225,MAR_78
MA95-225,MAR_1
MA95-225,wof-MAR_15
way/200906153-225,MAR_58
way/143752299-400,MAR_192
way/200913450-225,MAR_32
way/200913450-225,MAR_32
MA95-225,MAR_5
MA95-225,wof-MAR_46
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/143681023-225,
way/143681023-225,
way/207997682-225,MAR_118
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/143752299-400,MAR_199
way/377048422-225,MAR_78
way/143681023-225,MAR_0
way/143681023-225,wof-MAR_4
MA107-225,
way/97706499-225,MAR_25
way/97706499-225,wof-MAR_94
way/163471767-225,MAR_137
MA95-225,MAR_5
MA95-225,wof-MAR_46
way/143752299-400,MAR_199
MA107-225,
way/200913450-225,MAR_32
way/207997682-225,MAR_81
way/93147473-225,MAR_112
way/93147473-225,wof-MAR_141
way/93147473-225,MAR_112
way/93147473-225,wof-MAR_141
way/250862291-225,MAR_148
way/143681023-225,
way/143681023-225,
way/97706499-225,MAR_25
way/97706499-225,wof-MAR_94
way/377048422-225,MAR_89
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/377048422-225,MAR_78
way/377048422-225,MAR_78
way/97706499-225,MAR_58
way/200913450-225,MAR_33
MA107-225,
MA95-225,MAR_1
MA95-225,wof-MAR_15
way/97706499-225,MAR_47
way/97706499-225,MAR_58
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/131902940-225,MAR_84
way/131902940-225,wof-MAR_129
way/131902940-225,MAR_73
way/131902940-225,wof-MAR_124
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_82
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/97706499-225,MAR_58
way/97706499-225,MAR_58
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/95436126-225,MAR_123
way/143681023-225,
way/143752299-400,MAR_200
way/131902940-225,MAR_82
way/131902940-225,MAR_71
way/131902940-225,MAR_71
way/131902940-225,MAR_71
way/163471767-225,MAR_151
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131902940-225,MAR_73
way/131902940-225,wof-MAR_124
way/200913450-225,MAR_33
way/97706499-225,MAR_47
way/200906153-225,MAR_58
way/200913450-225,MAR_32
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/250862291-225,MAR_148
way/207997682-225,MAR_93
way/200906153-225,MAR_69
way/207997682-225,MAR_94
way/95436126-225,MAR_123
way/131902940-225,MAR_61
way/97706499-225,MAR_58
way/207997682-225,MAR_82
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/143681023-225,
way/200913450-225,MAR_22
way/200913450-225,wof-MAR_91
way/200913450-225,MAR_32
way/143681023-225,
way/131408509-225,MAR_50
way/131408509-225,wof-MAR_111
way/163471767-225,MAR_164
way/163471767-225,wof-MAR_147
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131902940-225,MAR_97
way/131902940-225,wof-MAR_135
way/377048422-225,MAR_78
way/143681023-225,
way/200913450-225,MAR_21
way/200913450-225,wof-MAR_90
MA107-225,
MA107-225,
way/143681023-225,
way/143681023-225,
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
MA107-225,
way/207997682-225,MAR_81
way/143681023-225,
way/143681023-225,
way/143681023-225,
way/250862291-225,MAR_105
way/131902940-225,MAR_96
way/131902940-225,MAR_96
way/131902940-225,MAR_96
way/131902940-225,MAR_96
way/131902940-225,MAR_96
way/143752299-400,MAR_192
way/250862291-225,MAR_148
way/131902940-225,MAR_96
way/143752299-400,MAR_184
way/143752299-400,wof-MAR_151
way/200906153-225,MAR_58
way/131902940-225,MAR_73
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/97706499-225,MAR_35
way/97706499-225,MAR_25
way/97706499-225,wof-MAR_93
way/97706499-225,MAR_36
way/200913450-225,MAR_33
way/200913450-225,MAR_33
way/93147473-225,
way/143752299-400,MAR_200
way/143752299-400,MAR_192
way/143752299-400,MAR_192
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/200913450-225,MAR_13
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/93147473-225,MAR_127
way/93147473-225,wof-MAR_142
way/131902940-225,MAR_97
way/131902940-225,wof-MAR_135
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/131902940-225,MAR_82
way/131902940-225,MAR_72
way/131902940-225,wof-MAR_123
way/200906153-225,MAR_58
way/163471767-225,MAR_150
way/97706499-225,MAR_36
way/143752299-400,MAR_173
way/131902940-225,MAR_96
way/377048422-225,MAR_78
way/143752299-400,
way/143752299-400,MAR_201
way/143752299-400,wof-MAR_155
way/143752299-400,MAR_208
way/143752299-400,MAR_184
way/143752299-400,wof-MAR_151
MA95-225,MAR_2
MA95-225,MAR_3
MA95-225,MAR_4
MA95-225,MAR_6
MA95-225,MAR_7
MA95-225,MAR_8
MA95-225,MAR_9
way/200913450-225,MAR_10
way/200913450-225,MAR_11
way/200913450-225,MAR_12
way/200913450-225,MAR_14
way/200913450-225,MAR_15
way/200913450-225,MAR_17
way/200913450-225,MAR_18
way/200913450-225,MAR_19
way/200913450-225,MAR_20
way/200913450-225,MAR_23
way/97706499-225,MAR_24
way/97706499-225,MAR_26
way/200913450-225,MAR_27
way/200913450-225,MAR_28
way/200913450-225,MAR_29
way/200913450-225,MAR_30
way/200913450-225,MAR_31
way/200913450-225,MAR_34
way/131408509-225,MAR_38
way/200913450-225,MAR_39
way/200913450-225,MAR_40
way/200913450-225,MAR_41
way/200913450-225,MAR_42
way/200913450-225,MAR_43
way/200913450-225,MAR_44
way/200913450-225,MAR_45
way/97706499-225,MAR_46
way/131408509-225,MAR_51
way/200913450-225,MAR_52
way/200913450-225,MAR_53
way/200913450-225,MAR_54
way/200913450-225,MAR_55
way/97706499-225,MAR_56
way/97706499-225,MAR_57
way/200906153-225,MAR_60
way/131902940-225,MAR_62
way/200913450-225,MAR_63
way/377048422-225,MAR_64
way/377048422-225,MAR_65
way/377048422-225,MAR_66
way/97706499-225,MAR_67
way/377048422-225,MAR_74
way/377048422-225,MAR_75
way/377048422-225,MAR_76
way/377048422-225,MAR_77
way/131902940-225,MAR_83
way/377048422-225,MAR_86
way/377048422-225,MAR_87
way/377048422-225,MAR_88
way/200906153-225,MAR_91
way/131902940-225,MAR_95
way/131902940-225,MAR_98
way/377048422-225,MAR_99
way/377048422-225,MAR_100
way/377048422-225,MAR_101
way/207997682-225,MAR_102
way/207997682-225,MAR_103
way/207997682-225,MAR_104
way/250862291-225,MAR_106
way/250862291-225,MAR_107
way/95436126-225,MAR_108
way/131902940-225,MAR_109
way/93147473-225,MAR_110
way/377048422-225,MAR_113
way/377048422-225,MAR_114
way/377048422-225,MAR_115
way/207997682-225,MAR_116
way/207997682-225,MAR_117
way/207997682-225,MAR_119
way/250862291-225,MAR_120
way/250862291-225,MAR_122
way/163471767-225,MAR_125
way/377048422-225,MAR_128
way/207997682-225,MAR_129
way/207997682-225,MAR_130
way/207997682-225,MAR_131
way/207997682-225,MAR_132
way/250862291-225,MAR_133
way/250862291-225,MAR_134
way/250862291-225,MAR_135
way/163471767-225,MAR_136
way/163471767-225,MAR_138
way/93147473-225,MAR_140
way/93147473-225,MAR_141
way/207997682-225,MAR_142
way/250862291-225,MAR_143
way/250862291-225,MAR_144
way/250862291-225,MAR_145
way/250862291-225,MAR_147
way/250862291-225,MAR_149
way/163471767-225,MAR_152
way/163471767-225,MAR_153
way/250862291-225,MAR_154
way/250862291-225,MAR_155
way/250862291-225,MAR_156
way/250862291-225,MAR_157
way/250862291-225,MAR_158
way/250862291-225,MAR_159
way/250862291-225,MAR_160
way/163471767-225,MAR_161
way/163471767-225,MAR_163
way/250862291-225,MAR_165
way/250862291-225,MAR_166
way/250862291-225,MAR_167
way/250862291-225,MAR_168
way/250862291-225,MAR_169
way/250862291-225,MAR_170
way/143752299-400,MAR_171
way/143752299-400,MAR_172
way/163471767-225,MAR_174
way/163471767-225,MAR_175
way/250862291-225,MAR_176
way/250862291-225,MAR_177
way/250862291-225,MAR_178
way/143752299-400,MAR_179
way/143752299-400,MAR_180
way/143752299-400,MAR_181
way/143752299-400,MAR_182
way/143752299-400,MAR_183
way/143752299-400,MAR_185
way/250862291-225,MAR_186
way/143752299-400,MAR_187
way/143752299-400,MAR_188
way/143752299-400,MAR_189
way/143752299-400,MAR_190
way/143752299-400,MAR_191
way/143752299-400,MAR_193
way/143752299-400,MAR_194
way/143752299-400,MAR_195
way/143752299-400,MAR_196
way/143752299-400,MAR_197
way/143752299-400,MAR_198
way/143752299-400,MAR_202
way/143752299-400,MAR_203
way/143752299-400,MAR_204
way/143752299-400,MAR_205
way/143752299-400,MAR_206
way/143752299-400,MAR_207
way/143681023-225,wof-MAR_0
way/143681023-225,wof-MAR_1
way/143681023-225,wof-MAR_5
MA95-225,wof-MAR_6
MA95-225,wof-MAR_16
MA95-225,wof-MAR_17
MA95-225,wof-MAR_18
MA95-225,wof-MAR_31
MA95-225,wof-MAR_32
MA95-225,wof-MAR_33
MA95-225,wof-MAR_47
MA95-225,wof-MAR_48
MA95-225,wof-MAR_61
way/200913450-225,wof-MAR_62
way/200913450-225,wof-MAR_63
way/97706499-225,wof-MAR_65
way/97706499-225,wof-MAR_66
way/97706499-225,wof-MAR_67
way/200913450-225,wof-MAR_76
way/200913450-225,wof-MAR_77
way/200913450-225,wof-MAR_78
way/200913450-225,wof-MAR_79
way/97706499-225,wof-MAR_80
way/97706499-225,wof-MAR_81
way/97706499-225,wof-MAR_82
way/97706499-225,wof-MAR_83
way/200913450-225,wof-MAR_92
way/97706499-225,wof-MAR_95
way/97706499-225,wof-MAR_96
way/97706499-225,wof-MAR_97
way/131408509-225,wof-MAR_98
way/97706499-225,wof-MAR_104
way/131408509-225,wof-MAR_105
way/131408509-225,wof-MAR_106
way/131408509-225,wof-MAR_107
way/131408509-225,wof-MAR_112
way/131408509-225,wof-MAR_113
way/131902940-225,wof-MAR_117
way/131902940-225,wof-MAR_118
way/131902940-225,wof-MAR_119
way/131902940-225,wof-MAR_125
way/93147473-225,wof-MAR_128
way/131902940-225,wof-MAR_130
way/131902940-225,wof-MAR_131
way/93147473-225,wof-MAR_132
way/93147473-225,wof-MAR_133
way/131902940-225,wof-MAR_136
way/93147473-225,wof-MAR_137
way/93147473-225,wof-MAR_138
way/93147473-225,wof-MAR_139
way/93147473-225,wof-MAR_143
way/93147473-225,wof-MAR_144
way/163471767-225,wof-MAR_145
