bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/31875861-400,way/31875861,400.0,f,Substation,f,way/31875861,-98.2421883273628,19.12175167796987,MX
way/33068038-400,way/33068038,400.0,f,Substation,f,way/33068038,-98.13792263696575,19.08205107548935,MX
way/97173246-400,way/97173246,400.0,f,Substation,f,way/97173246,-98.42063421614218,19.302472113440203,MX
way/97343927-400,way/97343927,400.0,f,Substation,f,way/97343927,-97.77481755981448,18.94572792782456,MX
way/97343932-400,way/97343932,400.0,f,Substation,f,way/97343932,-97.97688825869318,18.84790122095861,MX
way/98844053-400,way/98844053,400.0,f,Substation,f,way/98844053,-99.15985279972908,19.157668726344955,MX
way/100657593-400,way/100657593,400.0,f,Substation,f,way/100657593,-99.5475099775449,27.362677447943348,MX
way/101027471-400,way/101027471,400.0,f,Substation,f,way/101027471,-100.70015583096898,28.46549725757033,MX
way/101027476-400,way/101027476,400.0,f,Substation,f,way/101027476,-100.69257342056171,28.483852332146487,MX
way/106577809-400,way/106577809,400.0,f,Substation,f,way/106577809,-98.95653407735782,19.346828916455205,MX
way/107621341-400,way/107621341,400.0,f,Substation,f,way/107621341,-98.84056522090546,19.54510380429509,MX
way/108229999-400,way/108229999,400.0,f,Substation,f,way/108229999,-98.86682981433104,19.663920145100537,MX
way/108297252-400,way/108297252,400.0,f,Substation,f,way/108297252,-99.18785585931774,19.636873212612795,MX
way/108298346-400,way/108298346,400.0,f,Substation,f,way/108298346,-99.06137704268,19.36482870505812,MX
way/108456470-400,way/108456470,400.0,f,Substation,f,way/108456470,-98.9977390529254,18.84770274233548,MX
way/109581677-400,way/109581677,400.0,f,Substation,f,way/109581677,-97.50418412933566,20.509424934046727,MX
way/109684120-400,way/109684120,400.0,f,Substation,f,way/109684120,-101.90166445207262,18.27883786689637,MX
way/112525248-400,way/112525248,400.0,f,Substation,f,way/112525248,-97.04808113706495,18.89179150722434,MX
way/113005835-400,way/113005835,400.0,f,Substation,f,way/113005835,-96.39089536731952,18.2543949528572,MX
way/113005841-400,way/113005841,400.0,f,Substation,f,way/113005841,-96.35350752008112,18.218026746486814,MX
way/113005842-400,way/113005842,400.0,f,Substation,f,way/113005842,-97.24617544060644,20.84123842095892,MX
way/119378437-400,way/119378437,400.0,f,Substation,f,way/119378437,-107.50727611163724,24.697909087133286,MX
way/120139199-400,way/120139199,400.0,f,Substation,f,way/120139199,-104.6026649293502,21.394799546396406,MX
way/120140368-400,way/120140368,400.0,f,Substation,f,way/120140368,-103.50309295705593,20.788856259925296,MX
way/120195768-400,way/120195768,400.0,f,Substation,f,way/120195768,-102.22039247169602,21.762806099198688,MX
way/120197852-400,way/120197852,400.0,f,Substation,f,way/120197852,-101.79083706675856,20.964231623160583,MX
way/120212304-400,way/120212304,400.0,f,Substation,f,way/120212304,-102.24367144741304,21.992995489348925,MX
way/120217741-400,way/120217741,400.0,f,Substation,f,way/120217741,-101.42556349414993,20.64028481762805,MX
way/120217742-400,way/120217742,400.0,f,Substation,f,way/120217742,-101.22908516667222,20.530357092410352,MX
way/120228114-400,way/120228114,400.0,f,Substation,f,way/120228114,-100.71659924747372,20.52016270311386,MX
way/120340864-400,way/120340864,400.0,f,Substation,f,way/120340864,-104.56968861290127,23.96445380877688,MX
way/124652361-400,way/124652361,400.0,f,Substation,f,way/124652361,-100.29876733095938,25.765781459633217,MX
way/124652375-400,way/124652375,400.0,f,Substation,f,way/124652375,-100.36732480221175,25.86525216346094,MX
way/124801182-400,way/124801182,400.0,f,Substation,f,way/124801182,-100.1023223433217,25.72386334297329,MX
way/124805240-400,way/124805240,400.0,f,Substation,f,way/124805240,-100.27310046311072,25.61285648754195,MX
way/124805249-400,way/124805249,400.0,f,Substation,f,way/124805249,-100.31984904220046,25.643922260239936,MX
way/124808269-400,way/124808269,400.0,f,Substation,f,way/124808269,-100.5535455593594,25.7100264892053,MX
way/147507817-400,way/147507817,400.0,f,Substation,f,way/147507817,-103.30859761815069,25.454730152028866,MX
way/153402633-400,way/153402633,400.0,f,Substation,f,way/153402633,-93.58684848506924,17.178212707799112,MX
way/156432250-400,way/156432250,400.0,f,Substation,f,way/156432250,-93.19142103656246,16.811824529754787,MX
way/165130311-400,way/165130311,400.0,f,Substation,f,way/165130311,-103.56150182123532,20.416697253334345,MX
way/187401888-400,way/187401888,400.0,f,Substation,f,way/187401888,-90.76262040742525,18.61154989502643,MX
way/187631617-400,way/187631617,400.0,f,Substation,f,way/187631617,-100.1416881979637,19.28334071353327,MX
way/189783517-400,way/189783517,400.0,f,Substation,f,way/189783517,-99.71450319896816,19.28882980437257,MX
way/193411905-400,way/193411905,400.0,f,Substation,f,way/193411905,-103.83169266046764,28.047985313582227,MX
way/219725262-400,way/219725262,400.0,f,Substation,f,way/219725262,-99.34337322845082,19.307199065697347,MX
way/221656033-400,way/221656033,400.0,f,Substation,f,way/221656033,-104.45440417172132,21.428161257418623,MX
way/223990371-400,way/223990371,400.0,f,Substation,f,way/223990371,-94.69110329470875,18.02834931877229,MX
way/223990372-400,way/223990372,400.0,f,Substation,f,way/223990372,-94.32507000665724,18.007778108188155,MX
way/244648181-400,way/244648181,400.0,f,Substation,f,way/244648181,-95.058747657433,17.761082494233982,MX
way/302760278-400,way/302760278,400.0,f,Substation,f,way/302760278,-103.25139713964968,20.83094890093855,MX
way/316976706-400,way/316976706,400.0,f,Substation,f,way/316976706,-95.0104216074877,16.61333179682339,MX
way/317273421-400,way/317273421,400.0,f,Substation,f,way/317273421,-92.97119795686592,17.793518003918425,MX
way/318102144-400,way/318102144,400.0,f,Substation,f,way/318102144,-100.27922039092532,20.46779137685515,MX
way/318396111-400,way/318396111,400.0,f,Substation,f,way/318396111,-104.10970365775586,21.198607597119068,MX
way/318720928-400,way/318720928,400.0,f,Substation,f,way/318720928,-103.2351340488241,20.47691668368025,MX
way/318721921-400,way/318721921,400.0,f,Substation,f,way/318721921,-103.1655227772898,20.688027847990835,MX
way/318795296-400,way/318795296,400.0,f,Substation,f,way/318795296,-102.00715506082317,19.84961720723056,MX
way/318811272-400,way/318811272,400.0,f,Substation,f,way/318811272,-102.98053666664268,19.962400998979792,MX
way/318948686-400,way/318948686,400.0,f,Substation,f,way/318948686,-104.3173556485369,19.02704433127822,MX
way/318949408-400,way/318949408,400.0,f,Substation,f,way/318949408,-101.16868734459509,20.57128818558789,MX
way/320586165-400,way/320586165,400.0,f,Substation,f,way/320586165,-104.2324100425031,19.053465014893767,MX
way/322722579-400,way/322722579,400.0,f,Substation,f,way/322722579,-102.12067757852,17.986449442681153,MX
way/323524294-400,way/323524294,400.0,f,Substation,f,way/323524294,-100.10560547207514,19.23029858034389,MX
way/323682658-400,way/323682658,400.0,f,Substation,f,way/323682658,-97.41458742714244,20.35449474886417,MX
way/323989601-400,way/323989601,400.0,f,Substation,f,way/323989601,-104.80395183612346,21.842676989940845,MX
way/324339640-400,way/324339640,400.0,f,Substation,f,way/324339640,-106.35312233435148,23.19064822601144,MX
way/324339641-400,way/324339641,400.0,f,Substation,f,way/324339641,-109.01966214394564,25.9765879327928,MX
way/325857132-400,way/325857132,400.0,f,Substation,f,way/325857132,-98.75183843975924,21.31025727973507,MX
way/325906414-400,way/325906414,400.0,f,Substation,f,way/325906414,-97.90539493271298,22.493673938799333,MX
way/325906412-400,way/325906412,400.0,f,Substation,f,way/325906412,-98.18362566893391,22.6076864671584,MX
way/325974178-400,way/325974178,400.0,f,Substation,f,way/325974178,-98.004924525177,22.223227303945794,MX
way/326119138-400,way/326119138,400.0,f,Substation,f,way/326119138,-98.84543431873634,22.04678765259729,MX
way/326213920-400,way/326213920,400.0,f,Substation,f,way/326213920,-100.98985296856816,22.32882365730534,MX
way/326794464-400,way/326794464,400.0,f,Substation,f,way/326794464,-99.04110721432306,23.86651255076625,MX
way/327104799-400,way/327104799,400.0,f,Substation,f,way/327104799,-99.535353812709,24.96653454437763,MX
way/327445235-400,way/327445235,400.0,f,Substation,f,way/327445235,-101.73199624186633,23.87910663019792,MX
way/328234376-400,way/328234376,400.0,f,Substation,f,way/328234376,-101.31763138105484,24.5234285043567,MX
way/328237829-400,way/328237829,400.0,f,Substation,f,way/328237829,-101.6532573352365,24.627604197129987,MX
way/328331096-400,way/328331096,400.0,f,Substation,f,way/328331096,-100.23342653062964,25.74050160661336,MX
way/328371976-400,way/328371976,400.0,f,Substation,f,way/328371976,-100.35902575424144,25.679023727723,MX
way/328430562-400,way/328430562,400.0,f,Substation,f,way/328430562,-100.90719430623416,25.59855710332792,MX
way/328454682-400,way/328454682,400.0,f,Substation,f,way/328454682,-98.1568263423268,25.97916971405428,MX
way/328823535-400,way/328823535,400.0,f,Substation,f,way/328823535,-100.1446375132886,25.848689473134847,MX
way/329140644-400,way/329140644,400.0,f,Substation,f,way/329140644,-100.45471988706812,27.09625782227485,MX
way/334603451-400,way/334603451,400.0,f,Substation,f,way/334603451,-92.7764579585938,16.399854008002983,MX
way/335761046-400,way/335761046,400.0,f,Substation,f,way/335761046,-101.50374385662296,26.92660246027305,MX
way/339029834-400,way/339029834,400.0,f,Substation,f,way/339029834,-110.07386478531296,27.516550183188738,MX
way/370805988-400,way/370805988,400.0,f,Substation,f,way/370805988,-89.56930555372384,20.406729444641428,MX
way/377881663-400,way/377881663,400.0,f,Substation,f,way/377881663,-100.48710652525256,20.52047912349405,MX
way/380654599-400,way/380654599,400.0,f,Substation,f,way/380654599,-100.1283369310516,18.86896453676014,MX
way/381569515-400,way/381569515,400.0,f,Substation,f,way/381569515,-99.2834698993852,19.481510074198862,MX
way/381587927-400,way/381587927,400.0,f,Substation,f,way/381587927,-98.7325204520652,20.05939496934612,MX
way/381991692-400,way/381991692,400.0,f,Substation,f,way/381991692,-98.88047740856852,18.79982726759929,MX
way/382170046-400,way/382170046,400.0,f,Substation,f,way/382170046,-104.93706613705172,21.582092475071,MX
way/390018953-400,way/390018953,400.0,f,Substation,f,way/390018953,-92.34834735562204,14.867090455498143,MX
way/390018954-400,way/390018954,400.0,f,Substation,f,way/390018954,-93.09545948186413,16.939469242940497,MX
way/489433441-400,way/489433441,400.0,f,Substation,f,way/489433441,-88.26341670989966,20.686986505515545,MX
way/552404194-400,way/552404194,400.0,f,Substation,f,way/552404194,-99.95949539353568,25.740663742852902,MX
way/552404195-400,way/552404195,400.0,f,Substation,f,way/552404195,-99.95804022771888,25.72578155021079,MX
way/552409895-400,way/552409895,400.0,f,Substation,f,way/552409895,-100.9210772275338,25.601331510132933,MX
way/603114761-400,way/603114761,400.0,f,Substation,f,way/603114761,-99.30230259957702,19.44308223969068,MX
way/634306114-400,way/634306114,400.0,f,Substation,f,way/634306114,-99.76175494420352,19.387859345583166,MX
way/639158083-400,way/639158083,400.0,f,Substation,f,way/639158083,-97.04801883660112,18.87728720278215,MX
way/653400165-400,way/653400165,400.0,f,Substation,f,way/653400165,-101.45966837578634,26.884096107020408,MX
way/686189325-400,way/686189325,400.0,f,Substation,f,way/686189325,-94.39863206884522,18.0297007052998,MX
way/703468573-400,way/703468573,400.0,f,Substation,f,way/703468573,-103.0432737916936,25.55999306996652,MX
way/703468574-400,way/703468574,400.0,f,Substation,f,way/703468574,-103.07450753261432,25.549790217334262,MX
way/764377660-400,way/764377660,400.0,f,Substation,f,way/764377660,-86.9303736899321,20.832695620043875,MX
way/785742675-400,way/785742675,400.0,f,Substation,f,way/785742675,-98.83672353007108,23.438549857868708,MX
way/797594106-400,way/797594106,400.0,f,Substation,f,way/797594106,-98.33251814711232,25.73447909260205,MX
way/797709550-400,way/797709550,400.0,f,Substation,f,way/797709550,-98.27667468387834,25.978429862897368,MX
way/864230553-400,way/864230553,400.0,f,Substation,f,way/864230553,-101.97936322260558,23.000684475207134,MX
way/908223181-400,way/908223181,400.0,f,Substation,f,way/908223181,-105.91803305993302,28.44711667404689,MX
way/908383520-400,way/908383520,400.0,f,Substation,f,way/908383520,-98.19632080078712,25.778939022984986,MX
way/931567937-400,way/931567937,400.0,f,Substation,f,way/931567937,-98.96101421615812,23.39985468561182,MX
way/970712564-400,way/970712564,400.0,f,Substation,f,way/970712564,-97.77799765076828,25.79918806458852,MX
way/1013583868-400,way/1013583868,400.0,f,Substation,f,way/1013583868,-110.9503687875238,28.92980335579156,MX
way/1020056088-400,way/1020056088,400.0,f,Substation,f,way/1020056088,-99.97112357555982,25.72419128795833,MX
way/1020056102-400,way/1020056102,400.0,f,Substation,f,way/1020056102,-100.34217666487751,25.901404088958994,MX
way/1020167966-400,way/1020167966,400.0,f,Substation,f,way/1020167966,-108.99288924110964,25.977000454000752,MX
way/1063163195-400,way/1063163195,400.0,f,Substation,f,way/1063163195,-99.77938823844552,19.6206211929778,MX
way/1119978083-400,way/1119978083,400.0,f,Substation,f,way/1119978083,-110.78078962725904,27.930395276907003,MX
way/1122458623-400,way/1122458623,400.0,f,Substation,f,way/1122458623,-107.54677686420509,24.879607396891263,MX
way/1128233586-400,way/1128233586,400.0,f,Substation,f,way/1128233586,-100.066394067555,25.563090245798147,MX
way/1131975132-400,way/1131975132,400.0,f,Substation,f,way/1131975132,-100.29338114963772,25.720175386970613,MX
way/1135760619-400,way/1135760619,400.0,f,Substation,f,way/1135760619,-101.11120529886956,25.28702568453528,MX
way/1137263495-400,way/1137263495,400.0,f,Substation,f,way/1137263495,-98.2305779979162,25.69168488907673,MX
way/1137263496-400,way/1137263496,400.0,f,Substation,f,way/1137263496,-98.41705606841786,25.61079900685293,MX
way/1143875908-400,way/1143875908,400.0,f,Substation,f,way/1143875908,-99.22225419944267,24.52525038916942,MX
way/1143875912-400,way/1143875912,400.0,f,Substation,f,way/1143875912,-99.34587503421356,24.54055423577316,MX
way/1143989562-400,way/1143989562,400.0,f,Substation,f,way/1143989562,-98.91272704902856,23.43192868675561,MX
way/1143989565-400,way/1143989565,400.0,f,Substation,f,way/1143989565,-98.77677999429056,23.331493626077915,MX
way/1143989566-400,way/1143989566,400.0,f,Substation,f,way/1143989566,-98.84259389700654,23.32434778962281,MX
way/1143989567-400,way/1143989567,400.0,f,Substation,f,way/1143989567,-98.90721779911378,23.33911338771805,MX
way/1143989568-400,way/1143989568,400.0,f,Substation,f,way/1143989568,-98.8784507995276,23.43136293669846,MX
way/1144316288-400,way/1144316288,400.0,f,Substation,f,way/1144316288,-101.51493584221951,23.881214048678903,MX
way/1144316290-400,way/1144316290,400.0,f,Substation,f,way/1144316290,-101.75545504248106,23.90724449448344,MX
way/1144358547-400,way/1144358547,400.0,f,Substation,f,way/1144358547,-102.08665034890235,23.054387640246738,MX
way/1167512634-400,way/1167512634,400.0,f,Substation,f,way/1167512634,-102.62085942380924,19.967561198450696,MX
way/1181045739-400,way/1181045739,400.0,f,Substation,f,way/1181045739,-94.36963469105366,18.063282457440383,MX
way/1181050521-400,way/1181050521,400.0,f,Substation,f,way/1181050521,-97.33588385667642,21.01415700984714,MX
way/1181062806-400,way/1181062806,400.0,f,Substation,f,way/1181062806,-98.00686748044691,22.437279377303053,MX
way/1182314670-400,way/1182314670,400.0,f,Substation,f,way/1182314670,-98.95119830298816,19.62035337777725,MX
way/1182315273-400,way/1182315273,400.0,f,Substation,f,way/1182315273,-99.27474529897228,20.05733363512903,MX
way/1182379765-400,way/1182379765,400.0,f,Substation,f,way/1182379765,-98.67697427486684,19.745439736750896,MX
way/1184765373-400,way/1184765373,400.0,f,Substation,f,way/1184765373,-103.37713092728472,20.455377941802944,MX
way/1185619636-400,way/1185619636,400.0,f,Substation,f,way/1185619636,-97.66283224484596,18.8729113820598,MX
way/1211021210-400,way/1211021210,400.0,f,Substation,f,way/1211021210,-103.07689963182402,20.55484812556813,MX
way/1211031753-400,way/1211031753,400.0,f,Substation,f,way/1211031753,-102.13835695248348,21.830367912556287,MX
way/1211031755-400,way/1211031755,400.0,f,Substation,f,way/1211031755,-102.11141691608582,21.82570528006993,MX
way/1211041028-400,way/1211041028,400.0,f,Substation,f,way/1211041028,-102.02638187341547,21.24084284266366,MX
way/1211132940-400,way/1211132940,400.0,f,Substation,f,way/1211132940,-99.46139662014626,25.67618803401611,MX
