GEM location ID,bus_id
L100000500160,relation/16016425-400
L100000200351,way/113005841-400
L100000200352,MX47-400
L100000200353,way/325974178-400
L100000200354,MX15-400
L100000200355,way/187401888-400
L100000200356,way/113005841-400
L100000200375,way/1182315273-400
L100000201315,MX14-400
L100000406263,way/317273421-400
L100000408661,way/1181050521-400
L100000406182,way/1013583868-400
L100000406694,way/1181062806-400
L100000406184,way/325906414-400
L100000406185,way/325906414-400
L100000408887,way/1181062806-400
L100000406186,way/325906414-400
L100000407524,way/324339641-400
L100000408040,way/317273421-400
L100000406189,way/1377035989-400
L100000406190,way/1347720126-400
L100000406191,way/120228114-400
L100000406192,way/1181045739-400
L100000406193,way/187401888-400
L100001020829,way/1119978083-400
L100000406421,way/324339641-400
L100000407736,way/1347720126-400
L100000406420,way/1377035989-400
L100000406657,way/147507817-400
L100000406230,way/370805988-400
L100000406656,relation/16051214-400
L100000406422,way/489433441-400
L100000406246,way/318949408-400
L100000406250,way/326213920-400
L100000406251,way/1377035989-400
L100000406257,way/1181050521-400
L100000406200,way/223990371-400
L100000406197,way/381991692-400
L100000406198,way/908223181-400
L100000406682,relation/16051214-400
L100000406655,way/325906414-400
L100000406199,MX34-400
L100000408037,way/317273421-400
L100000406202,way/317273421-400
L100000406240,way/1181045739-400
L100000406288,way/223990371-400
L100000406289,way/97173246-400
L100000406241,way/1181045739-400
L100000406254,way/1377035989-400
L100000406203,way/1181045739-400
L100000406214,way/552409895-400
L100000406204,way/1343929811-400
L100000406206,way/124801182-400
L100000406205,way/124801182-400
L100000406652,way/124652375-400
L100000406207,way/1347720126-400
L100000406208,way/328454682-400
L100000406209,way/1119978083-400
L100000406676,way/1119978083-400
L100000406273,way/1181045739-400
L100000406216,way/325906414-400
L100000406666,way/1182379765-400
L100000406217,way/489433441-400
L100000408888,way/908223181-400
L100000406277,way/908223181-400
L100000406220,way/147507817-400
L100000408889,way/147507817-400
L100000406218,way/1013583868-400
L100000406221,way/1013583868-400
L100000406674,way/124801182-400
L100000406646,way/324339640-400
L100000406647,way/324339641-400
L100000406233,way/1013583868-400
L100000406224,way/147507817-400
L100000406227,way/1377035989-400
L100000406282,way/1211132940-400
L100000406229,way/318948686-400
L100001020828,way/370805988-400
L100000406231,way/370805988-400
L100000408607,way/1377035989-400
L100001020827,way/1376647652-400
L100000406219,way/1013583868-400
L100000406664,way/124652375-400
L100000406236,way/120340864-400
L100000406237,way/908223181-400
L100000408606,way/1377035989-400
L100001020849,way/124801182-400
L100000406196,way/1020056088-400
L100000406242,way/109581677-400
L100000406243,way/1377035989-400
L100000406300,way/1376647652-400
L100001020823,way/324339641-400
L100000406244,way/328430562-400
L100000406294,way/316976706-400
L100000406292,way/325974178-400
L100000406293,way/686189325-400
L100000406295,MX10-400
L100000406287,way/1182315273-400
L100000406245,way/970712564-400
L100000406679,way/970712564-400
L100000406678,way/970712564-400
L100000406267,way/318949408-400
L100000406247,way/328430562-400
L100000406681,relation/16051214-400
L100000406249,way/31875861-400
L100000406215,way/120228114-400
L100000406660,way/325857132-400
L100000406252,way/325857132-400
L100000408036,way/1377035989-400
L100000406253,way/1377035989-400
L100000406297,way/1131975132-400
L100000406659,way/1211021210-400
