line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
MX_line_1,way/153402633-400,MX43-400,MX43-400;way/153402633-400,400.0,3574.952866822164,294487.51,MX,
MX_line_2,way/107621341-400,way/113005835-400,way/107621341-400;way/113005835-400,400.0,14299.811467288657,175475.37374999997,MX,
MX_line_3,way/318102144-400,way/107621341-400,way/107621341-400;way/318102144-400,400.0,7149.905733644327,59997.755,MX,
MX_line_4,way/325906412-400,way/107621341-400,way/107621341-400;way/325906412-400,400.0,1787.4764334110816,220570.74,MX,
MX_line_5,way/113005835-400,way/107621341-400,way/107621341-400;way/113005835-400,400.0,1787.4764334110816,173478.41,MX,
MX_line_6,way/107621341-400,way/318102144-400,way/107621341-400;way/318102144-400,400.0,3574.9528668221637,148761.345,MX,
MX_line_7,way/325906412-400,way/107621341-400,way/107621341-400;way/325906412-400,400.0,16087.28790069974,116747.5911111111,MX,
MX_line_8,way/109684120-400,way/318102144-400,way/109684120-400;way/318102144-400,400.0,7149.905733644327,189783.04,MX,
MX_line_9,way/109684120-400,way/382170046-400,way/109684120-400;way/382170046-400,400.0,5362.429300233245,136248.01,MX,
MX_line_10,way/113005835-400,way/153402633-400,way/113005835-400;way/153402633-400,400.0,12512.335033877574,243084.40142857135,MX,
MX_line_11,way/325906412-400,way/124652375-400,way/124652375-400;way/325906412-400,400.0,3574.9528668221637,128011.07,MX,
MX_line_12,way/124652375-400,way/970712564-400,way/124652375-400;way/970712564-400,400.0,5362.429300233246,179062.39,MX,
MX_line_13,way/324339641-400,way/124652375-400,way/124652375-400;way/324339641-400,400.0,1787.4764334110816,269018.97,MX,
MX_line_14,way/124652375-400,way/327445235-400,way/124652375-400;way/327445235-400,400.0,5362.429300233246,143306.52666666667,MX,
MX_line_15,way/1376647652-400,way/324339641-400,way/1376647652-400;way/324339641-400,400.0,3574.952866822164,130259.95,MX,
MX_line_16,way/153402633-400,way/390018953-400,way/153402633-400;way/390018953-400,400.0,3574.9528668221637,217820.48000000004,MX,
MX_line_17,way/318102144-400,way/325906412-400,way/318102144-400;way/325906412-400,400.0,3574.952866822164,29397.16,MX,
MX_line_18,way/327445235-400,way/318102144-400,way/318102144-400;way/327445235-400,400.0,3574.952866822164,74884.86,MX,
MX_line_19,way/318102144-400,way/382170046-400,way/318102144-400;way/382170046-400,400.0,1787.4764334110816,250489.26,MX,
MX_line_20,way/382170046-400,way/324339641-400,way/324339641-400;way/382170046-400,400.0,3574.952866822164,286454.17,MX,
MX_line_21,way/325906412-400,way/327445235-400,way/325906412-400;way/327445235-400,400.0,3574.952866822164,305376.45,MX,
MX_line_22,way/327445235-400,way/382170046-400,way/327445235-400;way/382170046-400,400.0,5362.429300233245,148976.37333333332,MX,
