GEM location ID,bus_id
L100000104797,way/124652375-400
L100000103029,way/124652375-400
L100000103031,way/109684120-400
L100000200351,way/113005835-400
L100000200352,way/113005835-400
L100000200353,way/325906412-400
L100000200354,way/325906412-400
L100000200355,MX43-400
L100000200356,way/113005835-400
L100000200375,way/107621341-400
L100000201315,way/325906412-400
L100000406660,way/325906412-400
L100000406657,way/327445235-400
L100000406656,way/324339641-400
L100000406663,way/324339641-400
L100000406659,way/382170046-400
L100000406652,way/124652375-400
L100000406664,way/124652375-400
L100000406666,way/107621341-400
L100000406658,way/324339641-400
L100000406199,way/318102144-400
L100000406655,way/325906412-400
L100000406237,way/324339641-400
L100000406236,way/382170046-400
L100000406219,way/1376647652-400
L100000406233,way/1376647652-400
L100000406229,way/109684120-400
L100000406227,way/1376647652-400
L100000406281,way/107621341-400
L100000406674,way/124652375-400
L100000406221,way/1376647652-400
L100000406420,way/1376647652-400
L100000406220,way/327445235-400
L100000406218,way/1376647652-400
L100000406676,way/324339641-400
L100000406209,way/324339641-400
L100000406207,way/318102144-400
L100000406204,way/113005835-400
L100000406198,way/324339641-400
L100000406682,way/324339641-400
L100000406193,MX43-400
L100000406191,way/318102144-400
L100000406242,way/107621341-400
L100000406243,way/1376647652-400
L100000406251,way/1376647652-400
L100000406250,way/327445235-400
L100000406215,way/318102144-400
L100000406249,way/107621341-400
L100000406681,way/324339641-400
L100000406247,way/124652375-400
L100000406246,way/318102144-400
L100000406261,MX43-400
L100000406422,MX43-400
L100000406260,way/325906412-400
L100000406259,way/325906412-400
L100000406258,way/325906412-400
L100000406257,way/325906412-400
L100000406255,way/124652375-400
L100000406273,way/153402633-400
L100000406241,way/153402633-400
L100000406289,way/107621341-400
L100000406288,way/153402633-400
L100000406240,way/153402633-400
L100000406202,way/153402633-400
L100000406196,way/124652375-400
L100000406282,way/124652375-400
L100000406214,way/124652375-400
L100000406192,way/153402633-400
L100000406263,way/153402633-400
L100000406201,way/107621341-400
L100000406217,MX43-400
L100000406208,way/970712564-400
L100000406231,MX43-400
L100000406678,way/970712564-400
L100000406679,way/970712564-400
L100000406245,way/970712564-400
L100000406287,way/107621341-400
L100000406295,way/124652375-400
L100000406293,way/153402633-400
L100000406292,way/325906412-400
L100000406294,way/153402633-400
L100000406277,way/324339641-400
L100000406254,way/1376647652-400
L100000406297,way/124652375-400
L100000406262,way/107621341-400
L100000406267,way/318102144-400
L100000406300,way/1376647652-400
L100000406230,MX43-400
L100000406647,way/324339641-400
L100000406646,way/382170046-400
L100000406256,way/107621341-400
L100000406206,way/124652375-400
L100000406197,way/107621341-400
L100000406189,way/1376647652-400
L100000406186,way/325906412-400
L100000406185,way/325906412-400
L100000406182,way/1376647652-400
L100000406205,way/124652375-400
L100000406252,way/325906412-400
L100000406224,way/327445235-400
L100000406244,way/124652375-400
L100000406216,way/325906412-400
L100000406203,way/153402633-400
L100000406200,way/153402633-400
L100000406190,way/318102144-400
L100000406253,way/1376647652-400
L100000406184,way/325906412-400
L100000406697,way/153402633-400
L100000406694,way/325906412-400
L100000407524,way/324339641-400
L100000407736,way/318102144-400
L100000408040,way/153402633-400
L100000408036,way/1376647652-400
L100000408037,way/153402633-400
L100000408605,way/327445235-400
L100000408606,way/1376647652-400
L100000408607,way/1376647652-400
L100000408661,way/325906412-400
L100000408888,way/324339641-400
L100000408889,way/327445235-400
L100000408887,way/325906412-400
L100000500160,way/113005835-400
L100000602463,way/382170046-400
L100000602464,way/382170046-400
L100000602465,way/153402633-400
L100000602466,way/324339641-400
L100000602467,way/153402633-400
L100000602468,way/107621341-400
L100000602469,way/153402633-400
L100000602471,way/318102144-400
L100000602472,way/324339641-400
L100000602473,way/109684120-400
