bus_id,grid_cell
way/107621341-400,MEX_780
way/107621341-400,MEX_780
way/107621341-400,MEX_757
way/107621341-400,MEX_804
way/107621341-400,MEX_780
way/107621341-400,MEX_732
way/124652375-400,MEX_724
way/124652375-400,MEX_641
way/124652375-400,MEX_641
way/107621341-400,MEX_732
way/107621341-400,MEX_732
way/107621341-400,MEX_733
way/107621341-400,MEX_733
way/107621341-400,MEX_732
way/107621341-400,MEX_731
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/109684120-400,MEX_562
way/113005835-400,MEX_828
way/113005835-400,MEX_855
way/113005835-400,MEX_854
way/325906412-400,MEX_832
way/325906412-400,wof-MEX_1078
way/324339641-400,MEX_266
way/382170046-400,MEX_408
way/382170046-400,MEX_459
way/327445235-400,MEX_541
way/318102144-400,MEX_568
way/327445235-400,MEX_542
way/318102144-400,MEX_595
way/318102144-400,MEX_595
way/318102144-400,MEX_624
way/382170046-400,MEX_413
way/124652375-400,MEX_664
way/124652375-400,MEX_664
way/124652375-400,MEX_693
way/124652375-400,MEX_664
way/124652375-400,MEX_664
way/124652375-400,MEX_664
way/327445235-400,MEX_496
way/153402633-400,MEX_899
way/153402633-400,MEX_907
way/382170046-400,MEX_458
MX43-400,MEX_956
way/318102144-400,MEX_679
way/107621341-400,MEX_706
way/124652375-400,MEX_475
way/107621341-400,MEX_706
way/382170046-400,MEX_408
way/153402633-400,MEX_880
way/153402633-400,MEX_886
way/113005835-400,MEX_879
way/382170046-400,MEX_485
way/153402633-400,MEX_877
way/153402633-400,MEX_910
way/318102144-400,MEX_652
way/382170046-400,MEX_434
way/382170046-400,MEX_484
way/382170046-400,MEX_485
way/109684120-400,MEX_565
way/109684120-400,MEX_510
way/109684120-400,MEX_429
way/318102144-400,MEX_595
way/109684120-400,MEX_429
way/109684120-400,MEX_533
way/318102144-400,MEX_679
way/107621341-400,MEX_831
way/382170046-400,MEX_409
way/382170046-400,MEX_306
way/324339641-400,MEX_217
way/325906412-400,MEX_761
way/325906412-400,MEX_788
way/325906412-400,wof-MEX_1062
way/325906412-400,MEX_788
way/325906412-400,MEX_787
way/325906412-400,wof-MEX_1061
way/325906412-400,MEX_738
way/327445235-400,MEX_628
way/325906412-400,MEX_742
way/124652375-400,MEX_718
way/327445235-400,MEX_574
way/327445235-400,MEX_603
way/327445235-400,MEX_576
way/124652375-400,MEX_664
way/124652375-400,MEX_664
way/124652375-400,MEX_635
way/970712564-400,MEX_796
way/124652375-400,MEX_693
way/124652375-400,MEX_667
way/153402633-400,MEX_915
way/124652375-400,MEX_609
way/324339641-400,MEX_173
MX43-400,MEX_976
way/318102144-400,MEX_653
way/107621341-400,MEX_678
way/107621341-400,MEX_732
way/107621341-400,MEX_759
way/107621341-400,MEX_731
way/382170046-400,
way/390018953-400,MEX_912
way/153402633-400,MEX_908
MX43-400,MEX_1002
way/124652375-400,MEX_693
way/124652375-400,MEX_693
way/124652375-400,MEX_635
way/107621341-400,MEX_706
way/107621341-400,MEX_679
way/113005835-400,MEX_828
way/124652375-400,MEX_609
way/153402633-400,MEX_886
way/327445235-400,MEX_496
way/327445235-400,MEX_496
MX43-400,MEX_1023
MX43-400,wof-MEX_1533
way/325906412-400,MEX_741
way/970712564-400,MEX_795
way/970712564-400,MEX_796
way/327445235-400,MEX_572
way/324339641-400,MEX_341
way/970712564-400,MEX_795
way/325906412-400,MEX_741
way/970712564-400,MEX_819
way/1376647652-400,MEX_141
way/124652375-400,MEX_693
way/124652375-400,MEX_665
way/324339641-400,MEX_217
way/107621341-400,MEX_680
way/324339641-400,MEX_157
way/324339641-400,wof-MEX_640
way/324339641-400,MEX_266
way/124652375-400,MEX_693
way/124652375-400,MEX_664
way/124652375-400,MEX_634
way/970712564-400,MEX_795
way/970712564-400,MEX_771
way/124652375-400,MEX_744
way/124652375-400,MEX_718
way/325906412-400,MEX_741
way/325906412-400,MEX_766
way/325906412-400,MEX_741
way/325906412-400,MEX_741
way/325906412-400,MEX_741
way/327445235-400,MEX_602
way/327445235-400,MEX_574
way/327445235-400,MEX_544
way/109684120-400,MEX_510
way/153402633-400,MEX_886
way/325906412-400,MEX_833
way/325906412-400,wof-MEX_1079
way/325906412-400,MEX_788
way/325906412-400,wof-MEX_1062
way/107621341-400,MEX_733
way/107621341-400,MEX_734
way/107621341-400,MEX_758
way/382170046-400,MEX_484
way/107621341-400,MEX_804
way/382170046-400,MEX_485
way/327445235-400,MEX_542
way/327445235-400,MEX_541
way/318102144-400,MEX_568
way/124652375-400,MEX_720
way/113005835-400,MEX_856
way/318102144-400,MEX_681
way/1376647652-400,MEX_83
way/1376647652-400,MEX_29
way/318102144-400,MEX_653
way/113005835-400,MEX_858
way/113005835-400,wof-MEX_1123
way/324339641-400,MEX_321
MX43-400,MEX_967
way/124652375-400,MEX_641
way/107621341-400,MEX_757
way/325906412-400,MEX_833
way/325906412-400,wof-MEX_1079
way/107621341-400,MEX_759
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/382170046-400,MEX_306
way/382170046-400,MEX_407
way/382170046-400,MEX_459
way/318102144-400,MEX_595
way/318102144-400,MEX_595
way/318102144-400,MEX_623
way/109684120-400,MEX_429
MX43-400,MEX_994
way/107621341-400,MEX_731
way/113005835-400,MEX_804
way/113005835-400,MEX_864
MX43-400,MEX_976
MX43-400,MEX_976
MX43-400,MEX_957
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/107621341-400,MEX_808
way/107621341-400,wof-MEX_1078
way/109684120-400,MEX_533
way/109684120-400,MEX_533
way/382170046-400,MEX_408
