bus_id,grid_cell
way/450080688-275,MYS_171
way/450080688-275,wof-MYS_284
way/160691170-275,wof-MYS_41
way/162362039-500,wof-MYS_40
way/235501402-500,wof-MYS_64
way/235501402-275,wof-MYS_64
way/235851822-500,wof-MYS_64
way/235943019-275,MYS_90
way/235943019-275,wof-MYS_149
way/235951698-275,MYS_91
way/235951698-275,wof-MYS_137
way/235966081-275,MYS_101
way/235966081-275,wof-MYS_188
way/236051516-275,MYS_124
way/236051516-275,wof-MYS_224
way/273399306-275,wof-MYS_41
way/286559638-275,wof-MYS_28
way/286559640-275,wof-MYS_28
way/313430364-275,wof-MYS_39
way/314846699-275,
way/316035698-500,wof-MYS_32
way/316035698-275,wof-MYS_32
way/316035705-500,wof-MYS_32
way/317124038-275,
way/317190502-275,
way/320246940-275,MYS_99
way/320730394-275,
way/325835238-275,MYS_91
way/325835238-275,wof-MYS_149
way/326097227-275,wof-MYS_27
way/328415531-275,MYS_197
way/328415531-275,wof-MYS_302
way/342946809-500,
way/342946809-275,
way/396464338-275,wof-MYS_67
way/397123940-275,wof-MYS_78
way/398265255-275,wof-MYS_41
way/399307646-275,MYS_99
way/399307646-275,wof-MYS_173
way/399307647-275,MYS_107
way/445431079-275,wof-MYS_47
way/460916219-275,
way/492388990-275,wof-MYS_41
way/496114385-275,wof-MYS_78
way/513083092-275,MYS_124
way/513083092-275,wof-MYS_224
way/513270613-500,
way/513270613-275,
way/513610290-275,MYS_130
way/513950834-275,MYS_133
way/513950834-275,wof-MYS_248
way/551727678-275,wof-MYS_34
way/552000742-275,
way/552579228-275,wof-MYS_32
way/552589219-275,wof-MYS_32
way/552681748-275,wof-MYS_68
way/552780098-275,wof-MYS_69
way/552820941-275,wof-MYS_49
way/553040556-275,
way/553339782-275,wof-MYS_55
way/554295894-275,wof-MYS_43
way/554456729-275,wof-MYS_43
way/554497441-275,wof-MYS_43
way/554640022-275,
way/554938963-275,wof-MYS_43
way/556802417-275,
way/559750680-275,wof-MYS_67
way/561806959-275,MYS_101
way/561806959-275,wof-MYS_175
way/691450925-275,MYS_124
way/691450925-275,wof-MYS_224
way/562298165-275,MYS_165
way/562298165-275,wof-MYS_283
way/662315251-275,
way/691200886-275,MYS_91
way/691200886-275,wof-MYS_137
way/691239971-275,MYS_94
way/691239971-275,wof-MYS_173
way/691633793-275,MYS_117
way/691633793-275,wof-MYS_224
way/691633796-275,MYS_118
way/691633796-275,wof-MYS_224
way/755036990-275,wof-MYS_39
way/755391602-275,
way/755608493-275,wof-MYS_78
way/755668283-500,wof-MYS_55
way/755668283-275,wof-MYS_55
way/755700380-275,wof-MYS_68
way/755700381-275,wof-MYS_68
way/1324718458-275,wof-MYS_26
way/812671277-275,wof-MYS_93
way/885845346-500,
way/885845346-275,
way/892365043-275,
way/934653890-275,MYS_106
way/934653890-275,wof-MYS_199
way/945342520-275,wof-MYS_64
way/1137308780-500,
way/1137308780-275,
way/1137665609-275,MYS_111
way/1137665609-275,wof-MYS_200
way/1137665615-275,MYS_130
way/1137665617-275,MYS_124
way/1137665617-275,wof-MYS_224
way/1137665620-500,MYS_132
way/1281913246-275,wof-MYS_32
way/1285211558-275,MYS_163
way/1285211558-275,wof-MYS_276
relation/16800772-275,wof-MYS_41
relation/16871608-275,wof-MYS_41
MY39-275,wof-MYS_41
MY41-275,wof-MYS_41
MY26-275,
MY31-275,
MY52-275,wof-MYS_41
MY69-275,wof-MYS_64
MY57-275,wof-MYS_41
MY56-275,wof-MYS_41
