GEM location ID,bus_id
L100000406772,way/565486405-330
L100000406773,NG21-330
L100000406774,NG21-330
L100000406775,NG21-330
L100000406776,NG21-330
L100000407499,NG18-330
L100000406777,way/563732518-330
L100000406778,NG21-330
L100000407501,way/215459565-330
L100000407502,NG17-330
L100000406779,way/574152484-330
L100000407534,way/746582404-330
L100000407503,way/706082453-330
L100000406780,way/564429999-330
L100000407505,NG17-330
L100000406783,way/575706869-330
L100000406784,way/669957212-330
L100000407506,way/574152484-330
L100000406786,NG17-330
L100000406787,way/215459565-330
L100000406788,way/215459565-330
L100000407507,way/395182311-330
L100000406789,NG21-330
L100000406790,way/574152484-330
L100000407508,NG21-330
L100000406791,way/39469643-330
L100000406792,way/395182311-330
L100000407509,way/215459565-330
L100000407510,way/706082453-330
L100000406795,way/559542338-330
L100000406796,way/559542338-330
L100000407511,way/655273140-330
L100000407512,way/706082453-330
L100000406798,way/575706869-330
L100000407513,way/706082453-330
L100000406799,way/546666333-330
L100000406800,NG15-330
L100000406801,way/836122563-330
L100000406803,way/575706869-330
L100000406804,way/565866986-330
L100000406806,way/564430566-330
L100000406808,way/546666333-330
L100000406809,way/546666333-330
L100000407514,way/215459565-330
L100000406810,NG17-330
L100000407516,way/215459565-330
L100000104853,way/565081403-330
L100000104852,way/836122563-330
L100000104851,NG7-330
L100000105010,way/1057700475-330
L100000900116,way/1226249784-330
L100001016844,way/1057700475-330
L100001016845,way/559542338-330
L100001016847,way/564410486-330
L100000800002,way/565081403-330
L100000800149,way/39469643-330
L100000800188,way/108020974-330
L100001016842,NG3-330
L100001016839,way/556550171-330
L100000827707,way/706082453-330
L100000800305,way/564410486-330
L100000811642,way/266617120-330
L100000827708,NG17-330
L100001016759,way/395182311-330
L100000827705,way/395182311-330
L100001020930,way/564410486-330
L100001020929,NG4-330
L100001020931,way/395182311-330
L100001016846,way/559542338-330
L100001020928,way/565081403-330
L100001016841,way/746582404-330
L100000604173,way/565081403-330
L100000604208,way/267122040-330
L100000604222,way/267122040-330
L100000604226,way/565081403-330
L100000602852,way/565847437-330
L100000602853,way/540463591-330
L100000602854,way/695826179-330
L100000604265,way/215459565-330
L100000602855,way/565081403-330
L100000602856,way/267122040-330
L100000604275,way/266617120-330
L100000604278,way/565081403-330
L100000604299,way/563715917-330
L100000604300,NG15-330
L100000604332,way/565081403-330
L100000602857,way/556550171-330
L100000604370,way/564445207-330
L100001045914,way/695826179-330
L100000602858,NG3-330
