bus_id,grid_cell
way/39469643-330,NGA_191
way/695826179-330,NGA_47
way/108020974-330,NGA_0
way/108020974-330,wof-NGA_10
way/215459565-330,NGA_143
way/266617120-330,NGA_249
way/266712817-330,NGA_329
way/267122040-330,NGA_369
way/334825256-330,NGA_179
way/395182311-330,NGA_234
way/477596994-330,NGA_42
way/481286430-330,NGA_63
way/537253592-330,NGA_9
way/537253592-330,wof-NGA_21
way/540463591-330,NGA_63
way/546666333-330,NGA_98
way/546666333-330,wof-NGA_71
way/548724506-330,NGA_182
way/556550171-330,NGA_149
way/559542338-330,NGA_8
way/559542338-330,wof-NGA_20
way/563715917-330,NGA_144
way/563723584-330,NGA_364
way/563732518-330,NGA_179
way/563732518-330,wof-NGA_91
way/564410486-330,NGA_52
way/564429999-330,NGA_219
way/564429999-330,wof-NGA_104
way/564430566-330,NGA_219
way/564430566-330,wof-NGA_104
way/564445207-330,NGA_24
way/564462599-330,NGA_99
way/836122563-330,NGA_9
way/836122563-330,wof-NGA_21
way/565081403-330,NGA_225
way/565486405-330,NGA_168
way/565847437-330,NGA_188
way/565866986-330,NGA_58
way/574152484-330,NGA_99
way/575706869-330,NGA_140
way/655273140-330,NGA_386
way/669957212-330,NGA_8
way/669957212-330,wof-NGA_21
way/671893504-330,NGA_140
way/706082453-330,NGA_8
way/706082453-330,wof-NGA_20
way/746582404-330,NGA_158
way/746582404-330,wof-NGA_91
way/1057700475-330,NGA_141
way/1226249784-330,NGA_197
way/1324578567-330,NGA_9
way/1324578567-330,wof-NGA_21
way/1328602766-330,NGA_44
NG21-330,NGA_159
NG21-330,wof-NGA_91
NG11-330,NGA_99
NG6-330,NGA_61
NG12-330,NGA_182
NG7-330,NGA_144
NG14-330,NGA_99
NG4-330,NGA_168
NG8-330,NGA_10
NG17-330,NGA_97
NG17-330,wof-NGA_70
NG18-330,NGA_97
NG18-330,wof-NGA_70
NG16-330,NGA_97
NG16-330,wof-NGA_70
NG2-330,NGA_215
NG1-330,NGA_216
NG3-330,NGA_127
NG9-330,NGA_9
NG9-330,wof-NGA_21
NG10-330,
NG15-330,NGA_140
NG5-330,NGA_188
NG19-330,NGA_97
NG19-330,wof-NGA_70
NG20-330,NGA_179
NG13-330,NGA_99
way/836122563-330,NGA_1
NG8-330,NGA_2
NG8-330,NGA_3
NG8-330,NGA_4
way/564445207-330,NGA_5
way/1328602766-330,NGA_6
way/695826179-330,NGA_7
way/564445207-330,NGA_11
way/564445207-330,NGA_12
way/1328602766-330,NGA_13
way/1328602766-330,NGA_14
way/695826179-330,NGA_15
way/695826179-330,NGA_16
way/695826179-330,NGA_17
way/564410486-330,NGA_18
way/564410486-330,NGA_19
