bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
way/39469643-330,way/39469643,330.0,f,Substation,f,way/39469643,7.412101217251593,10.591665510927484,NG,330.0
way/215459565-330,way/215459565,330.0,f,Substation,f,way/215459565,6.65465940048841,7.47199860900358,NG,330.0
way/266617120-330,way/266617120,330.0,f,Substation,f,way/266617120,8.846121613735002,9.98753540643362,NG,330.0
way/266712817-330,way/266712817,330.0,f,Substation,f,way/266712817,11.138308898008544,10.319497957066911,NG,330.0
way/334825256-330,way/334825256,330.0,f,Substation,f,way/334825256,7.67994933722549,5.153188400542016,NG,330.0
way/477596994-330,way/477596994,330.0,f,Substation,f,way/477596994,4.577726853560506,7.800937226774847,NG,330.0
way/481286430-330,way/481286430,330.0,f,Substation,f,way/481286430,4.821274823624594,9.167715253735045,NG,330.0
way/556550171-330,way/556550171,330.0,f,Substation,f,way/556550171,6.830474586944846,9.972529165639394,NG,330.0
way/563723584-330,way/563723584,330.0,f,Substation,f,way/563723584,12.033071288624644,11.72304537048146,NG,330.0
way/564410486-330,way/564410486,330.0,f,Substation,f,way/564410486,4.196833258132972,12.43710621354984,NG,330.0
way/564462599-330,way/564462599,330.0,f,Substation,f,way/564462599,5.634373973485063,6.296175027399473,NG,330.0
way/671893504-330,way/671893504,330.0,f,Substation,f,way/671893504,6.802298637905227,6.11683374040244,NG,330.0
NG12-330,NG12,330.0,f,Substation,f,NG12,7.557757484830667,6.403258687791061,NG,330.0
NG1-330,NG1,330.0,f,Substation,f,NG1,7.843987858820898,12.551473737447164,NG,330.0
NG9-330,NG9,330.0,f,Substation,f,NG9,3.526412457619494,6.774064510731771,NG,330.0
