line_id,bus0,bus1,type,voltage,s_nom,length,geometry
NG_line_1,way/39469643-330,NG1-330,NG1-330;way/39469643-330,330.0,1106.0010431731064,200487.89,
NG_line_2,NG12-330,way/266617120-330,NG12-330;way/266617120-330,330.0,2212.0020863462128,265199.17,
NG_line_3,way/334825256-330,NG12-330,NG12-330;way/334825256-330,330.0,4424.0041726924255,155803.015,
NG_line_4,way/671893504-330,NG12-330,NG12-330;way/671893504-330,330.0,1106.0010431731064,103444.97,
NG_line_5,NG9-330,way/477596994-330,NG9-330;way/477596994-330,330.0,1106.0010431731064,170447.98,
NG_line_7,NG9-330,way/564462599-330,NG9-330;way/564462599-330,330.0,2212.0020863462128,212362.85,
NG_line_8,way/215459565-330,way/556550171-330,way/215459565-330;way/556550171-330,330.0,2212.0020863462128,137554.49,
NG_line_9,way/564462599-330,way/215459565-330,way/215459565-330;way/564462599-330,330.0,2212.0020863462128,179250.27500000002,
NG_line_10,way/266617120-330,way/266712817-330,way/266617120-330;way/266712817-330,330.0,1106.0010431731064,279853.09,
NG_line_11,way/39469643-330,way/266617120-330,way/266617120-330;way/39469643-330,330.0,1106.0010431731064,202576.28,
NG_line_12,way/266712817-330,way/563723584-330,way/266712817-330;way/563723584-330,330.0,1106.0010431731064,188278.16,
NG_line_13,way/671893504-330,way/334825256-330,way/334825256-330;way/671893504-330,330.0,1106.0010431731064,126007.68,
NG_line_14,way/556550171-330,way/39469643-330,way/39469643-330;way/556550171-330,330.0,2212.0020863462128,99123.845,
NG_line_15,way/477596994-330,way/481286430-330,way/477596994-330;way/481286430-330,330.0,3318.0031295193194,127277.45333333334,
NG_line_16,way/477596994-330,way/564462599-330,way/477596994-330;way/564462599-330,330.0,1106.0010431731064,228976.21,
NG_line_17,way/481286430-330,way/556550171-330,way/481286430-330;way/556550171-330,330.0,2212.0020863462128,195612.69,
NG_line_18,way/564410486-330,way/481286430-330,way/481286430-330;way/564410486-330,330.0,1106.0010431731064,289543.76,
NG_line_19,way/564462599-330,way/671893504-330,way/564462599-330;way/671893504-330,330.0,4424.0041726924255,138724.895,
