GEM location ID,bus_id
L100000104851,way/215459565-330
L100000104852,NG9-330
L100000104853,NG12-330
L100000105010,way/671893504-330
L100000406772,way/556550171-330
L100000406773,way/334825256-330
L100000406774,way/334825256-330
L100000406775,way/334825256-330
L100000406776,way/334825256-330
L100000406777,way/334825256-330
L100000406778,way/334825256-330
L100000406779,way/564462599-330
L100000406780,way/334825256-330
L100000406783,way/671893504-330
L100000406784,NG9-330
L100000406786,way/564462599-330
L100000406787,way/215459565-330
L100000406788,way/215459565-330
L100000406789,way/334825256-330
L100000406790,way/564462599-330
L100000406791,way/39469643-330
L100000406792,NG1-330
L100000406795,NG9-330
L100000406796,NG9-330
L100000406798,way/671893504-330
L100000406799,way/564462599-330
L100000406800,way/671893504-330
L100000406801,NG9-330
L100000406803,way/671893504-330
L100000406804,way/564462599-330
L100000406805,way/564462599-330
L100000406806,way/334825256-330
L100000406808,way/564462599-330
L100000406809,way/564462599-330
L100000406810,way/564462599-330
L100000407499,way/564462599-330
L100000407502,way/564462599-330
L100000407501,way/215459565-330
L100000407503,NG9-330
L100000407505,way/564462599-330
L100000407504,way/564462599-330
L100000407506,way/564462599-330
L100000407507,NG1-330
L100000407508,way/334825256-330
L100000407510,NG9-330
L100000407511,way/563723584-330
L100000407512,NG9-330
L100000407514,way/215459565-330
L100000407534,way/334825256-330
L100000602852,way/556550171-330
L100000602853,way/481286430-330
L100000602854,way/481286430-330
L100000602857,way/556550171-330
L100000602858,way/556550171-330
L100000604173,NG12-330
L100000604208,way/266712817-330
L100000604222,way/266712817-330
L100000604226,NG12-330
L100000604265,way/215459565-330
L100000602855,NG12-330
L100000602856,way/266712817-330
L100000604275,way/266617120-330
L100000604278,NG12-330
L100000604299,way/215459565-330
L100000604300,way/671893504-330
L100000604332,NG12-330
L100000604370,NG9-330
L100000800002,NG12-330
L100000800149,way/39469643-330
L100000800188,NG9-330
L100000800305,way/564410486-330
L100000811642,way/266617120-330
L100000827705,NG1-330
L100000827707,NG9-330
L100000827708,way/564462599-330
L100000900116,NG1-330
L100001016759,NG1-330
L100001016839,way/556550171-330
L100001016841,way/334825256-330
L100001016842,way/556550171-330
L100001016844,way/671893504-330
L100001016845,NG9-330
L100001016846,NG9-330
L100001016847,way/564410486-330
L100001020928,NG12-330
L100001020929,way/556550171-330
L100001020930,way/564410486-330
L100001020931,NG1-330
L100001045914,way/481286430-330
L100001046646,way/215459565-330
L100001046673,way/266712817-330
L100001047408,NG9-330
L100001047410,way/481286430-330
