bus_id,grid_cell
way/39469643-330,NGA_191
way/481286430-330,NGA_47
NG9-330,NGA_0
way/215459565-330,NGA_143
way/266617120-330,NGA_249
way/266712817-330,NGA_329
way/266712817-330,NGA_369
way/334825256-330,NGA_179
NG1-330,NGA_234
way/477596994-330,NGA_42
way/481286430-330,NGA_63
NG9-330,NGA_9
NG9-330,wof-NGA_21
way/481286430-330,NGA_63
way/564462599-330,NGA_98
NG12-330,NGA_182
way/556550171-330,NGA_149
NG9-330,NGA_8
NG9-330,wof-NGA_20
way/215459565-330,NGA_144
way/563723584-330,NGA_364
way/334825256-330,NGA_179
way/564410486-330,NGA_52
way/334825256-330,NGA_219
way/334825256-330,NGA_219
NG9-330,NGA_24
way/564462599-330,NGA_99
NG9-330,NGA_9
NG9-330,wof-NGA_21
NG12-330,NGA_225
way/556550171-330,NGA_168
way/556550171-330,NGA_188
way/564462599-330,NGA_58
way/564462599-330,NGA_99
way/671893504-330,NGA_140
way/563723584-330,NGA_386
NG9-330,NGA_8
NG9-330,wof-NGA_21
way/671893504-330,NGA_140
NG9-330,NGA_8
NG9-330,wof-NGA_20
way/334825256-330,NGA_158
way/671893504-330,NGA_141
NG1-330,NGA_197
NG9-330,NGA_9
NG9-330,wof-NGA_21
way/477596994-330,NGA_44
way/334825256-330,NGA_159
way/564462599-330,NGA_99
way/477596994-330,NGA_61
NG12-330,NGA_182
way/215459565-330,NGA_144
way/564462599-330,NGA_99
way/556550171-330,NGA_168
NG9-330,NGA_10
way/564462599-330,NGA_97
way/564462599-330,NGA_97
way/564462599-330,NGA_97
NG1-330,NGA_215
NG1-330,NGA_216
way/556550171-330,NGA_127
NG9-330,NGA_9
NG9-330,wof-NGA_21
NG9-330,
way/671893504-330,NGA_140
way/556550171-330,NGA_188
way/564462599-330,NGA_97
way/334825256-330,NGA_179
way/564462599-330,NGA_99
NG9-330,NGA_1
NG9-330,NGA_2
NG9-330,NGA_3
NG9-330,NGA_4
NG9-330,NGA_5
way/477596994-330,NGA_6
way/481286430-330,NGA_7
NG9-330,NGA_11
NG9-330,NGA_12
way/477596994-330,NGA_13
way/477596994-330,NGA_14
way/481286430-330,NGA_15
way/481286430-330,NGA_16
way/481286430-330,NGA_17
way/564410486-330,NGA_18
way/564410486-330,NGA_19
way/564410486-330,NGA_20
way/564410486-330,NGA_21
NG9-330,NGA_22
NG9-330,NGA_23
NG9-330,NGA_25
way/477596994-330,NGA_26
way/477596994-330,NGA_27
way/481286430-330,NGA_28
way/481286430-330,NGA_29
way/481286430-330,NGA_30
way/481286430-330,NGA_31
