bus0,bus1,voltage,s_nom,length,type,geometry
way/920127890-380,NL8-380,380.0,1698.103,5145.87,Al/St 240/40 4-bundle 380.0,"LINESTRING (3.9869186000000014 51.928320094702734, 3.9809320137893485 51.93087014917357, 3.9787567 51.9344824, 3.978821 51.9346147, 3.9790034 51.9347602, 3.9807093 51.9350777, 3.9815247 51.9350579, 3.9828229 51.9348594, 3.984164 51.9345088, 3.9856017 51.9343832, 3.9876616 51.9344295, 3.9889705 51.9346544, 3.9905906 51.9350711, 3.9916849 51.9351703, 3.9948392 51.9352034, 3.9950377 51.936447, 3.9952361 51.9375847, 3.9977413 51.9407596, 4.0113991 51.9519591, 4.0120697 51.9522732, 4.0127993 51.9524749, 4.0136468 51.952617, 4.0143228 51.9526534, 4.0147304 51.9526269, 4.0148324 51.9528716, 4.014958813453732 51.952853666055724, 4.022206682809479 51.95508818099948)"
way/146809673-380,way/920127890-380,380.0,1698.103,12038.14,Al/St 240/40 4-bundle 380.0,"LINESTRING (4.022206682809479 51.95508818099948, 4.024406738728366 51.9491068157665, 4.0363075 51.9296027, 4.0381649 51.9284284, 4.0384144 51.9285004, 4.0392727 51.9283507, 4.0516972 51.9312315, 4.0694207 51.9353407, 4.0826896 51.9357863, 4.0986313 51.9338539, 4.1004565 51.9345593, 4.1009071 51.9359732, 4.1022576 51.935812, 4.1029631 51.9362229, 4.1053998 51.9378096, 4.1062286 51.9385322, 4.1071808 51.9396178, 4.1079962 51.940285, 4.1087902 51.9407, 4.1097155 51.9410539, 4.1106275 51.9412639, 4.1116306 51.9413929, 4.1123602 51.9414408, 4.1132668 51.9413945, 4.1140285 51.9413052, 4.1150779 51.9410969, 4.1157331 51.9421667, 4.1156861 51.9424528, 4.1156325 51.9425511, 4.1154072 51.9426875, 4.1152382 51.9428355, 4.1151711 51.942986, 4.1151537 51.9431538, 4.1152275 51.9434547, 4.1152757 51.9438863, 4.1153026 51.9443343, 4.1153187 51.9447105, 4.1151041 51.9519657, 4.1150317 51.9522699, 4.1148975 51.9525162, 4.1147259 51.9526964, 4.1143718 51.9529493, 4.1140366 51.9530981, 4.113484 51.9532601, 4.1006359399367645 51.956816347204324, 4.092625648952264 51.95808354355212)"
NL12-380,NL11-380,380.0,3396.205,18632.22,Al/St 240/40 4-bundle 380.0,"LINESTRING (3.9465228000000034 51.46675199450171, 3.9537004438347942 51.46648627682884, 3.9553332 51.4666444, 3.9592881 51.4670259, 3.9648268 51.4660667, 3.9692007 51.4653313, 3.9746362 51.4646217, 3.9781507 51.4663335, 3.9814181 51.467914, 3.9847711 51.4695343, 3.9879867 51.4710886, 3.9920972 51.4709925, 3.9975516 51.4709053, 4.0033293 51.4709524, 4.0088609 51.4710472, 4.0146222 51.4711333, 4.0198875 51.4714219, 4.02561 51.4717855, 4.0299329 51.4705024, 4.034008 51.4689064, 4.038011 51.4673313, 4.0431618 51.4653071, 4.048273 51.4633066, 4.0534087 51.4612747, 4.0585612 51.4592767, 4.063697 51.4572446, 4.0683556 51.4553688, 4.0726772 51.4536288, 4.0781966 51.451433, 4.0835361 51.4492714, 4.0888365 51.4471549, 4.0925553 51.445644, 4.0978402 51.4440769, 4.1035699 51.4423564, 4.1084608 51.4408978, 4.1132796 51.4394436, 4.1189419 51.4382557, 4.1220293 51.435854, 4.1244833 51.4339784, 4.1270204 51.4319975, 4.1318772 51.4302807, 4.1373521 51.4283782, 4.1422866 51.4266544, 4.1487314 51.4266222, 4.1550856 51.4265782, 4.1614062 51.4265402, 4.1656428 51.4265092, 4.1721231 51.4264622, 4.1775014 51.4264336, 4.181643061719289 51.4266765414522, 4.188796800000006 51.427111394483966)"
way/162176187-380,way/157902099-380,380.0,3396.205,58275.3,Al/St 240/40 4-bundle 380.0,"LINESTRING (5.913018993472017 51.63853992643954, 5.90891687332504 51.63317692798225, 5.9084828 51.6306457, 5.9079236 51.6271106, 5.9073737 51.6237142, 5.9067829 51.6202899, 5.9061931 51.6168673, 5.9056693 51.6135248, 5.9051008 51.6099422, 5.9045043 51.6063419, 5.9039078 51.602776, 5.9033206 51.5991809, 5.9027278 51.5956538, 5.9021835 51.5920825, 5.9015209 51.5884969, 5.9009542 51.5849759, 5.9004024 51.5814177, 5.8998283 51.5779379, 5.8992541 51.5743188, 5.8986576 51.5707829, 5.8980835 51.5671818, 5.8974945 51.5636453, 5.896898 51.5601595, 5.8963835 51.5571649, 5.8958354 51.5536125, 5.8952483 51.5500889, 5.8946704 51.5465418, 5.8970378 51.5440378, 5.8993958 51.5415626, 5.9017911 51.5390526, 5.9041399 51.5365829, 5.9070497 51.5335902, 5.9094014 51.5309946, 5.9122006 51.5280554, 5.9135367 51.5245652, 5.9148485 51.5211002, 5.9162 51.5176262, 5.9175701 51.514239, 5.9189122 51.5107239, 5.9202543 51.5072492, 5.9216244 51.5036059, 5.9228267 51.5004846, 5.9241036 51.4971193, 5.9254178 51.4936319, 5.9267485 51.4902307, 5.9280183 51.4867534, 5.9286566 51.4832506, 5.9292578 51.479744, 5.9298999 51.4761876, 5.9304965 51.4725883, 5.931093 51.4691188, 5.9317193 51.4655189, 5.9323009 51.4620628, 5.9329287 51.4585293, 5.9335312 51.4550615, 5.9341754 51.4514782, 5.9347838 51.4478202, 5.9353982 51.4442698, 5.9359709 51.4407303, 5.9365733 51.437369, 5.937146 51.4338103, 5.9377067 51.4302142, 5.9382853 51.4266326, 5.9388699 51.4230731, 5.9394485 51.4195729, 5.9400271 51.4159868, 5.9405997 51.4124264, 5.9411664 51.4088547, 5.9417092 51.4053273, 5.9422819 51.4017769, 5.9428442 51.3982317, 5.9434257 51.3946812, 5.9439994 51.3911179, 5.9419968 51.3878131, 5.9400246 51.3845495, 5.9380212 51.3812626, 5.9360323 51.3779599, 5.9342557 51.3750011, 5.9322188 51.3716415, 5.9302547 51.3683159, 5.9282564 51.3650564, 5.9262442 51.361708, 5.9242032 51.3584649, 5.9261163 51.3550349, 5.9279141 51.3515524, 5.9297399 51.3481709, 5.9315745 51.3447528, 5.9333283 51.3414886, 5.9351878 51.3380598, 5.9363084 51.3359515, 5.9379517 51.3328225, 5.9397164 51.3295592, 5.9415156 51.3261408, 5.9433563 51.3227182, 5.9451302 51.3193018, 5.9470264 51.3158179, 5.9486707 51.3126386, 5.9503744 51.3093442, 5.9520912 51.3060242, 5.9537805 51.3027834, 5.955481 51.2994685, 5.9571173 51.2963037, 5.9587217 51.2932002, 5.9603736 51.2900046, 5.9620018 51.2868548, 5.9636681 51.283631, 5.9653782 51.2803222, 5.9670442 51.2770984, 5.9687479 51.2738016, 5.9704538 51.2705411, 5.9707337 51.2669963, 5.9710904 51.2633632, 5.971417 51.2597771, 5.9716971 51.2566172, 5.9720103 51.2531341, 5.9722885 51.250182, 5.9725457 51.2473689, 5.9727514 51.245048, 5.9730395 51.2419104, 5.9700957 51.2389903, 5.966927 51.2359947, 5.9637984 51.2330039, 5.9605906 51.2299608, 5.9576947 51.2272057, 5.9554062 51.2249874, 5.9529075 51.2226189, 5.9477066 51.2224056, 5.9423056 51.2221827, 5.9383044 51.2202523, 5.9342773 51.2182921, 5.9301294 51.2162957, 5.9258575 51.2142408, 5.921646 51.2122017, 5.91721 51.2100574, 5.9137521 51.2083922, 5.9095472 51.206367, 5.9094689 51.2032201, 5.9093925 51.199784, 5.9092997 51.1961987, 5.9092157 51.1925696, 5.9091338 51.1890031, 5.9090506 51.1853812, 5.9089671 51.181744, 5.9088133 51.1781597, 5.9087231 51.1747309, 5.910307 51.1710654, 5.9125553 51.1658805, 5.9140923 51.1623627, 5.915304 51.1596325, 5.9166945 51.1563615, 5.917099845041109 51.15543511717868, 5.918474082201949 51.1484319333322)"
way/157902099-380,way/87792499-380,380.0,3396.205,41875.69,Al/St 240/40 4-bundle 380.0,"LINESTRING (5.664012702068102 51.926895878298374, 5.654699875808828 51.92591210441465, 5.6511515 51.9250696, 5.6490968 51.9220293, 5.6470138 51.9191146, 5.6449241 51.9159686, 5.6447019 51.9125888, 5.6445144 51.9090921, 5.6442906 51.905499, 5.6439928 51.900569, 5.6436479 51.895727, 5.643376 51.8908044, 5.6431441 51.8864278, 5.6427528 51.8836301, 5.642322 51.8803966, 5.6418738 51.8771306, 5.6414275 51.8739713, 5.6410395 51.8707237, 5.6405868 51.867143, 5.6400515 51.8638059, 5.6414107 51.860495, 5.6428988 51.857133, 5.6443302 51.853767, 5.6458134 51.8503368, 5.647262 51.8470023, 5.6486935 51.8436781, 5.6500386 51.8405455, 5.6515563 51.8370078, 5.653018 51.8335895, 5.6554624 51.8304135, 5.6578756 51.8271971, 5.66034 51.8239959, 5.6627724 51.8208079, 5.6651689 51.8176601, 5.6690515 51.8156456, 5.6729755 51.8136503, 5.6766123 51.8118034, 5.6805178 51.8097247, 5.6850161 51.8074284, 5.688906 51.8053962, 5.6931204 51.8034367, 5.6974126 51.8010905, 5.7015751 51.7989375, 5.705999 51.7966759, 5.7110134 51.7953833, 5.7160338 51.7940899, 5.7210483 51.7928005, 5.7260066 51.7915179, 5.7306859 51.790316, 5.7353501 51.7891021, 5.7400574 51.7878906, 5.7453607 51.7865547, 5.7506207 51.7851945, 5.7559454 51.7838876, 5.7610765 51.782477, 5.7662639 51.7811281, 5.7714348 51.7797944, 5.7764678 51.7785541, 5.7800625 51.7762008, 5.7839261 51.7737695, 5.7877625 51.7713717, 5.7915682 51.7689814, 5.7955802 51.7664451, 5.7995852 51.7639091, 5.8032611 51.7616255, 5.8026815 51.7580177, 5.8021988 51.7544546, 5.8016732 51.7508759, 5.8011466 51.7472981, 5.8007041 51.7442992, 5.8002649 51.7412999, 5.8005172 51.7378981, 5.8007665 51.7345247, 5.8010268 51.7310836, 5.8012916 51.7275757, 5.8015205 51.7244367, 5.8017497 51.7213546, 5.8019893 51.7181586, 5.8022374 51.7148358, 5.8024535 51.7118802, 5.8050724 51.7089307, 5.8077865 51.7058565, 5.81034 51.7030165, 5.812873 51.7000939, 5.8154868 51.6971544, 5.8182749 51.6939965, 5.8210354 51.6908711, 5.8237673 51.6877668, 5.826515 51.6846668, 5.8292608 51.6815703, 5.8319538 51.6785385, 5.834627 51.6755085, 5.8372582 51.6725158, 5.8418089 51.6703263, 5.8463626 51.6681327, 5.8509106 51.6659435, 5.8554577 51.6637561, 5.8600113 51.6615648, 5.864559 51.6593717, 5.8691003 51.6571818, 5.8736518 51.6549869, 5.8781979 51.6528001, 5.8827435 51.6506106, 5.887211 51.6484478, 5.8916874 51.6462906, 5.8961622 51.644132, 5.900642 51.6419727, 5.903910788077905 51.640393928899556, 5.913018993472017 51.63853992643954)"
way/934114405-380,way/480742730-380,380.0,3396.205,20106.63,Al/St 240/40 4-bundle 380.0,"LINESTRING (4.987435367186928 52.16051524435666, 4.9865858751088075 52.1669008846851, 4.9860848 52.1686467, 4.9852189 52.1711844, 4.9852831 52.1749514, 4.9853289 52.1783635, 4.9853359 52.1817362, 4.9853605 52.1852328, 4.9853874 52.1892362, 4.9854137 52.1920704, 4.9854822 52.1953572, 4.985498 52.1987818, 4.9855294 52.2011062, 4.9855465 52.20237, 4.985564 52.2058655, 4.9855987 52.2091283, 4.9883745 52.2112125, 4.9905332 52.2137595, 4.9929763 52.2166241, 4.9953447 52.2194159, 4.9977453 52.2222323, 5.0001737 52.2250838, 5.0014457 52.2265832, 5.0034799 52.228972, 5.0042727 52.2323132, 5.0050433 52.2356568, 5.0058563 52.238992, 5.0066435 52.2423222, 5.007282 52.2450114, 5.0076363 52.2485464, 5.0080073 52.2520533, 5.0083957 52.2555517, 5.008753 52.2590568, 5.0091339 52.2626314, 5.0091479 52.2661831, 5.0091593 52.2697296, 5.0091431 52.2733129, 5.009165 52.276637, 5.0091502 52.2799498, 5.0091343 52.2832615, 5.0091867 52.2866865, 5.0091643 52.2894957, 5.0091848 52.2925752, 5.0091715 52.29618, 5.0091662 52.299823, 5.0091647 52.3029721, 5.0088736 52.3065152, 5.0086174 52.3099166, 5.0082998 52.3135476, 5.0079956 52.3171577, 5.0076821 52.3206957, 5.0078961 52.3243232, 5.0070889 52.3278998, 5.0088678 52.3305488, 5.009689826960437 52.33177309008769, 5.0145468558719 52.33675991221831)"
way/934114405-380,way/22984334-380,380.0,3396.205,15542.89,Al/St 240/40 4-bundle 380.0,"LINESTRING (4.876179979282388 52.42895925867138, 4.885110325257563 52.42880485341626, 4.8871553 52.4287855, 4.8930264 52.4287362, 4.8966594 52.4278426, 4.9021077 52.4257993, 4.9084256 52.4250113, 4.9123855 52.4240489, 4.9155623 52.4228807, 4.9190451 52.4216411, 4.9231674 52.4201527, 4.9278038 52.418488, 4.9327063 52.4167061, 4.9377351 52.4148932, 4.9420799 52.413323, 4.9471378 52.4114742, 4.9521981 52.4096482, 4.95702 52.4078832, 4.9617933 52.4061906, 4.9665209 52.4044727, 4.9687482 52.4014582, 4.9706726 52.3988394, 4.9724927 52.3963687, 4.9751081 52.3930953, 4.9772274 52.3904527, 4.9799241 52.387274, 4.9824057 52.3841529, 4.9822754 52.3809101, 4.9821714 52.3772996, 4.9827144 52.3727621, 4.9834559 52.3674893, 4.9840022 52.3631753, 4.9844819 52.3596947, 4.9849665 52.3560458, 4.9854698 52.3523543, 4.989528 52.3501856, 4.9935211 52.3480516, 4.9975662 52.3459571, 5.0014574 52.3439011, 5.006604389033718 52.34116300664146, 5.0145468558719 52.33675991221831)"
way/577158336-380,NL11-380,380.0,3396.205,20753.84,Al/St 240/40 4-bundle 380.0,"LINESTRING (3.9465228000000034 51.46675199450171, 3.9536595571646997 51.46618392051415, 3.9554118 51.4662648, 3.9591844 51.46644, 3.9642691 51.4653085, 3.9693853 51.4641798, 3.9729525 51.4633961, 3.9780968 51.4622732, 3.9810563 51.4638522, 3.9856607 51.466326, 3.9914983 51.4669, 3.9969186 51.4674256, 4.0030862 51.4676595, 4.0089909 51.4678641, 4.0160502 51.4681156, 4.0214667 51.4682618, 4.0268927 51.4684197, 4.0323923 51.468552, 4.0373103 51.4665971, 4.0425134 51.4645775, 4.0475826 51.4625481, 4.0527175 51.460542, 4.05789 51.4585182, 4.0629686 51.4565529, 4.0675862 51.45466, 4.0720623 51.452852, 4.0769725 51.4508865, 4.0822316 51.4488135, 4.0875918 51.4466663, 4.0928205 51.4445515, 4.09758 51.4431207, 4.1028088 51.4415877, 4.1077091 51.4401483, 4.1125624 51.4387146, 4.1175018 51.4372844, 4.1219026 51.4342727, 4.1262352 51.4312969, 4.1313911 51.4294843, 4.1366529 51.4276129, 4.1418688 51.4257865, 4.147418 51.4257556, 4.1535028 51.4257371, 4.1594351 51.4256733, 4.1655092 51.425651, 4.1715598 51.4256054, 4.1775355 51.4255857, 4.1832308 51.4258182, 4.1889487 51.426093, 4.1937098 51.4260911, 4.1994657 51.4261988, 4.202865 51.4233858, 4.2071932 51.4235603, 4.208824090715178 51.42361810009197, 4.2187196468336765 51.42385981899704)"
way/146901292-380,way/23135563-380,380.0,3396.205,42495.12,Al/St 240/40 4-bundle 380.0,"LINESTRING (4.265741298531044 51.8393971384419, 4.27337329349172 51.83645147430674, 4.2735333 51.8363977, 4.278691 51.8346957, 4.2837035 51.8330462, 4.2886302 51.8314072, 4.2932393 51.8298902, 4.297754 51.8283838, 4.3026635 51.8267394, 4.3077962 51.8250577, 4.312783 51.823392, 4.3180186 51.8216413, 4.3237607 51.8214556, 4.3300092 51.821185, 4.3361118 51.8209197, 4.3402316 51.8183784, 4.3446343 51.8156618, 4.3489611 51.8130258, 4.3535208 51.8125533, 4.3583848 51.8120164, 4.3632857 51.8115176, 4.36853 51.8109392, 4.3735339 51.8104404, 4.3785464 51.809915, 4.3842971 51.8093154, 4.3890269 51.8088468, 4.3939016 51.8082169, 4.3987853 51.8075429, 4.4036948 51.8069273, 4.408855 51.8062778, 4.4149438 51.8054799, 4.4193291 51.8049096, 4.4244325 51.8042413, 4.4303235 51.8034769, 4.4352358 51.8028241, 4.440478 51.8021424, 4.4452583 51.8015189, 4.4504211 51.8008438, 4.4550145 51.8002433, 4.4595354 51.8024484, 4.4632247 51.8042648, 4.4677204 51.8064815, 4.4717785 51.8084655, 4.4759003 51.8104919, 4.4813844 51.8107664, 4.4861909 51.8110139, 4.4918399 51.8112984, 4.496847 51.8115792, 4.5022067 51.8118544, 4.5075163 51.8121369, 4.5127887 51.810865, 4.5178395 51.8096561, 4.5227852 51.8084636, 4.5271739 51.807406, 4.5317388 51.8063211, 4.5368284 51.8051075, 4.5419701 51.8038549, 4.5465307 51.8015657, 4.5508659 51.7993778, 4.5551314 51.7972186, 4.5600246 51.794743, 4.5638976 51.7927654, 4.568298 51.7905274, 4.5685387 51.7873726, 4.5687599 51.7843507, 4.5689873 51.7809978, 4.5692396 51.7776217, 4.5695104 51.7742805, 4.5697851 51.7709664, 4.570024 51.7674492, 4.5702228 51.7639922, 4.5724801 51.7618087, 4.5777393 51.7614212, 4.5826227 51.7610641, 4.5878441 51.7606738, 4.5927294 51.7603013, 4.5977014 51.7599342, 4.6027592 51.7595687, 4.6074165 51.7603971, 4.6121135 51.7612319, 4.6165875 51.762034, 4.6227104 51.7631213, 4.6292658 51.7642949, 4.6355403 51.765407, 4.6408615 51.76634, 4.6463244 51.7673343, 4.6526986 51.7684774, 4.6580652 51.7684543, 4.6632381 51.7684443, 4.6680983 51.7684337, 4.6729444 51.7684252, 4.6777288 51.7684039, 4.6828327 51.768385, 4.6881207 51.768379, 4.6927868 51.7691685, 4.6978225 51.7700713, 4.7031628 51.771002, 4.7082274 51.7718861, 4.7134078 51.7727608, 4.7185379 51.7736648, 4.7237067 51.7745584, 4.7288483 51.7754573, 4.7343562 51.7764035, 4.7369338 51.7795348, 4.739071 51.7821141, 4.7412263 51.7847201, 4.7433779 51.7873209, 4.7452628 51.789599, 4.7481836 51.7931051, 4.7484159 51.7947174, 4.744717 51.7973524, 4.7410616 51.7999756, 4.7380453 51.8021239, 4.7389816 51.8038008, 4.7397338 51.8051565, 4.7418699 51.8090278, 4.741892660929426 51.80906937917475, 4.747997956986845 51.813514295136684)"
way/87354306-220,way/87207800-220,220.0,491.556,64058.04,Al/St 240/40 2-bundle 220.0,"LINESTRING (6.189877428777448 52.529785690313105, 6.19279082547391 52.53599378801189, 6.193843 52.5375513, 6.1958456 52.5404365, 6.1978545 52.5433368, 6.1998571 52.5462369, 6.2018785 52.5491596, 6.2038624 52.5520631, 6.2058816 52.554943, 6.2078873 52.5578407, 6.2098578 52.5607496, 6.2118792 52.5636219, 6.2140633 52.5664903, 6.2162787 52.5693165, 6.2184754 52.5721274, 6.2206532 52.5749381, 6.2228248 52.5777715, 6.2250389 52.5805984, 6.2272272 52.5834188, 6.230957 52.5855925, 6.2346842 52.5877723, 6.2384266 52.5899471, 6.242148 52.5921156, 6.2458614 52.5943039, 6.2496163 52.596467, 6.2540534 52.5976796, 6.2587846 52.5989492, 6.2635284 52.6001998, 6.2682346 52.6014769, 6.2729595 52.6027388, 6.2776469 52.6040007, 6.2823907 52.6052967, 6.2871219 52.6065585, 6.2918594 52.6078203, 6.2965318 52.609063, 6.3013185 52.6103842, 6.3060146 52.6116398, 6.3089385 52.6142298, 6.3118273 52.6168502, 6.3147111 52.6194338, 6.3176399 52.6220417, 6.3205638 52.6246311, 6.3234876 52.6272538, 6.3264315 52.6298643, 6.3294204 52.6324867, 6.3321941 52.6350603, 6.3350428 52.6376429, 6.3379466 52.6402557, 6.3408454 52.6428684, 6.3437392 52.6454597, 6.346618 52.648072, 6.3494768 52.6506994, 6.3523506 52.6533145, 6.3565611 52.6551398, 6.3607466 52.6569802, 6.3649471 52.6588418, 6.3692027 52.660679, 6.3734033 52.662501, 6.3775737 52.6643532, 6.3818093 52.6662267, 6.3859998 52.6680241, 6.3902154 52.6698883, 6.3944509 52.6717281, 6.3986515 52.6735738, 6.4016304 52.6758597, 6.4049147 52.678361, 6.408174 52.6808348, 6.4111329 52.683093, 6.4144072 52.6855726, 6.4176515 52.6880612, 6.4189832 52.690935, 6.420355 52.6939634, 6.4217468 52.6970128, 6.4231537 52.7000286, 6.4245806 52.7031656, 6.4258923 52.7060111, 6.4273703 52.709135, 6.4287507 52.7121384, 6.4302581 52.715403, 6.4316812 52.7184903, 6.4330758 52.7215175, 6.4344711 52.724541, 6.4375049 52.7251495, 6.4417157 52.7260008, 6.4459212 52.7268519, 6.4501354 52.7277029, 6.4543453 52.7285555, 6.4583286 52.7293591, 6.4607682 52.7306978, 6.4645188 52.7327572, 6.4673368 52.7342892, 6.4711792 52.7364089, 6.4737006 52.7377816, 6.4760118 52.7387638, 6.4763419 52.7404738, 6.4794339 52.7419462, 6.4830388 52.743648, 6.4838488 52.7459796, 6.4848949 52.7488599, 6.4859785 52.7518926, 6.4870514 52.754844, 6.4880492 52.757675, 6.4891542 52.7607428, 6.4902432 52.7638364, 6.4913107 52.7669038, 6.4924051 52.7698768, 6.4935506 52.7729476, 6.4946179 52.7759282, 6.495671 52.7788424, 6.4967217 52.7817213, 6.4976944 52.7845703, 6.4987566 52.7874188, 6.4997429 52.7902175, 6.500787 52.7930404, 6.501777 52.7958048, 6.5027532 52.7985369, 6.5037294 52.8013085, 6.5047325 52.8040944, 6.5057438 52.8068439, 6.5067764 52.8097466, 6.5078592 52.8126355, 6.5088256 52.8155083, 6.5099394 52.8184411, 6.5109701 52.8213014, 6.5120321 52.8242175, 6.5130815 52.8271202, 6.514072 52.8300275, 6.5150912 52.8328666, 6.5160944 52.835631, 6.5170379 52.8380705, 6.5179144 52.8405333, 6.5188896 52.8429979, 6.5198518 52.8454411, 6.5208719 52.8480273, 6.5218915 52.8506136, 6.5229094 52.8531995, 6.5240729 52.8561436, 6.5252791 52.859204, 6.5264635 52.8622481, 6.5275096 52.8648746, 6.5286683 52.8678118, 6.5297734 52.8707585, 6.5308462 52.8734007, 6.5279173 52.8761463, 6.5252916 52.8786955, 6.5225264 52.8811579, 6.5198933 52.8836963, 6.5174025 52.8860298, 6.5149001 52.8883675, 6.5171781 52.8910434, 6.5195384 52.8937037, 6.5214428 52.8958429, 6.5236637 52.89838, 6.5258899 52.9009201, 6.5281749 52.90346, 6.5280387 52.9064724, 6.5279134 52.9094532, 6.527788 52.9124447, 6.5276383 52.9154446, 6.5275086 52.9184352, 6.5284594 52.921152, 6.5295814 52.9242296, 6.5306181 52.9271565, 6.5317472 52.9303039, 6.5327444 52.933143, 6.5337681 52.9360571, 6.5348101 52.9389225, 6.5359115 52.9418151, 6.5369386 52.9445978, 6.5379926 52.9475975, 6.5390183 52.9504701, 6.5400994 52.9534787, 6.5411341 52.9563578, 6.5421824 52.9592749, 6.5432046 52.9621188, 6.544219 52.9649411, 6.5405013 52.9676852, 6.5367821 52.9703813, 6.5330867 52.9730777, 6.5297524 52.9754948, 6.5263105 52.9780007, 6.5230907 52.9803415, 6.519551 52.9828951, 6.5164032 52.9851827, 6.5132278 52.9874277, 6.5150034 52.9901421, 6.5167457 52.9928106, 6.518543 52.9955815, 6.5195782 52.9971844, 6.5214892 53.0001295, 6.5232832 53.0028921, 6.524006572353086 53.004006912888045, 6.523673945566108 53.009495353485036)"
