GEM location ID,bus_id
L100000500205,way/919706969-220
L100000201185,way/23096966-380
L100000200212,way/22984334-380
L100000201186,way/96382845-380
L100000103090,way/23096966-380
L100000200217,way/723528920-380
L100000200218,way/178699856-380
L100000200221,way/23096966-380
L100000400501,way/723528920-380
L100000200234,way/1266807630-220
L100000200240,way/1266807630-220
L100000400524,way/83423799-380
L100000201189,way/308181656-380
L100000200250,way/23135563-380
L100000400534,way/87792499-380
L100000200281,way/577158336-380
L100000200311,way/83423799-380
L100000200319,way/87207800-220
L100000400490,way/23096966-380
L100000400494,way/577158336-380
L100000400499,way/87448656-220
L100001000006,way/83423799-380
L100000400497,way/146901292-380
L100000400498,way/178699856-380
L100000407617,way/162176187-380
L100000400502,way/1268254684-220
L100000400508,way/1218950123-380
L100000400509,way/934114405-380
L100000400512,way/23135563-380
L100001000002,way/87792499-380
L100000400513,way/942640207-220
L100000400519,way/919706969-220
L100000400521,way/87207800-220
L100000400522,way/146809673-380
L100000400525,way/167695568-220
L100000400526,way/167695568-220
L100000103087,way/87792499-380
L100000400530,way/162179284-380
L100000400533,way/22984334-380
L100001000007,way/1246030551-220
L100000407615,way/480742730-380
L100000400536,way/72888152-380
L100000400537,way/178699856-380
L100000400538,way/162176187-380
L100000400540,way/920127890
L100000400541,way/700846836-380
L100000400544,way/87794279-380
L100000400546,way/480742730-380
L100000400548,way/23096966-380
L100000400550,way/87207800-220
L100000400552,way/178699856-380
L100000400553,way/178699856-380
L100000406400,way/178699856-380
L100000400557,way/165242802-380
L100000407930,way/146809673-380
L100001000004,way/477949333-380
L100000400564,way/311472381-380
L100000400566,way/919706969-220
L100000400568,way/162176187-380
L100000400569,way/167695568-220
L100000400570,way/1246030551-220
L100001000008,way/1246030551-220
L100000103088,way/942640207-380
L100000103095,way/1275266044-380
L100000103093,way/920127890
L100000907960,way/162179284-380
L100000908017,way/146901292-380
L100000908059,way/96382845-380
L100000908062,way/87792499-380
L100000908217,way/23096966-380
L100000908242,way/311472381-380
L100000908262,way/23096966-380
L100000908405,way/146901292-380
L100000908429,way/87794279-380
L100000908553,way/308181656-380
L100000908742,way/72888152-380
L100000908840,way/87177559-220
L100000908946,way/146901292-380
L100000909188,NL3-220
L100000909237,way/87177559-220
L100000909352,way/87794279-380
L100000909562,way/311472381-380
L100000909592,way/146901292-380
L100000909848,way/934114405-380
L100000909855,way/87794279-380
L100000910048,way/146901292-380
L100000910072,way/87794279-380
L100000910153,way/22984334-380
L100000910155,NL11-380
L100000910260,way/23096966-380
L100000910284,way/146809673-380
L100000910547,way/723528920-380
L100000910556,way/1099434374-220
L100000910688,way/1218950123-380
L100000911134,way/87794279-380
L100000911495,NL9-220
L100000911923,way/146901292-380
L100000912063,way/146901292-380
L100000912245,way/87794279-380
L100000912256,way/87794279-380
L100000912265,way/72888152-380
L100000912384,way/919706969-220
L100000912401,way/146901292-380
L100000912407,way/1275266044-380
L100000912408,way/146901292-380
L100000912530,way/1275266044-380
L100000912601,way/87792499-380
L100000912655,way/23096966-380
L100000912837,NL8-380
L100000912874,way/477949333-380
L100000912920,way/146901292-380
L100000913071,way/87794279-380
L100000913241,way/87794279-380
L100000913518,way/87794279-380
L100000913536,way/146901292-380
L100000914047,way/311472381-380
L100000914070,way/934114405-380
L100000914140,way/1268254684-220
L100000914187,way/146901292-380
L100000914468,way/919706969-220
L100000915292,way/723528920-380
L100000915324,way/1268254684-220
L100000915326,way/942640207-220
L100000915340,way/1266807630-220
L100000915513,way/577158336-380
L100000915530,way/723528920-380
L100000915533,way/146901292-380
L100000915696,way/920127890
L100000915721,NL11-380
L100000915830,NL6-220
L100000915831,NL6-220
L100000915861,NL3-220
L100000915910,way/700846836-380
L100000915932,NL3-220
L100000915949,way/167695568-220
L100000916134,NL6-220
L100000916156,way/87358157-220
L100000916239,NL2-220
L100000916254,NL3-220
L100000916262,NL3-220
L100000920473,way/1246030551-220
L100000920474,way/87794279-380
L100000920476,way/723528920-380
L100000920477,way/311472381-380
L100000920478,way/87177559-380
L100000920480,way/162176187-380
L100000920481,way/23096966-380
L100000920482,way/87354306-380
L100000920483,way/158601617
L100000920486,way/87794279-380
L100000920487,NL2-220
L100000920488,NL3-220
L100000920490,way/934114405-380
L100000920491,way/158601617
L100000920492,way/162176187-380
L100000920493,way/23096966-380
L100000920494,way/87794279-380
L100000920495,way/168037483-220
L100000920496,way/157902099-380
L100000920497,way/920127890
L100000920498,way/87177559-220
L100000920499,way/87354306-220
L100000920500,way/87177559-220
L100000920501,way/23096966-380
L100000920502,way/87177559-220
L100000920503,way/87177559-220
L100000920506,way/23136343-380
L100000920508,way/87792499-380
L100000920509,way/23096966-380
L100000920511,way/168037483-220
L100000920512,way/1099434374-220
L100000920513,way/167695568-380
L100000920514,NL4-220
L100000920515,way/311472381-380
L100000920516,way/146809673-380
L100000920518,way/22984334-380
L100000920519,way/480742730-380
L100000920520,way/1099434374-220
L100000920521,way/87794279-380
L100000920522,way/87177559-380
L100000920523,way/87794279-380
L100000920524,NL3-220
L100000920525,NL3-220
L100000920526,way/87177559-220
L100000920527,way/87177559-220
L100000920528,way/87794279-380
L100000920529,way/1266807630-220
L100000920530,way/700846836-380
L100000920531,way/178699856-380
L100000920533,way/167695568-220
L100000920534,way/934114405-380
L100000920535,way/308181656-380
L100000920538,way/87354306-380
L100000920540,way/480742730-380
L100000920543,way/23096966-380
L100000920544,way/178699856-380
L100000920545,way/23096966-380
L100000920546,way/700846836-380
L100000920547,way/146901292-380
L100000920548,way/23096966-380
L100000920549,way/167695568-220
L100000920550,way/87794279-380
L100000920551,way/308181656-380
L100000920552,way/606842829-380
L100000920553,way/87207800-220
L100000920554,way/146901292-380
L100000920557,NL3-220
L100000920558,way/87794279-380
L100000920559,NL11-380
L100000920560,way/87794279-380
L100000920562,way/87794279-380
L100000920563,NL11-380
L100000920564,way/87794279-380
L100001000906,NL5-220
L100001000909,way/87794279-380
L100001000910,way/934114405-380
L100001000911,way/23096966-380
L100001000942,way/1246030551-220
L100001000953,way/1246030551-220
L100001000984,way/311472381-380
L100001000986,way/311472381-380
L100001000988,way/87794279-380
L100001001098,NL4-220
L100001001099,NL4-220
L100001001104,NL3-220
L100001001105,NL4-220
L100001001106,NL3-220
L100001001107,NL5-220
L100001001108,way/693745438-220
L100001001109,NL3-220
L100000824030,way/83423799-380
L100000824031,way/83423799-380
L100001000802,way/162179284-380
L100001000659,way/87354306-220
L100000806090,way/87207800-220
L100001000772,way/87207800-220
L100001000778,way/23096966-380
L100000806287,way/87354306-220
L100000824032,way/167695568-220
L100000806327,way/919706969-380
