bus_id,grid_cell
NL1-220,wof-NLD_41
NL10-220,wof-NLD_1
NL11-380,NLD_1
NL11-380,wof-NLD_10
NL12-380,NLD_1
NL12-380,wof-NLD_20
NL2-220,wof-NLD_41
NL3-220,NLD_6
NL3-220,wof-NLD_23
NL4-220,wof-NLD_13
NL5-220,wof-NLD_13
NL6-220,wof-NLD_12
NL7-220,wof-NLD_12
NL8-380,NLD_2
NL8-380,wof-NLD_11
NL9-220,wof-NLD_1
way/1099434374-220,NLD_19
way/1099434374-220,wof-NLD_39
way/1218950123-380,NLD_4
way/1218950123-380,wof-NLD_21
way/1246030551-220,NLD_5
way/1246030551-220,wof-NLD_22
way/1246030551-380,NLD_5
way/1246030551-380,wof-NLD_22
way/1266807630-220,NLD_23
way/1266807630-220,wof-NLD_42
way/1268254684-220,NLD_23
way/1268254684-220,wof-NLD_42
way/1275266044-380,NLD_2
way/1275266044-380,wof-NLD_11
way/146809673-380,NLD_2
way/146809673-380,wof-NLD_11
way/146901292-380,NLD_4
way/146901292-380,wof-NLD_21
way/157902099-380,NLD_15
way/158601617,NLD_23
way/158601617,wof-NLD_42
way/162176187-380,NLD_14
way/162179284-380,NLD_9
way/165242802-380,NLD_4
way/165242802-380,wof-NLD_21
way/167695568-220,NLD_23
way/167695568-220,wof-NLD_42
way/167695568-380,NLD_23
way/167695568-380,wof-NLD_42
way/168037483-220,NLD_23
way/168037483-220,wof-NLD_42
way/178699856-380,NLD_4
way/178699856-380,wof-NLD_21
way/22984334-380,NLD_5
way/22984334-380,wof-NLD_22
way/23096966-380,NLD_4
way/23096966-380,wof-NLD_21
way/23135563-380,NLD_4
way/23135563-380,wof-NLD_21
way/23136343-380,NLD_3
way/23136343-380,wof-NLD_20
way/308181656-380,NLD_5
way/308181656-380,wof-NLD_22
way/311472381-380,NLD_1
way/311472381-380,wof-NLD_10
way/477949333-380,NLD_5
way/477949333-380,wof-NLD_22
way/480742730-380,NLD_11
way/480742730-380,wof-NLD_31
way/577158336-380,NLD_1
way/577158336-380,wof-NLD_20
way/606842829-220,NLD_23
way/606842829-220,wof-NLD_42
way/606842829-380,NLD_23
way/606842829-380,wof-NLD_42
way/655858864,NLD_23
way/655858864,wof-NLD_42
way/693745438-220,NLD_2
way/693745438-220,wof-NLD_11
way/693745438-380,NLD_2
way/693745438-380,wof-NLD_11
way/700846836-380,NLD_23
way/700846836-380,wof-NLD_42
way/723528920-380,NLD_16
way/72888152-380,NLD_4
way/72888152-380,wof-NLD_21
way/83423799-380,NLD_21
way/87177559-220,NLD_18
way/87177559-220,wof-NLD_38
way/87177559-380,NLD_18
way/87177559-380,wof-NLD_38
way/87207800-220,NLD_22
way/87354306-220,NLD_17
way/87354306-380,NLD_17
way/87358157-220,NLD_18
way/87358157-220,wof-NLD_38
way/87448656-220,NLD_19
way/87448656-220,wof-NLD_39
way/87792499-380,NLD_16
way/87794279-380,NLD_11
way/87794279-380,wof-NLD_32
way/919706969-220,NLD_1
way/919706969-220,wof-NLD_10
way/919706969-380,NLD_1
way/919706969-380,wof-NLD_10
way/920127890,NLD_2
way/920127890,wof-NLD_11
way/920127890-380,NLD_2
way/920127890-380,wof-NLD_11
way/934114405-380,NLD_11
way/934114405-380,wof-NLD_31
way/942640207-220,NLD_23
way/942640207-220,wof-NLD_42
way/942640207-380,NLD_23
way/942640207-380,wof-NLD_42
way/96382845-380,NLD_2
way/96382845-380,wof-NLD_21
way/919706969-220,NLD_0
NL3-220,NLD_7
way/162179284-380,NLD_8
way/87792499-380,NLD_10
way/87794279-380,NLD_12
way/1099434374-220,NLD_13
way/83423799-380,NLD_20
NL10-220,wof-NLD_0
NL9-220,wof-NLD_2
NL5-220,wof-NLD_3
NL5-220,wof-NLD_4
NL4-220,wof-NLD_5
NL4-220,wof-NLD_6
NL4-220,wof-NLD_7
NL4-220,wof-NLD_8
NL4-220,wof-NLD_9
NL4-220,wof-NLD_14
NL4-220,wof-NLD_15
NL4-220,wof-NLD_16
NL4-220,wof-NLD_17
NL2-220,wof-NLD_18
NL2-220,wof-NLD_19
NL3-220,wof-NLD_24
NL3-220,wof-NLD_25
NL2-220,wof-NLD_26
NL2-220,wof-NLD_27
NL2-220,wof-NLD_28
NL2-220,wof-NLD_29
way/480742730-380,wof-NLD_30
way/1099434374-220,wof-NLD_33
NL2-220,wof-NLD_34
NL2-220,wof-NLD_35
NL2-220,wof-NLD_36
NL2-220,wof-NLD_37
NL2-220,wof-NLD_40
way/700846836-380,wof-NLD_43
